name,cation,anion,silicate,silicate_html,cation_html,anion_html,elements,strunz,formula,ima,year
Bamfordite,Fe^3+^;Mo^6+^,OH;O,,,Fe<sup>3+</sup>;Mo<sup>6+</sup> x 2,O x 6;OHx3,Fe;Mo;O;H,4.FK.05,Fe<sup>3+</sup>Mo<sup>6+</sup><sub>2</sub>O<sub>6</sub>(OH)<sub>3</sub>·H<sub>2</sub>O,Approved,1996
Dritsite,Li;Al,OH;Cl,,,Li x 2;Al x 4,Cl x 2;OHx12,Li;Al;O;H;Cl,4.FL.05,Li<sub>2</sub>Al<sub>4</sub>(OH)<sub>12</sub>Cl<sub>2</sub>·3H<sub>2</sub>O,"Approved, Pending publication",2019
Fougèrite,Fe^3+^;Fe^2+^,OH;CO_3_,,,Fe<sup>3+</sup> x 2;Fe<sup>2+</sup> x 4,(CO<sub>3</sub>);OHx12,Fe;O;H;C,4.FL.05,Fe<sup>2+</sup><sub>4</sub>Fe<sup>3+</sup><sub>2</sub>(OH)<sub>12</sub>(CO<sub>3</sub>)·3H<sub>2</sub>O,"Approved, Redefined",2003
Iowaite,Fe^3+^;Mg,OH;Cl,,,Fe<sup>3+</sup> x 2;Mg x 6,Cl x 2;OHx16,Mg;Fe;O;H;Cl,4.FL.05,Mg<sub>6</sub>Fe<sup>3+</sup><sub>2</sub>(OH)<sub>16</sub>Cl<sub>2</sub>·4H<sub>2</sub>O,Approved,1967
Jamborite,Ni^2+^;Co^3+^,OH;SO_4_,,,Ni<sup>2+</sup> x 1-x;Co<sup>3+</sup> x x,(SO<sub>4</sub>) x x;OH,Ni;Co;O;H;S,4.FL.05,Ni<sup>2+</sup><sub>1-x</sub>Co<sup>3+</sup><sub>x</sub>(OH)<sub>2-x</sub>(SO<sub>4</sub>)<sub>x</sub>·nH<sub>2</sub>O,Approved,1973
Meixnerite,Al;Mg,OH,,,Al x 2;Mg x 6,OHx18,Mg;Al;O;H,4.FL.05,Mg<sub>6</sub>Al<sub>2</sub>(OH)<sub>18</sub>·4H<sub>2</sub>O,Approved,1975
Mössbauerite,Fe^3+^,OH;CO_3_;O,,,Fe<sup>3+</sup> x 6,(CO<sub>3</sub>);O x 4;OHx8,Fe;O;H;C,4.FL.05,Fe<sup>3+</sup><sub>6</sub>O<sub>4</sub>(OH)<sub>8</sub>(CO<sub>3</sub>)·3H<sub>2</sub>O,Approved,2012
Muskoxite,Mg;Fe^3+^,O,,,Mg x 7;Fe<sup>3+</sup> x 4,O x 13,Mg;Fe;O;H,4.FL.05,Mg<sub>7</sub>Fe<sup>3+</sup><sub>4</sub>O<sub>13</sub>·10H<sub>2</sub>O,"Questionable mineral species, Approved",1969
Trébeurdenite,Fe^2+^;Fe^3+^,OH;O;CO_3_,,,Fe<sup>2+</sup> x 2;Fe<sup>3+</sup> x 4,O x 2;(CO<sub>3</sub>);OHx10,Fe;O;H;C,4.FL.05,Fe<sup>2+</sup><sub>2</sub>Fe<sup>3+</sup><sub>4</sub>O<sub>2</sub>(OH)<sub>10</sub>(CO<sub>3</sub>)·3H<sub>2</sub>O,Approved,2012
Woodallite,Cr^3+^;Mg,OH;Cl,,,Cr<sup>3+</sup> x 2;Mg x 6,Cl x 2;OHx16,Mg;Cr;O;H;Cl,4.FL.05,Mg<sub>6</sub>Cr<sup>3+</sup><sub>2</sub>(OH)<sub>16</sub>Cl<sub>2</sub>·4H<sub>2</sub>O,Approved,2000
Hydrocalumite,Ca;Al,OH;Cl;CO_3_,,,Ca x 4;Al x 2,OHx12;(Cl + CO<sub>3</sub> + OH)=2,Ca;Al;O;H;Cl;C,4.FL.10,"Ca<sub>4</sub>Al<sub>2</sub>(OH)<sub>12</sub>(Cl,CO<sub>3</sub>,OH)<sub>2</sub>·4H<sub>2</sub>O","Grandfathered, Approved",1934
Kuzelite,Al;Ca,OH;SO_4_,,,Al x 2;Ca x 4,(SO<sub>4</sub>);OHx12,Ca;Al;O;H;S,4.FL.15,Ca<sub>4</sub>Al<sub>2</sub>(OH)<sub>12</sub>(S<sup>6+</sup>O<sub>4</sub>)·6H<sub>2</sub>O,Approved,1997
Aurorite,Mn^2+^;Mn^4+^,O,,,Mn<sup>2+</sup>;Mn<sup>4+</sup> x 3,O x 7,Mn;O;H,4.FL.20,Mn<sup>2+</sup>Mn<sup>4+</sup><sub>3</sub>O<sub>7</sub>·3H<sub>2</sub>O,Approved,1967
Chalcophanite,Zn;Mn^4+^,O,,,Zn;Mn<sup>4+</sup> x 3,O x 7,Zn;Mn;O;H,4.FL.20,ZnMn<sup>4+</sup><sub>3</sub>O<sub>7</sub>·3H<sub>2</sub>O,"Grandfathered, Approved",1875
Ernienickelite,Ni^2+^;Mn^4+^,O,,,Ni<sup>2+</sup>;Mn<sup>4+</sup> x 3,O x 7,Ni;Mn;O;H,4.FL.20,Ni<sup>2+</sup>Mn<sup>4+</sup><sub>3</sub>O<sub>7</sub>·3H<sub>2</sub>O,Approved,1994
Jianshuiite,Mg;Mn^4+^,O,,,Mg;Mn<sup>4+</sup> x 3,O x 7,Mg;Mn;O;H,4.FL.20,MgMn<sup>4+</sup><sub>3</sub>O<sub>7</sub>·3H<sub>2</sub>O,Approved,1992
Woodruffite,Mn^4+^;Zn,O,,,Mn<sup>4+</sup> x 5;Zn x 2,O x 12,Zn;Mn;O;H,4.FL.25,Zn<sub>2</sub>Mn<sup>4+</sup><sub>5</sub>O<sub>12</sub>·4H<sub>2</sub>O,"Grandfathered, Approved",1953
Asbolane,Co^3+^;Ni^2+^;Mg;Ca;Mn^4+^,OH;O,,,(Co<sup>3+</sup> + Ni<sup>2+</sup> + Mg + Ca)=x;Mn<sup>4+</sup>,OHx2x;(O + OH)=2,Mn;O;H;Co;Ni;Mg;Ca,4.FL.30,"Mn<sup>4+</sup>(O,OH)<sub>2</sub>·(Co<sup>3+</sup>,Ni<sup>2+</sup>,Mg,Ca)<sub>x</sub>(OH)<sub>2x</sub>·nH<sub>2</sub>O","Grandfathered, Approved",1847
Buserite,Mn^3+^;Mn^4+^;Na,O,,,Mn<sup>3+</sup> x 6;Mn<sup>4+</sup> x 8;Na x 4,O x 27,Na;Mn;O;H,4.FL.35,Na<sub>4</sub>Mn<sup>3+</sup><sub>6</sub>Mn<sup>4+</sup><sub>8</sub>O<sub>27</sub>·21H<sub>2</sub>O,Approved,1970
Ranciéite,Ca;Mn^2+^;Mn^4+^;Mn^3+^,O,,,(Ca + Mn<sup>2+</sup>)=0.2;(Mn<sup>4+</sup> + Mn<sup>3+</sup>)=1,O x 2,Ca;Mn;O;H,4.FL.40,"(Ca,Mn<sup>2+</sup>)<sub>0.2</sub>(Mn<sup>4+</sup>,Mn<sup>3+</sup>)O<sub>2</sub>·0.6H<sub>2</sub>O","Grandfathered, Approved",1859
Takanelite,Mn^2+^;Ca;Mn^4+^;Mn^3+^,O,,,(Mn<sup>2+</sup> + Ca)=1;(Mn<sup>4+</sup> + Mn<sup>3+</sup>)=4,O x 9,Mn;Ca;O;H,4.FL.40,"(Mn<sup>2+</sup>,Ca)(Mn<sup>4+</sup>,Mn<sup>3+</sup>)<sub>4</sub>O<sub>9</sub>·H<sub>2</sub>O",Approved,1971
Birnessite,Mn^4+^;Mn^3+^;Na;Ca;K,O,,,(Mn<sup>4+</sup> + Mn<sup>3+</sup>)=2;(Na + Ca + K)=0.6,O x 4,Na;Ca;K;Mn;O;H,4.FL.45,"(Na,Ca,K)<sub>0.6</sub>(Mn<sup>4+</sup>,Mn<sup>3+</sup>)<sub>2</sub>O<sub>4</sub>·1.5H<sub>2</sub>O","Grandfathered, Approved",1956
Cianciulliite,Zn;Mn^2+^;Mg,OH,,,Zn x 2;Mn<sup>2+</sup>;Mg x 2,OHx10,Mg;Mn;Zn;O;H,4.FL.55,Mg<sub>2</sub>Mn<sup>2+</sup>Zn<sub>2</sub>(OH)<sub>10</sub>·2-4H<sub>2</sub>O,Approved,1991
Jensenite,Cu^2+^;Te^6+^,O,,,Cu<sup>2+</sup> x 3;Te<sup>6+</sup>,O x 6,Cu;Te;O;H,4.FL.60,Cu<sup>2+</sup><sub>3</sub>Te<sup>6+</sup>O<sub>6</sub>·2H<sub>2</sub>O,Approved,1994
Leisingite,Cu^2+^;Mg;Te^6+^,O,,,Cu<sup>2+</sup> x 2;Mg;Te<sup>6+</sup>,O x 6,Cu;Mg;Te;O;H,4.FL.65,Cu<sup>2+</sup><sub>2</sub>MgTe<sup>6+</sup>O<sub>6</sub>·6H<sub>2</sub>O,Approved,1996
Akdalaite,Al,O,,,Al x 10,O x 15,Al;O;H,4.FL.70,(Al<sub>2</sub>O<sub>3</sub>)<sub>5</sub>·H<sub>2</sub>O,Approved,1969
Cafetite,Ca;Ti^4+^,O,,,Ca;Ti<sup>4+</sup> x 2,O x 5,Ca;Ti;O;H,4.FL.75,CaTi<sup>4+</sup><sub>2</sub>O<sub>5</sub>·H<sub>2</sub>O,Approved,1959
Mourite,UO_2_;Mo^6+^,O,,,UO<sub>2</sub>;Mo<sup>6+</sup> x 5,O x 16,U;O;Mo;H,4.FL.80,(U<sup>6+</sup>O<sub>2</sub>)Mo<sup>6+</sup><sub>5</sub>O<sub>16</sub>·5H<sub>2</sub>O,Approved,1962
Deloryite,UO_2_;Cu^2+^;Mo^6+^,OH;O,,,UO<sub>2</sub>;Cu<sup>2+</sup> x 4;Mo<sup>6+</sup> x 2,O x 8;OHx6,Cu;U;O;Mo;H,4.FL.85,Cu<sup>2+</sup><sub>4</sub>(U<sup>6+</sup>O<sub>2</sub>)(Mo<sup>6+</sup>O<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>,Approved,1992
Lagalyite,Ca;Mn^4+^,O,,,Ca x 2x;Mn<sup>4+</sup> x 1-x,O x 2,Ca;Mn;O;H,4.FL.90,Ca<sub>2x</sub>Mn<sup>4+</sup><sub>1-x</sub>O<sub>2</sub>·1.5-2H<sub>2</sub>O (x = 0.05-0.08),"Approved, Pending publication",2016
Chlormagaluminite,Al;Mg,OH;Cl,,,Al x 2;Mg x 4,Cl x 2;OHx12,Mg;Al;O;H;Cl,4.FL.97,Mg<sub>4</sub>Al<sub>2</sub>(OH)<sub>12</sub>Cl<sub>2</sub>·2H<sub>2</sub>O,Approved,1982
Franconite,Na;Nb^5+^,OH;O,,,Na;Nb<sup>5+</sup> x 2,O x 5;OH,Na;Nb;O;H,4.FM.15,NaNb<sup>5+</sup><sub>2</sub>O<sub>5</sub>(OH)·3H<sub>2</sub>O,Approved,1984
Hochelagaite,Ca;Nb^5+^,O,,,Ca;Nb<sup>5+</sup> x 4,O x 11,Ca;Nb;O;H,4.FM.15,CaNb<sup>5+</sup><sub>4</sub>O<sub>11</sub>·8H<sub>2</sub>O,Approved,1986
Ternovite,Mg;Ca;Nb^5+^,O,,,(Mg + Ca)=1;Nb<sup>5+</sup> x 4,O x 11,Mg;Ca;Nb;O;H,4.FM.15,"(Mg,Ca)Nb<sup>5+</sup><sub>4</sub>O<sub>11</sub>·8-12H<sub>2</sub>O",Approved,1997
Belyankinite,Ca;Nb^5+^;Ti^4+^,O,,,Ca x 1-2;(Nb<sup>5+</sup> + Ti<sup>4+</sup>)=5,O x 12,Ca;Ti;Nb;O;H,4.FM.25,"Ca<sub>1-2</sub>(Ti<sup>4+</sup>,Nb<sup>5+</sup>)<sub>5</sub>O<sub>12</sub>·9H<sub>2</sub>O","Questionable mineral species, Approved",1950
Gerasimovskite,Mn^2+^;Ca;Nb^5+^;Ti^4+^,O,,,(Mn<sup>2+</sup> + Ca)=1;(Nb<sup>5+</sup> + Ti<sup>4+</sup>)=5,O x 12,Mn;Ca;Nb;Ti;O;H,4.FM.25,"(Mn<sup>2+</sup>,Ca)(Nb<sup>5+</sup>,Ti<sup>4+</sup>)<sub>5</sub>O<sub>12</sub>·9H<sub>2</sub>O","Grandfathered, Approved",1957
Manganbelyankinite,Mn^2+^;Ca;Nb^5+^;Ti^4+^,O,,,(Mn<sup>2+</sup> + Ca)=1;(Nb<sup>5+</sup> + Ti<sup>4+</sup>)=5,O x 12,Mn;Ca;Ti;Nb;O;H,4.FM.25,"(Mn<sup>2+</sup>,Ca)(Ti<sup>4+</sup>,Nb<sup>5+</sup>)<sub>5</sub>O<sub>12</sub>·9H<sub>2</sub>O","Questionable mineral species, Approved",1957
Silhydrite,Si,O,,,Si x 3,O x 6,Si;O;H,4.FM.30,Si<sub>3</sub>O<sub>6</sub>·H<sub>2</sub>O,Approved,1970
Cuzticite,Fe^3+^;Te^6+^,O,,,Fe<sup>3+</sup> x 2;Te<sup>6+</sup>,O x 6,Fe;Te;O;H,4.FM.35,Fe<sup>3+</sup><sub>2</sub>Te<sup>6+</sup>O<sub>6</sub>·3H<sub>2</sub>O,Approved,1982
Brumadoite,Cu^2+^;Te^6+^,OH;O,,,Cu<sup>2+</sup> x 3;Te<sup>6+</sup>,O x 4;OHx4,Cu;Te;O;H,4.FM.40,Cu<sup>2+</sup><sub>3</sub>Te<sup>6+</sup>O<sub>4</sub>(OH)<sub>4</sub>·5H<sub>2</sub>O,Approved,2008
Charleshatchettite,Ca;Nb^5+^,OH;O,,,Ca;Nb<sup>5+</sup> x 4,O x 10;OHx2,Ca;Nb;O;H,4.FM.45,CaNb<sup>5+</sup><sub>4</sub>O<sub>10</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O,Approved,2015
Qatranaite,Ca;Zn,OH,,,Ca;Zn x 2,OHx6,Ca;Zn;O;H,4.FM.50,CaZn<sup>2+</sup><sub>2</sub>(OH)<sub>6</sub>(H<sub>2</sub>O)<sub>2</sub>,"Approved, Pending publication",2016
Aspedamite,Fe^3+^;Fe^2+^;Nb^5+^;Th^4+^;Ti^4+^,OH;O,,,(Fe<sup>3+</sup> + Fe<sup>2+</sup>)=3;Nb<sup>5+</sup> x 4;Th<sup>4+</sup>;(Nb<sup>5+</sup> + Fe<sup>3+</sup> + Ti<sup>4+</sup>)=12,O x 42,Fe;Nb;Th;Ti;O;H,4.FN.05,"[box]<sub>12</sub>(Fe<sup>3+</sup>,Fe<sup>2+</sup>)<sub>3</sub>Nb<sup>5+</sup><sub>4</sub>Th<sup>4+</sup>(Nb<sup>5+</sup>,Fe<sup>3+</sup>,Ti<sup>4+</sup>)<sub>12</sub>O<sub>42</sub>(H<sub>2</sub>O,OH)<sub>12</sub>",Approved,2011
Menezesite,Ba;Mg;Zr,Nb^5+^_12_O_42_,,,Ba x 3;Mg;Zr x 4,Nb<sup>5+</sup><sub>12</sub>O<sub>42</sub>,Ba;Mg;Zr;Nb;O;H,4.FN.05,Ba<sub>3</sub>MgZr<sub>4</sub>Nb<sup>5+</sup><sub>12</sub>O<sub>42</sub>·12H<sub>2</sub>O,Approved,2006
Vapnikite,Ca;U^6+^,O,,,Ca x 3;U<sup>6+</sup>,O x 6,Ca;U;O,4.G0.05,Ca<sub>2</sub>CaU<sup>6+</sup>O<sub>6</sub>,Approved,2013
Metaschoepite,UO_2_,OH;O,,,UO<sub>2</sub> x 8,O x 2;OHx12,U;O;H,4.GA.05,(U<sup>6+</sup>O<sub>2</sub>)<sub>8</sub>O<sub>2</sub>(OH)<sub>12</sub>·10H<sub>2</sub>O,"Grandfathered, Approved",1960
Paraschoepite,UO_2_,O,,,UO<sub>2</sub>,O,U;O;H,4.GA.05,U<sup>6+</sup>O<sub>3</sub>·1-2H<sub>2</sub>O,"Questionable mineral species, Approved",1947
Schoepite,UO_2_,OH;O,,,UO<sub>2</sub> x 8,O x 2;OHx12,U;O;H,4.GA.05,(U<sup>6+</sup>O<sub>2</sub>)<sub>8</sub>O<sub>2</sub>(OH)<sub>12</sub>·12H<sub>2</sub>O,Approved,1923
Ianthinite,UO_2_;U^4+^,OH;O,,,UO<sub>2</sub> x 4;U<sup>4+</sup> x 2,O x 6;OHx4,U;O;H,4.GA.10,U<sup>4+</sup><sub>2</sub>(U<sup>6+</sup>O<sub>2</sub>)<sub>4</sub>O<sub>6</sub>(OH)<sub>4</sub>·9H<sub>2</sub>O,"Grandfathered, Approved",1926
Metastudtite,UO_2_,O,,,UO<sub>2</sub>,O x 2,U;O;H,4.GA.15,(U<sup>6+</sup>O<sub>2</sub>)O<sub>2</sub>(H<sub>2</sub>O)<sub>2</sub>,Approved,1983
Studtite,UO_2_,O,,,UO<sub>2</sub>,O x 2,U;O;H,4.GA.15,(U<sup>6+</sup>O<sub>2</sub>)O<sub>2</sub>(H<sub>2</sub>O)<sub>2</sub>·2H<sub>2</sub>O,"Grandfathered, Approved",1947
Paulscherrerite,UO_2_,OH;O,,,UO<sub>2</sub>,O x 2;OHx2,U;O;H,4.GA.20,U<sup>6+</sup>O<sub>2</sub>(OH)<sub>2</sub>,Approved,2011
Heisenbergite,U^6+^,OH;O,,,U<sup>6+</sup>,O x 2;OHx2,U;O;H,4.GA.25,U<sup>6+</sup>O<sub>2</sub>(OH)<sub>2</sub>·H<sub>2</sub>O,Approved,2010
Agrinierite,Ca;Sr;UO_2_;K,OH;O,,,(Ca + Sr)=1;UO<sub>2</sub> x 6;K x 2,O x 6;OHx4,K;Ca;Sr;U;O;H,4.GB.05,"K<sub>2</sub>(Ca,Sr)[(U<sup>6+</sup>O<sub>2</sub>)<sub>3</sub>O<sub>3</sub>(OH)<sub>2</sub>]<sub>2</sub>·5H<sub>2</sub>O",Approved,1972
Compreignacite,UO_2_;K,OH;O,,,UO<sub>2</sub> x 6;K x 2,O x 4;OHx6,K;U;O;H,4.GB.05,K<sub>2</sub>(U<sup>6+</sup>O<sub>2</sub>)<sub>6</sub>O<sub>4</sub>(OH)<sub>6</sub>·7H<sub>2</sub>O,Approved,1964
Rameauite,UO_2_;Ca;K,OH;O,,,UO<sub>2</sub> x 6;Ca;K x 2,O x 6;OHx4,K;Ca;U;O;H,4.GB.05,K<sub>2</sub>Ca(U<sup>6+</sup>O<sub>2</sub>)<sub>6</sub>O<sub>6</sub>(OH)<sub>4</sub>·6H<sub>2</sub>O,Approved,1972
Becquerelite,UO_2_;Ca,OH;O,,,UO<sub>2</sub> x 6;Ca,O x 4;OHx6,Ca;U;O;H,4.GB.10,Ca(U<sup>6+</sup>O<sub>2</sub>)<sub>6</sub>O<sub>4</sub>(OH)<sub>6</sub>·8H<sub>2</sub>O,"Grandfathered, Approved",1922
Billietite,UO_2_;Ba,OH;O,,,UO<sub>2</sub> x 6;Ba,O x 4;OHx6,Ba;U;O;H,4.GB.10,Ba(U<sup>6+</sup>O<sub>2</sub>)<sub>6</sub>O<sub>4</sub>(OH)<sub>6</sub>·8H<sub>2</sub>O,"Grandfathered, Approved",1947
Protasite,Ba;UO_2_,OH;O,,,Ba;UO<sub>2</sub> x 3,O x 3;OHx2,Ba;U;O;H,4.GB.10,Ba(U<sup>6+</sup>O<sub>2</sub>)<sub>3</sub>O<sub>3</sub>(OH)<sub>2</sub>·3H<sub>2</sub>O,Approved,1986
Richetite,Fe^3+^;Mg;Pb^2+^;UO_2_,OH;O,,,(Fe<sup>3+</sup> + Mg)=x;Pb<sup>2+</sup> x 8.6;UO<sub>2</sub> x 36,O x 36;OHx24,Fe;Mg;Pb;U;O;H,4.GB.15,"(Fe<sup>3+</sup>,Mg)<sub>x</sub>Pb<sup>2+</sup><sub>8.6</sub>(U<sup>6+</sup>O<sub>2</sub>)<sub>36</sub>O<sub>36</sub>(OH)<sub>24</sub>·41H<sub>2</sub>O","Grandfathered, Approved",1947
Bauranoite,Ba;UO_2_,O,,,Ba;UO<sub>2</sub> x 2,O x 3,Ba;U;O;H,4.GB.20,BaU<sup>6+</sup><sub>2</sub>O<sub>7</sub>·4-5H<sub>2</sub>O,Approved,1972
Calciouranoite,Ca;Ba;Pb^2+^;K;Na;UO_2_,O,,,(Ca + Ba + Pb<sup>2+</sup> + K + Na)=1;UO<sub>2</sub> x 2,O x 3,Ca;Ba;Pb;K;Na;U;O;H,4.GB.20,"(Ca,Ba,Pb<sup>2+</sup>,K,Na)U<sup>6+</sup><sub>2</sub>O<sub>7</sub>·5H<sub>2</sub>O",Approved,1973
Metacalciouranoite,Ca;Ba;Pb^2+^;K;UO_2_,O,,,(Ca + Ba + Pb<sup>2+</sup> + K)=1;UO<sub>2</sub> x 2,O x 3,Ca;Ba;Pb;K;U;O;H,4.GB.20,"(Ca,Ba,Pb<sup>2+</sup>,K<sub>2</sub>)U<sup>6+</sup><sub>2</sub>O<sub>7</sub>·2H<sub>2</sub>O",Approved,1973
Fourmarierite,UO_2_;Pb^2+^,OH;O,,,UO<sub>2</sub> x 4;Pb<sup>2+</sup> x 1-x,O x 3-2x;OHx4+2x,Pb;O;U;H,4.GB.25,Pb<sup>2+</sup><sub>1-x</sub>O<sub>3-2x</sub>(U<sup>6+</sup>O<sub>2</sub>)<sub>4</sub>(OH)<sub>4+2x</sub>·4H<sub>2</sub>O,"Grandfathered, Approved",1924
Wölsendorfite,Pb^2+^;Ca;UO_2_,O,,,(Pb<sup>2+</sup> + Ca)=1;UO<sub>2</sub> x 2,O x 3,Pb;Ca;U;O;H,4.GB.30,"(Pb<sup>2+</sup>,Ca)U<sup>6+</sup><sub>2</sub>O<sub>7</sub>·2H<sub>2</sub>O","Grandfathered, Approved",1957
Masuyite,Pb^2+^;UO_2_,OH;O,,,Pb<sup>2+</sup>;UO<sub>2</sub> x 3,O x 3;OHx2,Pb;U;O;H,4.GB.35,Pb<sup>2+</sup>(U<sup>6+</sup>O<sub>2</sub>)<sub>3</sub>O<sub>3</sub>(OH)<sub>2</sub>·3H<sub>2</sub>O,"Grandfathered, Approved",1947
Metavandendriesscheite,Pb^2+^;UO_2_,O,,,Pb<sup>2+</sup>;UO<sub>2</sub> x 7,O x 8,Pb;U;O;H,4.GB.40,Pb<sup>2+</sup>U<sup>6+</sup><sub>7</sub>O<sub>22</sub>·nH<sub>2</sub>O (n < 12),"Grandfathered, Approved",1960
Vandendriesscheite,UO_2_;Pb^2+^,OH;O,,,UO<sub>2</sub> x 10;Pb<sup>2+</sup> x 1.6,O x 6;OHx11,Pb;U;O;H,4.GB.40,Pb<sup>2+</sup><sub>1.6</sub>(U<sup>6+</sup>O<sub>2</sub>)<sub>10</sub>O<sub>6</sub>(OH)<sub>11</sub>·11H<sub>2</sub>O,"Grandfathered, Approved",1947
Vandenbrandeite,Cu^2+^;UO_2_,OH,,,Cu<sup>2+</sup>;UO<sub>2</sub>,OHx4,Cu;U;O;H,4.GB.45,Cu<sup>2+</sup>U<sup>6+</sup>O<sub>2</sub>(OH)<sub>4</sub>,"Grandfathered, Approved",1932
Sayrite,Pb^2+^;UO_2_,OH;O,,,Pb<sup>2+</sup> x 2;UO<sub>2</sub> x 5,O x 6;OHx2,Pb;U;O;H,4.GB.50,Pb<sup>2+</sup><sub>2</sub>(U<sup>6+</sup>O<sub>2</sub>)<sub>5</sub>O<sub>6</sub>(OH)<sub>2</sub>·4H<sub>2</sub>O,Approved,1983
Curite,UO_2_;Pb^2+^,OH;O,,,UO<sub>2</sub> x 8;Pb<sup>2+</sup> x 3+x,O x 8+2x;OHx6-2x,Pb;U;O;H,4.GB.55,Pb<sup>2+</sup><sub>3+x</sub>[(U<sup>6+</sup>O<sub>2</sub>)<sub>4</sub>O<sub>4+x</sub>(OH)<sub>3-x</sub>]<sub>2</sub>·2H<sub>2</sub>O,"Grandfathered, Approved",1921
Iriginite,UO_2_;Mo^6+^,O,,,UO<sub>2</sub>;Mo<sup>6+</sup> x 2,O x 7,U;O;Mo;H,4.GB.60,(U<sup>6+</sup>O<sub>2</sub>)Mo<sup>6+</sup><sub>2</sub>O<sub>7</sub>·3H<sub>2</sub>O,"Grandfathered, Approved",1956
Uranosphaerite,UO_2_;Bi,OH;O,,,UO<sub>2</sub>;Bi,O x 2;OH,Bi;U;O;H,4.GB.65,Bi(U<sup>6+</sup>O<sub>2</sub>)O<sub>2</sub>(OH),"Grandfathered, Approved",1873
Baumoite,Ba;UO_2_;Mo^6+^,O,,,Ba;UO<sub>2</sub>;Mo<sup>6+</sup> x 2,O x 8,Ba;U;Mo;O;H,4.GB.70,BaU<sup>6+</sup><sub>3</sub>Mo<sup>6+</sup><sub>2</sub>O<sub>16</sub>(H<sub>2</sub>O)<sub>6</sub>,"Approved, Pending publication",2017
Holfertite,UO_2_;Ti^4+^;Ca,O,,,UO<sub>2</sub> x 1.75;Ti<sup>4+</sup>;Ca x 0.25,O x 4,U;O;Ca;Ti;H,4.GB.70,(U<sup>6+</sup>O<sub>2</sub>)<sub>1.75</sub>Ca<sub>0.25</sub>Ti<sup>4+</sup>O<sub>4</sub>·3H<sub>2</sub>O,Approved,2003
Carlosbarbosaite,UO_2_;Nb^5+^,OH;O,,,UO<sub>2</sub> x 2;Nb<sup>5+</sup> x 2,O x 6;OHx2,U;O;Nb;H,4.GB.75,(U<sup>6+</sup>O<sub>2</sub>)<sub>2</sub>Nb<sup>5+</sup><sub>2</sub>O<sub>6</sub>(OH)<sub>2</sub>·2H<sub>2</sub>O,Approved,2010
Gauthierite,UO_2_;K;Pb^2+^,OH;O,,,UO<sub>2</sub> x 7;K;Pb<sup>2+</sup>,O x 5;OHx7,K;Pb;U;O;H,4.GB.80,KPb<sup>2+</sup>[(U<sup>6+</sup>O<sub>2</sub>)<sub>7</sub>O<sub>5</sub>(OH)<sub>7</sub>]·8H<sub>2</sub>O,Approved,2016
Kroupaite,UO_2_;K;Pb^2+^,OH;O,,,UO<sub>2</sub> x 8;K;Pb<sup>2+</sup> x 0.5,O x 4;OHx10,K;Pb;U;O;H,4.GB.85,KPb<sup>2+</sup><sub>0.5</sub>[(U<sup>6+</sup>O<sub>2</sub>)<sub>8</sub>O<sub>4</sub>(OH)<sub>10</sub>]·10H<sub>2</sub>O,"Approved, Pending publication",2017
Leesite,UO_2_;K,OH;O,,,UO<sub>2</sub> x 4;K,O x 2;OHx10,K;H;O;U,4.GB.90,K(H<sub>2</sub>O)<sub>2</sub>[(U<sup>6+</sup>O<sub>2</sub>)<sub>4</sub>O<sub>2</sub>(OH)<sub>5</sub>]·3H<sub>2</sub>O,Approved,2016
Nollmotzite,UO_2_;U^5+^;Mg,O;F,,,UO<sub>2</sub> x 2;U<sup>5+</sup>;Mg,O x 4;F x 3,Mg;U;O;F;H,4.GB.95,Mg[U<sup>5+</sup>(U<sup>6+</sup>O<sub>2</sub>)<sub>2</sub>O<sub>4</sub>F<sub>3</sub>]·4H<sub>2</sub>O,"Approved, Pending publication",2018
Shinkolobweite,UO_2_;U^5+^;Pb^2+^,OH;O,,,UO<sub>2</sub> x 5;U<sup>5+</sup>;Pb<sup>2+</sup> x 1.25,O x 8;OHx2,Pb;U;H;O,4.GB.95,Pb<sup>2+</sup><sub>1.25</sub>[U<sup>5+</sup>(H<sub>2</sub>O)<sub>2</sub>(U<sup>6+</sup>O<sub>2</sub>)<sub>5</sub>O<sub>8</sub>(OH)<sub>2</sub>](H<sub>2</sub>O)<sub>5</sub>,"Pending publication, Approved",2016
Clarkeite,Na;Ca;Pb^2+^;UO_2_,OH;O,,,(Na + Ca + Pb<sup>2+</sup>)=1;UO<sub>2</sub>,O;OH,Na;Ca;Pb;U;O;H,4.GC.05,"(Na,Ca,Pb<sup>2+</sup>)(U<sup>6+</sup>O<sub>2</sub>)O(OH)·nH<sub>2</sub>O","Grandfathered, Approved",1931
Umohoite,UO_2_;Mo^6+^,O,,,UO<sub>2</sub>;Mo<sup>6+</sup>,O x 4,U;O;Mo;H,4.GC.10,(U<sup>6+</sup>O<sub>2</sub>)Mo<sup>6+</sup>O<sub>4</sub>·2H<sub>2</sub>O,"Grandfathered, Approved",1953
