name,cation,anion,silicate,silicate_html,cation_html,anion_html,elements,strunz,formula,ima,year
Roymillerite,Pb^2+^;Mg,OH;CO_3_;BO_3_;O,,,Pb<sup>2+</sup> x 24;Mg x 9,CO<sub>3</sub> x 10;BO<sub>3</sub>;O x 5;OHx12,Pb;Mg;Si;O;C;B;H,9.EG.70,Pb<sup>2+</sup><sub>24</sub>Mg<sub>9</sub>(Si<sub>10</sub>O<sub>28</sub>)(CO<sub>3</sub>)<sub>10</sub>(BO<sub>3</sub>)(SiO<sub>4</sub>)(OH)<sub>13</sub>O<sub>5</sub>,Approved,2016
Bannisterite,Ca;K;Na;Mn^2+^;Fe^2+^,,,,(Ca + K + Na)=1;(Mn<sup>2+</sup> + Fe<sup>2+</sup>)=10,,Ca;K;Na;Mn;Fe;Si;Al;O;H,9.EG.75,"(Ca,K,Na)(Mn<sup>2+</sup>,Fe<sup>2+</sup>)<sub>10</sub>(Si,Al)<sub>16</sub>O<sub>38</sub>(OH)<sub>8</sub>·nH<sub>2</sub>O",Approved,1968
Burckhardtite,Fe^3+^;Pb^2+^;Te^6+^,O,,,Fe<sup>3+</sup>;Pb<sup>2+</sup> x 2;Te<sup>6+</sup>,O x 6,Pb;Fe;Te;Al;Si;O,9.EG.80,Pb<sup>2+</sup><sub>2</sub>(Fe<sup>3+</sup>Te<sup>6+</sup>)[AlSi<sub>3</sub>O<sub>8</sub>]O<sub>6</sub>,Approved,1979
Magnesioneptunite,Mg;Fe^2+^;K;Li;Na;Ti^4+^,,,,(Mg + Fe<sup>2+</sup>)=2;K;Li;Na x 2;Ti<sup>4+</sup> x 2,,K;Na;Li;Mg;Fe;Ti;Si;O,9.EH.05,"KNa<sub>2</sub>Li(Mg,Fe<sup>2+</sup>)<sub>2</sub>Ti<sup>4+</sup><sub>2</sub>Si<sub>8</sub>O<sub>24</sub>",Approved,2009
Manganoneptunite,K;Li;Mn^2+^;Na;Ti^4+^,,,,K;Li;Mn<sup>2+</sup> x 2;Na x 2;Ti<sup>4+</sup> x 2,,K;Na;Li;Mn;Ti;Si;O,9.EH.05,KNa<sub>2</sub>LiMn<sup>2+</sup><sub>2</sub>Ti<sup>4+</sup><sub>2</sub>Si<sub>8</sub>O<sub>24</sub>,"Approved, Renamed",1923
Neptunite,Fe^2+^;K;Li;Na;Ti^4+^,,,,Fe<sup>2+</sup> x 2;K;Li;Na x 2;Ti<sup>4+</sup> x 2,,K;Na;Li;Fe;Ti;Si;O,9.EH.05,KNa<sub>2</sub>LiFe<sup>2+</sup><sub>2</sub>Ti<sup>4+</sup><sub>2</sub>Si<sub>8</sub>O<sub>24</sub>,"Grandfathered, Approved",1893
Watatsumiite,Mn^2+^;Fe^2+^;K;Li;Na;V^4+^,,,,(Mn<sup>2+</sup> + Fe<sup>2+</sup>)=2;K;Li;Na x 2;V<sup>4+</sup> x 2,,K;Na;Li;Mn;Fe;V;Si;O,9.EH.05,"KNa<sub>2</sub>Li(Mn<sup>2+</sup>,Fe<sup>2+</sup>)<sub>2</sub>V<sup>4+</sup><sub>2</sub>Si<sub>8</sub>O<sub>24</sub>",Approved,2003
Grumantite,Na,,,,Na,,Na;Si;O;H,9.EH.10,NaSi<sub>2</sub>O<sub>4</sub>(OH)·H<sub>2</sub>O,Approved,1985
Sarcolite,Ca;Na,OH;CO_3_;Cl;PO_4_,,,Ca x 12;Na x 4,"(SiO<sub>4</sub>,PO<sub>4</sub>);(CO<sub>3</sub>,Cl);(OH + H<sub>2</sub>O)=4",Na;Ca;Al;Si;O;P;H;C;Cl,9.EH.15,"Na<sub>4</sub>Ca<sub>12</sub>Al<sub>8</sub>Si<sub>12</sub>O<sub>46</sub>(SiO<sub>4</sub>,PO<sub>4</sub>)(OH,H<sub>2</sub>O)<sub>4</sub>(CO<sub>3</sub>,Cl)","Grandfathered, Approved",1807
Ussingite,Na,OH,,,Na x 2,OH,Na;Al;Si;O;H,9.EH.20,Na<sub>2</sub>AlSi<sub>3</sub>O<sub>8</sub>(OH),"Grandfathered, Approved",1915
Eirikite,Na;K,F,,,Na x 6;K,F x 2,K;Na;Be;Si;Al;O;F,9.EH.25,KNa<sub>6</sub>Be<sub>2</sub>(Si<sub>15</sub>Al<sub>3</sub>)O<sub>39</sub>F<sub>2</sub>,Approved,2007
Leifite,Na,F,,,Na x 6,F x 2,Na;H;O;Be;Al;Si;F,9.EH.25,"(Na,H<sub>2</sub>O)Na<sub>6</sub>[Be<sub>2</sub>Al<sub>2</sub>(Al,Si)Si<sub>15</sub>O<sub>39</sub>]F<sub>2</sub>","Approved, Redefined",1915
Telyushenkoite,Cs;Na;K,F,,,(Cs + Na + K)=1;Na x 6,F x 2,Cs;Na;K;Be;Al;Si;O;F,9.EH.25,"(Cs,Na,K)Na<sub>6</sub>Be<sub>2</sub>Al<sub>3</sub>Si<sub>15</sub>O<sub>39</sub>F<sub>2</sub>",Approved,2001
