Mineral_Name,index,A synonym of
Matildite Group,1.0,NA
Matlockite Group,1.0,NA
Medaite Group,1.0,NA
Melanterite Group,1.0,NA
Melonite Group,1.0,NA
Meneghinite Group,1.0,NA
Menezesite Group,1.0,NA
Meta-autunite Group,1.0,NA
Metavariscite Group,1.0,NA
Millerite Group,1.0,NA
Millosevichite Group,1.0,NA
Minasragrite Group,1.0,NA
Mitridatite Group,1.0,NA
Mixite Group,1.0,NA
Modderite Group,1.0,NA
Molybdenite Group,1.0,NA
Molybdophyllite Group,1.0,NA
Montgomeryite Group,1.0,NA
Murdochite Group,1.0,NA
Murmanite Group,1.0,NA
Nabimusaite Group,1.0,NA
Nadorite Group,1.0,NA
Natrolite Group,1.0,NA
Natrotantite Group,1.0,NA
Neighborite Group,1.0,NA
Nenadkevichite Group,1.0,NA
Neptunite Group,1.0,NA
Neyite Group,1.0,NA
Nickeline Group,1.0,NA
Nordgauite Group,1.0,NA
Northupite Group,1.0,NA
Nowackiite Group,1.0,NA
Nuwaite Group,1.0,NA
Olivenite Group,1.0,NA
Ondrušite Group,1.0,NA
Orpiment Group,1.0,NA
Orthopinakiolite Group,1.0,NA
Osbornite Group,1.0,NA
Oskarssonite Group,1.0,NA
Osumilite Group,1.0,NA
Overite Group,1.0,NA
Ozerovaite Group,1.0,NA
Palermoite Group,1.0,NA
Palygorskite Group,1.0,NA
Paralstonite Group,1.0,NA
Pascoite Group,1.0,NA
Pavonite Group,1.0,NA
Pearceite Group,1.0; 2.9,Pearceite-Polybasite Group
Pentlandite Group,1.0,NA
Perhamite Group,1.0,NA
Periclase Group,1.0,NA
Perovskite Group,1.0,NA
Peterandresenite Group,1.0,NA
Pharmacoalumite Group,1.0,NA
Pharmacosiderite Group,1.0,NA
Phenakite Group,1.0,NA
Phosphoferrite Group,1.0,NA
Phosphofibrite Group,1.0,NA
Phosphuranylite Group,1.0,NA
Picromerite Group,1.0,NA
Pinakiolite Group,1.0,NA
Plagionite Group,1.0,NA
Plancheite Group,1.0,NA
Platinum Group,1.0,NA
Plumbogummite Group,1.0,NA
Polybasite Group,1.0; 2.9,Pearceite-Polybasite Group
Pottsite Group,1.0,NA
Preisingerite Group,1.0,NA
Priderite Group,1.0,NA
Proustite Group,1.0,NA
Pseudobrookite Group,1.0,NA
Pyracmonite Group,1.0,NA
Pyrite Group,1.0,NA
Pyrophyllite Group,1.0; 2.9,Pyrophyllite-Talc Group
Pyrrhotite Group,1.0,NA
Quadratite Group,1.0,NA
Quartz Group,1.0,NA
Quintinite Group,1.0,NA
Ramsdellite Group,1.0,NA
Reyerite Group,1.0,NA
Rhodesite Group,1.0,NA
Rhodizite Group,1.0,NA
Rhodonite Group,1.0,NA
Rhönite Group,1.0,NA
Rinneite Group,1.0,NA
Rockbridgeite Group,1.0,NA
Rosasite Group,1.0,NA
Roscherite Group,1.0,NA
Roselite Group,1.0,NA
Rosenbergite Group,1.0,NA
Rossite Group,1.0,NA
Routhierite Group,1.0,NA
Rozenite Group,1.0,NA
Ruizite Group,1.0,NA
Rutile Group,1.0,NA
Sabieite Group,1.0,NA
Saneroite Group,1.0,NA
Sanjuanite Group,1.0; 2.9,Sanjuanite-Destinezite Group
Sapphirine Group,1.0,NA
Sarcopside Group,1.0,NA
Sartorite Group,1.0,NA
Sborgite Group,1.0,NA
Schapbachite Group,1.0,NA
Scheelite Group,1.0,NA
Schieffelinite Group,1.0,NA
Schoenfliesite Group,1.0,NA
Schoepite Group,1.0,NA
Schoonerite Group,1.0,NA
Schorlomite Group,1.0,NA
Schreyerite Group,1.0,NA
Seelite Group,1.0,NA
Seidozerite Group,1.0,NA
Sepiolite Group,1.0,NA
Sklodowskite Group,1.0,NA
Skutterudite Group,1.0,NA
Smolyaninovite Group,1.0,NA
Sodalite Group,1.0,NA
Söhngeite Group,1.0,NA
Souzalite Group,1.0,NA
Sphalerite Group,1.0,NA
Spinel Group,1.0,NA
Spiroffite Group,1.0,NA
Spurrite Group,1.0; 2.9,Spurrite-Afwillite Group
Stannite Group,1.0,NA
Staurolite Group,1.0,NA
Steacyite Group,1.0,NA
Stibnite Group,1.0,NA
Stilpnomelane Group,1.0,NA
Stottite Group,1.0,NA
Straczekite Group,1.0,NA
Strunzite Group,1.0,NA
Struvite Group,1.0,NA
Sulphohalite Group,1.0,NA
Sulphur Group,1.0,NA
Svornostite Group,1.0,NA
Symplesite Group,1.0,NA
Syngenite Group,1.0,NA
Talc Group,1.0; 2.9,Pyrophyllite-Talc Group
Talnakhite Group,1.0,NA
Tamarugite Group,1.0,NA
Tarbuttite Group,1.0,NA
Telargpalite Group,1.0,NA
Terskite Group,1.0,NA
Tetradymite Group,1.0,NA
Thermessaite Group,1.0,NA
Thortveitite Group,1.0,NA
Tikhonenkovite Group,1.0,NA
Tilasite Group,1.0,NA
Tincalconite Group,1.0; 2.9,Tincalconite-Borax Group
Titanite Group,1.0,NA
Tivanite Group,1.0,NA
Tobermorite Group,1.0,NA
Topaz Group,1.0,NA
Triphylite Group,1.0,NA
Triplite Group,1.0,NA
Trippkeite Group,1.0,NA
Tsumcorite Group,1.0,NA
Tuhualite Group,1.0,NA
Turquoise Group,1.0,NA
Tyrolite Group,1.0,NA
Ulvöspinel Group,1.0,NA
Umangite Group,1.0; 2.9,Berzelianite-Umangite Group
Umbite Group,1.0,NA
Uraninite Group,1.0,NA
Uranophane Group,1.0,NA
Valleriite Group,1.0,NA
Vapnikite Group,1.0,NA
Variscite Group,1.0,NA
Vergasovaite Group,1.0,NA
Vesuvianite Group,1.0,NA
Vivianite Group,1.0,NA
Volborthite Group,1.0,NA
Voltaite Group,1.0,NA
Vurroite Group,1.0,NA
