"Mineral_Name","Approval history","Groups","Synonyms","Varieties","Strunz 8th edition","Dana 8th edition","Strunz 10th edition","Hey's 3rd edition","Formula","Crystal System","Class Name","H-M symbol","Space group","Non-standart settings","Optical Properties","Colour","Streak","Lustre","Cleavage","Fracture","Tenacity","Hardness","Density measured","Density calculated","Habit","Geological occurrence","Localities","References","Named for","Type Locality","Distribution","Distribution Range","URL to e-Rocks","Context","Groups Short"
"Larvikite","Approved",,"Larvikite -",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10334",,
"Hilgardite-1Tc","Approved",,"Hilgardite 1tc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10335",,
"Tiffany stone","Approved",,"Tiffany Stone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10336",,
"Gelberde","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10337",,
"Chesofiite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10338",,
"Chalk","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10339",,
"Glockerite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10340",,
"Bole","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10341",,
"Basaltic Hornblende","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10342",,
"Gagarinite","Approved",,"Gagarinite -",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10344",,
"Vanuranylite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10345",,
"Rock Guano","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10346",,
"Sulphides","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10111",,
"Rare Earth Elements","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10112",,
"Arsenate","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10113",,
"NH4 Analogue Of Thermessaite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10114",,
"Gordaite Related Sulphate","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10115",,
"Tellurides","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10116",,
"Lepidomelane","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10117",,
"Scenic Sandstone","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10087",,
"Hardouinia Mortonia","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10088",,
"Palacosmillia Species","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10089",,
"Cobaltoan Coquandite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10090",,
"Chondrite Meteorite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10091",,
"Wire","Approved",,"Wires",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10092",,
"Rogenstein","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10093",,
"Wasserkies","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10094",,
"Kupferziegelerz","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10095",,
"Teratolite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10096",,
"Pittizite (of Beudant)","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10097",,
"Pittizite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10098",,
"Emerald Cut","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10099",,
"Marmarosh Diamond","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10100",,
"Red Opal","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10101",,
"Green Opal","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10102",,
"Ferroan Opal","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10103",,
"Chalybite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10104",,
"Uranophane Alpha","Approved",,"Uranophan-α, Uranophane-α, Uranophan-alpha, Uranophan alpha, Uranophane-Alpha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10105",,
"Kôzulite","Approved",,"Kozulite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10106",,
"Sjögrenite","Approved",,"Sjoegrenite, Sjogrenite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10107",,
"UK 39","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10108",,
"Phosphate Gel","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10109",,
"Zn Mn Phosphate","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10110",,
"Peruvian Opal","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10037",,
"Dinosaur Bone","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10038",,
"Ball","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10039",,
"Polished","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10040",,
"Finish","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10041",,
"Facet","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10042",,
"Cabochon","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10043",,
"Pyramid","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10044",,
"Irradiated","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10045",,
"Heat Treated","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10046",,
"Treated","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10047",,
"Pyramid","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10048",,
"Freeform","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10049",,
"Unnamed (Ba-analogue of Calcioaravaipaite)","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10050",,
"Barium Analogue of Calcioaravaipaite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10051",,
"Octahedron","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10052",,
"Egg","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10053",,
"Tentaculite Fossil","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10054",,
"Mammoth Ivory","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10055",,
"Sand Pipe","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10056",,
"Thecosmilia Trichotoma","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10057",,
"Astrotheca Miltoni","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10058",,
"Trilobite - Dicalymene","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10059",,
"Graptolites","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10060",,
"Cube","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10061",,
"Mammoth Upper Molar","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10062",,
"Sixling Twin","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10063",,
"Sphere","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10064",,
"Elephant","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10065",,
"Obelisk","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10066",,
"Angel","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10067",,
"Rhaphidonema Farringdonese - Fossil Sponge","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10068",,
"Ventifact","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10069",,
"Rough","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10070",,
"Carving","Approved",,"Carved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10072",,
"Kwan Qin","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10073",,
"Cleaned","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10074",,
"Star Coral","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10075",,
"Batonian Ailsacrinous Abbreviatus","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10077",,
"Bottle","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10078",,
"Doavilleiceras","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10079",,
"Baculite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10081",,
"Hexagonal Prism","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10082",,
"Oredon - Merycoidodon","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10083",,
"Knapped","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10084",,
"Veevers Iron Meteorite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10085",,
"Volcanic Dust","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10086",,
"Skeletal","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9988",,
"Londonite-Rhodizite Series","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9989",,
"Sinter","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9990",,
"Beaumontite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9991",,
"Suttroper Quartz","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9992",,
"Gastropod","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9993",,
"Unnamed (Fe-analogue of Zakharovite)","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9994",,
"Fe-analogue of Zakharovite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9995",,
"Pallasite Meteorite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9996",,
"Ceriopyrochlore","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9997",,
"Shard Cobalt","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9998",,
"Mesosiderite Meteorite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9999",,
"Dadoxylon","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10000",,
"Maggot Stone","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10001",,
"Selenian Digenite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10002",,
"Tsumeb Smelter Slag","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10003",,
"Carbon","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10004",,
"Cadmian Willemite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10005",,
"Spherocalcite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10006",,
"Rottisite","Approved",,"Röttizite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10007",,
"Texasite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10008",,
"Texasite (of Kenngott)","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10009",,
"Erdmannite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10010",,
"Erdmannite (of Engström and Des Cloizeaux & Damour)","Approved",,"Erdmannite (of Engstroem and Des Cloizeaux & Damour), Erdmannite (of Engstrom and Des Cloizeaux & Damour)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10011",,
"Esparraguine","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10012",,
"Wachsopal","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10013",,
"Blenda Acaramelada","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10014",,
"Honeyblende","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10015",,
"Naphtha","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10016",,
"Boghead Coal","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10017",,
"Boryslavite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10018",,
"Manganoan Kyanite","Approved",,"Kyanite Mn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10019",,
"Turf","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10020",,
"Praseodymium","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10021",,
"Leopard Skin Jasper","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10022",,
"Candle Coal","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10023",,
"Ceriopyrochlore-(Ce)","Approved",,"Ceriopyrochlore-Ce, Ceriopyrochlore Ce, Ceriopyrochlore - Ce",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10024",,
"Pyrite Dollar","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10025",,
"Azurite Sun","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10026",,
"Purbeck Marble","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10027",,
"Nickeloan Erythrite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10028",,
"Zirconium","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10029",,
"Calcium","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10030",,
"Bituminous Sulphur","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10031",,
"Diabandite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10032",,
"Marmor Marble","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10033",,
"Rhaetic Bone Bed","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10034",,
"Cadmian Wurtzite","Approved",,,,,,,,"(Zn_0.62_Cd_0.38_)S",,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10035",,
"Cobaltoan Dawsonite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10036",,
"Slickenside","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9938",,
"Enhydro","Approved",,"With Fluid Inclusions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9939",,
"Stahlerz","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9940",,
"Axe Head Twin","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9941",,
"Heart Twin","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9942",,
"Lithium Biotite Mica","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9944",,
"Amphibole","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9945",,
"Clinovariscite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9946",,
"Plumbobetafite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9947",,
"Ellweilerite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9948",,
"Manganoan Aragonite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9949",,
"Kugelpechstein","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9950",,
"Arsenatian Pyromorphite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9951",,
"Nickel Antigorite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9952",,
"Ashcroftine","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9953",,
"Europium","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9954",,
"Gallium","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9955",,
"Gadolinium","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9956",,
"Hafnium","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9957",,
"Lutetium","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9958",,
"Refined Element","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9959",,
"Germanium","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9960",,
"Iron-nickel Meteorite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9961",,
"Ticino Habit","Approved",,"Tessiner Habit, Tessin Habit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9962",,
"Kobeite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9963",,
"Lace Agate","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9964",,
"Baculites Yokohama","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9965",,
"Cherry Blossom Stone","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9966",,
"Cabrerite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9967",,
"Manganoan Strengite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9968",,
"Miesite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9969",,
"Arsenopolybasite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9971",,
"Arsenopolybasite (of Frondel)","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9972",,
"Silicified Pinecone","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9973",,
"Ratholite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9974",,
"Taimyrite I-Tatyanaite Series","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9975",,
"Ochsenauge","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9976",,
"Geikielite-Ilmenite Series","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9978",,
"Schlangengips","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9979",,
"Endlichite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9980",,
"Lithophyse Agate","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9981",,
"Mangan Serpentine","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9982",,
"Nitronatrite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9983",,
"Manganoan Zanazziite","Approved",,"Mangaon-zanazziite, Zanazziite Mn, Mangaonzanazziite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9984",,
"Yorkshire Oakstone","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9985",,
"Arfvedsonite Group","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9986",,
"Paesina Stone","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9987",,
"Aristile Uk 60","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9889",,
"Unnamed","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9890",,
"Donnayite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9891",,
"Donnayite Group","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9892",,
"Strontium Agrellite","Approved",,"Agrellite-Sr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9893",,
"Schist","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9894",,
"Mica Schist","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9895",,
"Biotite Schist","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9896",,
"Schwarzbleierz","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9897",,
"Black Lead Ore","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9898",,
"Arrowhead Twin","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9899",,
"Eisenkiesel","Approved",,"Red Quartz, Eisenkeisel, Quartz Var Eisenkeisel, Quartz Var Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9900",,
"Limburgite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9901",,
"Chromian Muscovite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9902",,
"Plumbopyrochlore","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9903",,
"Plumbopyrochlore (of Atencio et al.)","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9904",,
"Niobian Eudialyte","Approved","Eudialyte Group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9905",,
"Manganoan Eudialyte","Approved","Eudialyte Group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9906",,
"Iimoriite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9907",,
"Manganoan Apatite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9908",,
"Mangan-rockbridgeite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9909",,
"Mendozavillite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9910",,
"Sceptre","Approved",,"Scepter, Szepter, Septre, Szeptre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9911",,
"Reverse Sceptre","Approved",,"Reverse Scepter, Reverse Szepter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9912",,
"Japan Law","Approved",,"Japan Law Twin, Japanese Twin, Japan Twin, Japan-law Twin, Japanese Law Twin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/9913",,
