"Mineral_Name","Approval history","Groups","Synonyms","Varieties","Strunz 8th edition","Dana 8th edition","Strunz 10th edition","Hey's 3rd edition","Formula","Crystal System","Class Name","H-M symbol","Space group","Non-standart settings","Optical Properties","Colour","Streak","Lustre","Cleavage","Fracture","Tenacity","Hardness","Density measured","Density calculated","Habit","Geological occurrence","Localities","References","Named for","Type Locality","Distribution","Distribution Range","URL to e-Rocks","Context","Groups Short"
"Paralabuntsovite-(Mg)","Approved",,"Labuntsovite (of Milton et al.)",,"8/E.07-60",,,,"Na_8_K_8_Mg_4_Ti_16_(Si_4_O_12_)_8_(OH,O)_16_ · 20-24H_2_O","Monoclinic",,,,,,,,,,,,6,,,,,"Trona Mine, Green River Formation, Sweetwater Co., Wyoming, USA",,,,,,"https://e-rocks.com/node/1155781",,
"Pianlinite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1133282",,
"Argentotetrahedrite","Approved",,"IMA2016-093",,"2.GB.05",,,,"Ag_6_Cu_4_(Fe,Zn)_2_Sb_4_S_13_","Isometric",,,,,,,,,,,,,,,,,"Keno Hill, Mayo mining district, Yukon, Canada",,,,,,"https://e-rocks.com/node/1127427",,
"Unnamed (Sn-Ge Sulphide)","Approved",,,,,,,,"SnGeS_3_",,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1122047",,
"Hiortdahite II","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1118148",,
"Hiordtdahlite II","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1118147",,
"Unnamed (Pb2(OH)3(NO3))","Approved",,"Unnamed (Pb Nitrate I)",,,,,,"Pb_2_(OH)_3_(NO_3_)","Orthorhombic",,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1117649",,
"Unnamed (Pb13O8(OH)6(NO3)4)","Approved",,"Unnamed (Pb Nitrate II)",,,,,,"Pb_13_O_8_(OH)_6_(NO_3_)_4_","Trigonal",,,,,,"Colourless, white, pale yellow",,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1117647",,
"Barrington Crater Impact Spherules","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1117064",,
"Eucrite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1113141",,
"NWA 10071","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1113140",,
"Sulagiri LL6","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1113139",,
"NWA 6210 L3","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1113138",,
"NWA","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1113137",,
"NWA 869","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1113136",,
"Buchite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1111836",,
