"Term ID","Name","Vocab machine name","Count","Approval status","Mindat ID","Term Flattened","Geolocation"
"72054","A O Prospect, Mount General,  Hinkley, San Bernardino County","locality_data","1","Approved","209643","A O Prospect, Mount General,  Hinkley, San Bernardino County, California, United States of America","
  
  
  34.9586105347, -117.104583741

"
"77175","A'Bhuidheanaich, Kincraig, Highland","locality_data","1","Approved","1","A'Bhuidheanaich, Kincraig, Highland, Scotland, United Kingdom","
  
  
  57.12750744886993, -3.9299388737392746

"
"62006","A'Chir, Glen Rosa, Isle of Arran","locality_data","4","Approved","210635","A'Chir, Glen Rosa, Isle of Arran, Scotland, United Kingdom","
  
  
  55.591813779547, -5.1748532290262

"
"47903","A/S Granit Quarry, Tuften, Tvedalen, Larvik","locality_data","94","Approved","52650","A/S Granit Quarry, Tuften, Tvedalen, Larvik, Vestfold og Telemark, Norway","
  
  
  59.0388888889, 9.8561111111101

"
"81047","A1 Costruction Site, Hasborn-Dautweiler, Sankt Wendel","locality_data","1","Approved","1","A1 Costruction Site, Hasborn-Dautweiler, Sankt Wendel, Saarland, Germany","
  
  
  49.48843170000001, 6.9797915

"
"80271","A1 Highway Cut, Tondorf, Blankenheim, Cologne","locality_data","4","Approved","51041","A1 Highway Cut, Tondorf, Blankenheim, Cologne, North Rhine - Westphalia, Germany","
  
  
  50.4735481, 6.715393100000028

"
"47905","A1 Mine, A1 Mining Settlement, Mansfield Shire","locality_data","1","Approved","195230","A1 Mine, A1 Mining Settlement, Mansfield Shire, Victoria, Australia","
  
  
  -37.500136188, 146.203390312

"
"69763","A10 Highway Tunnel, Katschberg, Schellgaden, Tamsweg District","locality_data","1","Approved","56907","A10 Highway Tunnel, Katschberg, Schellgaden, Tamsweg District, Salzburg, Austria","
  
  
  47.0788888889, 13.5955555556

"
"53793","A10 Road Tunnel, Katschberg, Spittal an der Drau District","locality_data","2","Approved","41890","A10 Road Tunnel, Katschberg, Spittal an der Drau District, Carinthia, Austria","
  
  
  47.0766666666, 12.8336111111

"
"47906","A4 Highway Tunnel, Thiemendorf, Görlitz","locality_data","1","Approved","22273","A4 Highway Tunnel, Thiemendorf, Görlitz, Saxony, Germany","
  
  
  51.215, 14.8111111111

"
"47908","A4119 Roadcut, Llantrisant, Rhondda Cynon Taf","locality_data","12","Approved","4291","A4119 Roadcut, Llantrisant, Rhondda Cynon Taf, Wales, United Kingdom","
  
  
  51.528445941, -3.36819658056

"
"47901","A46 Highway Bridge, Uentrop, Arnsberg","locality_data","19","Approved","66362","A46 Highway Bridge, Uentrop, Arnsberg, North Rhine - Westphalia, Germany","
  
  
  51.3963888889, 8.09777777778

"
"47909","A850 Road Cut, Black Hill, Edinbane, Isle of Skye","locality_data","1","Approved","2952","A850 Road Cut, Black Hill, Edinbane, Isle of Skye, Scotland, United Kingdom","
  
  
  57.4724720762, -6.45410999389

"
"80036","Aachen","locality_data","1","Approved","21265","Aachen, North Rhine - Westphalia, Germany","
  
  
  50.7753455, 6.083886799999959

"
"47914","Aalen, Stuttgart Region","locality_data","2","Approved","244347","Aalen, Stuttgart Region, Baden-Württemberg, Germany","
  
  
  48.8366887, 10.0971163

"
"62270","Aasiaat, Disko Bay","locality_data","1","Approved","264264","Aasiaat, Disko Bay, Qeqertalik, Greenland","
  
  
  68.7069766, -52.8591222

"
"47910","AB Baca Diggings, Socorro County","locality_data","1","Approved","1","AB Baca Diggings, Socorro County, New Mexico, United States of America","
  
  
  33.8837087, -106.72346390000001

"
"47916","Abarán","locality_data","26","Approved","20104","Abarán, Murcia, Spain","
  
  
  38.2040853, -1.4012039

"
"75346","Abbadia Lariana, Lecco Province","locality_data","1","Approved","208058","Abbadia Lariana, Lecco Province, Lombardy, Italy","
  
  
  45.89994, 9.333110000000033

"
"47917","Abbadia San Salvatore Mine, Abbadia San Salvatore, Siena Province","locality_data","11","Approved","48164","Abbadia San Salvatore Mine, Abbadia San Salvatore, Siena Province, Tuscany, Italy","
  
  
  42.882697, 11.663549

"
"47918","Abbeytown Quarry","locality_data","23","Approved","2053","Abbeytown Quarry, County Sligo, Irish Republic (Eire)","
  
  
  54.2144444444, -8.525

"
