mineral_id,relation_id,relation_note,relation_type_id
c92e9af2-ed0c-4c2a-b513-7a03eaa70190,765db5f0-08a8-4f39-a8a0-8fbb31bf3c5d,,1
c92e9af2-ed0c-4c2a-b513-7a03eaa70190,765db5f0-08a8-4f39-a8a0-8fbb31bf3c5d,,2
2f2b6037-03fb-4cec-8251-6cc10d86679c,a866f15a-3abe-4b26-950c-74408812b8a7,,1
2f2b6037-03fb-4cec-8251-6cc10d86679c,a866f15a-3abe-4b26-950c-74408812b8a7,,2
10e41519-a124-47b4-91de-595989a5e94a,ae48cd7d-54c1-4f62-a865-97fe1586b60c,,1
b4e6c55b-c7b5-4229-ae7e-f191fc5a17f2,ac37053a-91c8-427c-b765-686bcbee018c,,1
79132862-0756-4445-bb1e-dd84d7d9fb99,ac37053a-91c8-427c-b765-686bcbee018c,,1
5309ab83-a51a-4610-82c2-729fd7a5283e,f8d81d81-55f8-41aa-b452-ac7fc09c1004,,1
be05ff4b-221b-45d7-b6b8-188e1c8aedb8,13d4798e-919a-463c-b1d7-95477340673a,,1
13d4798e-919a-463c-b1d7-95477340673a,be05ff4b-221b-45d7-b6b8-188e1c8aedb8,,1
b543eb63-3bf9-449f-8a6a-744ffe1578fd,f0926c31-8b03-419d-9e00-0e5355f1235a,,1
b543eb63-3bf9-449f-8a6a-744ffe1578fd,510c1eef-0913-47cc-b2d9-5e5aa3a4d553,,1
f82e7433-7600-47d6-b67b-5ce180ac057d,67909873-9c6c-41e3-8aa5-88a8ea9cdeaf,,1
f82e7433-7600-47d6-b67b-5ce180ac057d,8da04b67-187d-4a43-b282-667bb688549d,,1
5827a01e-72f3-4f35-84cc-759e347e2267,a263d167-8d1f-4d70-b7f3-3e212739a2f1,Carbonate minerals,1
5827a01e-72f3-4f35-84cc-759e347e2267,f2854641-a6a0-4195-9941-e37abc2593ac,Carbonate minerals,1
4dbe8623-5a1b-4760-9b10-a8f75e5dbadb,a9828075-50fe-41d4-b811-9797eb74ba0f,,1
4ef179ec-5bcd-4a05-a0ea-3480f6752f49,1ce92ae0-6456-4d05-86c2-5f7cc24ea887,,1
4ef179ec-5bcd-4a05-a0ea-3480f6752f49,a70e1aeb-d811-4f47-bd5e-fe04c38c54e3,,1
4ef179ec-5bcd-4a05-a0ea-3480f6752f49,62a02cee-5f97-4e63-bbb5-d22422ba8918,,1
4ef179ec-5bcd-4a05-a0ea-3480f6752f49,1ecd8233-415a-43c1-8679-888c65b517fb,,1
4ef179ec-5bcd-4a05-a0ea-3480f6752f49,7be2e7b5-f2c7-4d12-9207-bb51ced8ccd1,,1
4ef179ec-5bcd-4a05-a0ea-3480f6752f49,e48cf02b-5aa1-4e54-9336-31a763e13633,,2
4ef179ec-5bcd-4a05-a0ea-3480f6752f49,438844b0-cae3-473f-a4d7-31b90c189d84,,2
46e1bc87-008c-42e2-ac23-365edf629eec,88134a97-e1f9-4c5a-8111-c1955f19f725,,1
88134a97-e1f9-4c5a-8111-c1955f19f725,8202181a-49c9-4766-81d9-d58b784d64d1,,1
88134a97-e1f9-4c5a-8111-c1955f19f725,46e1bc87-008c-42e2-ac23-365edf629eec,,1
81a85c14-a4dc-4d3c-b04f-25c8c97ca9d7,a462fe03-7c26-4f54-99d5-c54d485f6d14,,1
a462fe03-7c26-4f54-99d5-c54d485f6d14,81a85c14-a4dc-4d3c-b04f-25c8c97ca9d7,,1
a462fe03-7c26-4f54-99d5-c54d485f6d14,c9f910e0-f7aa-44ac-9c29-21b2d7f77166,,1
a462fe03-7c26-4f54-99d5-c54d485f6d14,8e36e2be-d83c-4722-820b-60011727b237,,1
a462fe03-7c26-4f54-99d5-c54d485f6d14,731efc63-debd-474f-99e4-1a94d29e30c0,,1
a462fe03-7c26-4f54-99d5-c54d485f6d14,42d8fbd3-fcd2-43a2-9d10-d8b0e5919d6e,,1
a462fe03-7c26-4f54-99d5-c54d485f6d14,f8bedc1b-799a-4315-a6f7-d3862866d116,,1
a462fe03-7c26-4f54-99d5-c54d485f6d14,c9f910e0-f7aa-44ac-9c29-21b2d7f77166,,2
a462fe03-7c26-4f54-99d5-c54d485f6d14,8e36e2be-d83c-4722-820b-60011727b237,,2
a462fe03-7c26-4f54-99d5-c54d485f6d14,731efc63-debd-474f-99e4-1a94d29e30c0,,2
a462fe03-7c26-4f54-99d5-c54d485f6d14,42d8fbd3-fcd2-43a2-9d10-d8b0e5919d6e,,2
a462fe03-7c26-4f54-99d5-c54d485f6d14,f8bedc1b-799a-4315-a6f7-d3862866d116,,2
a462fe03-7c26-4f54-99d5-c54d485f6d14,536d3ece-2fc0-451c-b45a-12e64b1c6900,,2
