mineral_name,formula,ions,note,ns_class,ns_subclass,ns_family,ns_mineral
Fontanite,Ca(U^6+^O_2_)_3_(CO_3_)_2_O_2_·6H_2_O,,,5,E,C,05
Fontarnauite,"(Na,K)_2_(Sr,Ca)(S^6+^O_4_)[B_5_O_8_(OH)]·2H_2_O",,,6,D,A,60
Foordite,Sn^2+^Nb^5+^_2_O_6_,"{""A"":[""Sn^2+^""],""B"":[""Nb^5+^ x 2""],""Y1"":[""O^2-^ x 6""]}",,4,D,G,15
Footemineite,Ca_2_Mn^2+^_5_Be_4_(PO_4_)_6_(OH)_4_·6H_2_O,"{""A"":[""Ca^2+^ x 2""],""B"":[""Mn^2+^ x 5""],""C"":[""Be^2+^ x 4""],""X1"":[""P^5+^ x 1(6)""],""Y1"":[""O^2-^ x 4(6)""],""W"":[""H_2_O x 6""],""Z"":[""OH^1-^ x 4""]}",,8,D,A,10
Forêtite,"Cu^2+^_2_Al_2_(As^5+^O_4_)(OH,O,H_2_O)_6_",,,8,D,F,50
Formanite-(Y),YTaO_4_,,,7,G,A,10
Formicaite,Ca(CHOO)_2_,,,10,A,A,05
Fornacite,Cu^2+^Pb^2+^_2_(Cr^6+^O_4_)(As^5+^O_4_)(OH),"{""A"":[""Pb^2+^ x 2""],""B"":[""Cu^2+^""],""X1"":[""Cr^6+^ x 1(1)"",""As^5+^ x 1(1)""],""Y1"":[""O^2-^ x 4(2)""],""Z"":[""OH^1-^""]}",,7,F,C,10
Forsterite,Mg_2_SiO_4_,"{""A"":[""Mg^2+^ x 2""],""X1"":[""Si^4+^""],""Y1"":[""O^2-^ x 4""]}",,9,A,C,05
Foshagite,Ca_4_(SiO_3_)_3_(OH)_2_,,,9,D,G,15
Fougèrite,Fe^2+^_4_Fe^3+^_2_(OH)_12_(CO_3_)·3H_2_O,"{""A"":[""Fe^2+^ x 4"",""Fe^3+^ x 2""],""X1"":[""C^4+^""],""Y1"":[""O^2-^ x 3""],""W"":[""H_2_O x 3""],""Z"":[""OH^1-^ x 12""]}",,4,F,L,05
Fourmarierite,Pb^2+^_1-x_O_3-2x_(U^6+^O_2_)_4_(OH)_4+2x_·4H_2_O,,,4,G,B,25
Fowlerite,"(Mn^2+^,Zn)SiO_3_",,,9,D,K,05
Fraipontite,"(Zn,Al)_3_(Si,Al)_2_O_5_(OH)_4_","{""A"":[""Zn^2+^ x 3-A"",""Al^3+^ x 3-A""],""X1"":[""Si^4+^ x 2-X1"",""Al^3+^ x 2-X1""],""Y1"":[""O^2-^ x 5""],""Z"":[""OH^1-^ x 4""]}",,9,E,D,15
Francevillite,Ba(U^6+^O_2_)_2_(V^5+^O_4_)_2_·5H_2_O,"{""A"":[""Ba^2+^""],""B"":[""U^6+^O_2_ x 2""],""X1"":[""V^5+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""W"":[""H_2_O x 5""]}",,4,H,B,15
Franciscanite,"Mn^2+^_6_V^5+^(SiO_4_)_2_(O,OH)_6_","{""A"":[""Mn^2+^ x 6""],""B"":[""V^5+^""],""X1"":[""Si^4+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""Z"":[""O^2-^ x 6-Z"",""OH^1-^ x 6-Z""]}",,9,A,F,75
Francisite,Cu^2+^_3_Bi(Se^4+^O_3_)_2_O_2_Cl,,,4,J,G,25
Franckeite,Pb_21.7_Sn_9.3_Fe_4.0_Sb_8.1_S_56.9_,"{""A"":[""Pb x 21.7""],""B"":[""Sn x 9.3"",""Fe x 4""],""C"":[""Sb x 8.1""],""Y1"":[""S x 56.9""]}",,2,H,F,25b
Francoanellite,K_3_Al_5_(PO_3_OH)_6_(PO_4_)_2_·12H_2_O,,,8,C,H,25
Françoisite-(Ce),"(Ce^3+^,Nd,Ca)(U^6+^O_2_)_3_(PO_4_)_2_O(OH)·6H_2_O","{""A"":[""Nd^3+^ x 2-A"",""Ce^3+^ x 2-A"",""Ca^2+^ x 2-A""],""B"":[""U^6+^O_2_ x 6""],""X1"":[""P^5+^ x 1(4)""],""Y1"":[""O^2-^ x 4(4)""],""W"":[""H_2_O x 12""],""Z"":[""O^2-^ x 2"",""OH^1-^ x 2""]}",,8,E,C,05
Françoisite-(Nd),"(Nd,Ce^3+^,Sm)(U^6+^O_2_)_3_(PO_4_)_2_O(OH)·6H_2_O","{""A"":[""Nd^3+^ x 2-A"",""Ce^3+^ x 2-A"",""Sm^3+^ x 2-A""],""B"":[""U^6+^O_2_ x 6""],""X1"":[""P^5+^ x 1(4)""],""Y1"":[""O^2-^ x 4(4)""],""W"":[""H_2_O x 12""],""Z"":[""O^2-^ x 2"",""OH^1-^ x 2""]}",,8,E,C,05
Franconite,NaNb^5+^_2_O_5_(OH)·3H_2_O,"{""A"":[""Na^1+^ x 2""],""B"":[""Nb^5+^ x 4""],""Y1"":[""O^2-^ x 10"",""OH^1-^ x 2""],""W"":[""H_2_O x 6""]}",,4,F,M,15
Frankamenite,"K_3_Na_3_Ca_5_Si_12_O_30_(F,OH)_4_·H_2_O",,,9,D,G,55
Frankdicksonite,BaF_2_,,,3,A,B,25
Frankhawthorneite,Cu^2+^_2_Te^6+^O_4_(OH)_2_,,,4,F,D,25
Franklinfurnaceite,Ca_2_Mn^2+^_3_Mn^3+^Fe^3+^Zn_2_Si_2_O_10_(OH)_8_,"{""A"":[""Ca^2+^ x 2"",""Mn^2+^ x 3"",""Mn^3+^"",""Fe^3+^""],""X1"":[""Zn^2+^ x 2"",""Si^4+^ x 2""],""Y1"":[""O^2-^ x 10""],""Z"":[""OH^1-^ x 8""]}",,9,E,C,30
Franklinite,ZnFe^3+^_2_O_4_,"{""A"":[""Zn^2+^""],""B"":[""Fe^3+^ x 2""],""Y1"":[""O^2-^ x 4""]}",,4,B,B,05
Franklinphilite,"(K,Na)_4_(Mn^2+^,Mg,Zn)_48_(Si,Al)_72_(O,OH)_216_·6H_2_O","{""A"":[""K^1+^ x 4-A"",""Ca^2+^ x 4-A""],""B"":[""Mg^2+^ x 48-B"",""Mn^2+^ x 48-B"",""Zn^2+^ x 48-B""],""X1"":[""Si^4+^ x 72-X"",""Al^3+^ x 72-X""],""Y1"":[""O^2-^ x 162-Y"",""OH^1-^ x 162-Y""],""W"":[""H_2_O x 6""],""Z"":[""O^2-^ x 54-Y"",""OH^1-^ x 54-Y""]}",,9,E,G,40
Fransoletite,Ca_3_Be_2_(PO_4_)_2_(PO_3_OH)_2_·4H_2_O,,,8,C,A,05
Franzinite,"(Na,K)_30_Ca_10_(Si_30_Al_30_)O_120_(S^6+^O_4_)_10_·2H_2_O","{""A"":[""Na^1+^ x 6-(A1-A2)"",""K^1+^ x 6-(A1-A2)"",""Ca^2+^ x 2""],""X1"":[""Al^3+^ x 6"",""Si^4+^ x 6""],""Y1"":[""O^2-^ x 24""],""W"":[""H_2_O x 0.4""],""Z"":[""(SO_4_)^2-^ x 2""]}",,9,F,B,05
Freboldite,CoSe,"{""A"":[""Co^2+^""],""Y1"":[""Se^2-^""]}",,2,C,C,05
Fredrikssonite,"Mg_2_(Mn^3+^,Fe^3+^)O_2_(BO_3_)","{""A"":[""Mg^2+^""],""B"":[""Fe^3+^ x 1-B"",""Mn^3+^ x 1-B""],""X1"":[""B^3+^""],""Y1"":[""O^2-^ x 3""],""Z"":[""O^2-^ x 2""]}",,6,A,B,30
Freedite,Cu^1+^Pb^2+^_8_(As^3+^O_3_)_2_O_3_Cl_5_,,,4,J,B,65
Freieslebenite,AgPbSbS_3_,"{""A"":[""Ag^1+^""],""B"":[""Pb^2+^""],""X1"":[""Sb^3+^""],""Y1"":[""S^2-^ x 3""]}",,2,J,B,15
Freitalite,C_14_H_10_,,,10,B,A,65
Freshwater Pearls,,,,,,,
Fresnoite,Ba_2_Ti^4+^O(Si_2_O_7_),,,9,B,E,15
Freudenbergite,Na(Ti^4+^_3_Fe^3+^)O_8_,,,4,C,C,05
Friedelite,Mn^2+^_8_Si_6_O_15_(OH)_10_,"{""A"":[""Mn^2+^ x 8""],""X1"":[""Si^4+^ x 6""],""Y1"":[""O^2-^ x 15""],""Z"":[""OH^1-^ x 10""]}",,9,E,E,10
Friedrichbeckeite,K([box]Na)Mg_2_(MgBe_2_Si_12_)O_30_,"{""A"":[""Na^1+^ x 2-A"",""K^1+^ x 2-A"",""[box]""],""B"":[""Na^1+^ x 1-(B1-B2)"",""[box]"",""Mg^2+^ x 2""],""C"":[""Mg^2+^"",""Be^2+^ x 2""],""X1"":[""Si^4+^ x 12""],""Y1"":[""O^2-^ x 30""]}",,9,C,M,05
Friedrichite,Cu_5_Pb_5_Bi_7_S_18_,"{""A"":[""Cu x 5""],""B"":[""Pb x 5""],""C"":[""Bi x 7""],""Y1"":[""S^2-^ x 18""]}",,2,H,B,05a
Fringelite,,,,,,,
Fritzscheite,"Mn^2+^(U^6+^O_2_)_2_(V^5+^O_4_,PO_4_)_2_·4H_2_O","{""A"":[""Mn^2+^""],""B"":[""U^6+^O_2_ x 2""],""X1"":[""V^5+^ x 1-X1(2)"",""P^5+^ x 1-X1(2)""],""Y1"":[""O^2-^ x 4(2)""],""W"":[""H_2_O x 4""]}",,4,H,B,15
Frohbergite,FeTe_2_,"{""A"":[""Fe^2+^""],""Y1"":[""Te x 2""]}",,2,E,B,10a
Frolovite,Ca[B(OH)_4_]_2_,,,6,A,C,20
Frondelite,Mn^2+^Fe^3+^_4_(PO_4_)_3_(OH)_5_,"{""A"":[""Mn^2+^""],""B"":[""Fe^3+^ x 4""],""X1"":[""P^5+^ x 1(3)""],""Y1"":[""O^2-^ x 4(3)""],""Z"":[""OH^1-^ x 5""]}",,8,B,C,10
Froodite,PdBi_2_,,,2,A,C,45a
Fuenzalidaite,K_3_Na_5_Mg_5_(I^5+^O_3_)_6_(S^6+^O_4_)_6_·6H_2_O,"{""A"":[""K^1+^ x 3""],""B"":[""Na^1+^ x 5""],""C"":[""Mg^2+^ x 5""],""X1"":[""I^5+^ x 1(6)""],""X2"":[""S^6+^ x 1(6)""],""Y1"":[""O^2-^ x 3(6)""],""Y2"":[""O^2-^ x 4(6)""],""W"":[""H_2_O x 6""]}",,7,D,G,40
Fuettererite,Pb^2+^_3_Cu^2+^_6_Te^6+^O_6_(OH)_7_Cl_5_,,,4,F,E,50
Fukalite,Ca_4_Si_2_O_6_(CO_3_)(OH)_2_,,,9,D,Q,05
Fukuchilite,Cu^2+^_3_Fe^2+^(S_2_)^2-^_4_,"{""A"":[""Cu^2+^ x 1-A"",""Fe^2+^ x 1-A""],""Y1"":[""S x 2""]}",,2,E,B,05a
Fulbrightite,Ca(V4+^O)_2_(AsO_4_)_2_·4H_2_O,,,8,C,J,35
Fülöppite,Pb_3_Sb_8_S_15_,"{""A"":[""Pb x 3""],""B"":[""Sb x 8""],""Y1"":[""S x 15""]}",,2,H,C,10a
Furongite,Al_13_(U^6+^O_2_)_7_(PO_4_)_13_(OH)_14_·58H_2_O,,,8,E,B,50
Furutobeite,"(Cu,Ag)_6_PbS_4_",,,2,B,E,10
Gabrielite,"Tl_6_Ag_3_Cu_6_(As,Sb)_9_S_21_",,,2,H,D,60
Gabrielsonite,Pb^2+^Fe^2+^As^5+^O_4_(OH),"{""A"":[""Pb^2+^""],""B"":[""Fe^2+^""],""X1"":[""As^5+^""],""Y1"":[""O^2-^ x 4""],""Z"":[""OH^1-^""]}",,8,B,H,35
Gadolinite-(Ce),"(Ce^3+^,La,Nd,Y)_2_Fe^2+^Be_2_Si_2_O_10_","{""A"":[""Y^3+^ x 2-A"",""Nd^3+^ x 2-A"",""Ce^3+^ x 2-A"",""La^3+^ x 2-A""],""B"":[""Be^2+^ x 2""],""C"":[""Fe^2+^""],""X1"":[""Si^4+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""Z"":[""O^2-^ x 2""]}",,9,A,J,20
Gadolinite-(Nd),Nd^3+^_2_Fe^2+^Be_2_O_2_(SiO_4_)_2_,"{""A"":[""Nd^3+^ x 2""],""B"":[""Be^2+^ x 2""],""C"":[""Fe^2+^""],""X1"":[""Si^4+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""Z"":[""O^2-^ x 2""]}",,9,A,J,20
Gadolinite-(Y),Fe^2+^Be_2_Y_2_(SiO_4_)_2_O_2_,"{""A"":[""Y^3+^ x 2""],""B"":[""Be^2+^ x 2""],""C"":[""Fe^2+^""],""X1"":[""Si^4+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""Z"":[""O^2-^ x 2""]}",,9,A,J,20
Gagarinite-(Ce),Na(REE_x_Ca_1-x_)(REE_y_Ca_1-y_)F_6_,"{""A"":[""Na^1+^""],""B"":[""Ca^2+^ x 1-B"",""REE^3+^ x 1-B""],""C"":[""Ca^2+^ x 1-C"",""REE^3+^ x 1-C""],""Y1"":[""F^1-^ x 6""]}",,3,A,B,35
Gagarinite-(Y),NaCaYF_6_,"{""A"":[""Na^1+^""],""B"":[""Ca^2+^""],""C"":[""Y^3+^""],""Y1"":[""F^1-^ x 6""]}",,3,A,B,35
Gageite,Mn^2+^_21_Si_8_O_27_(OH)_20_,,,9,D,H,35
Gahnite,ZnAl_2_O_4_,"{""A"":[""Zn^2+^""],""B"":[""Al^3+^ x 2""],""Y1"":[""O^2-^ x 4""]}",,4,B,B,05
Gaidonnayite,Na_2_ZrSi_3_O_9_·2H_2_O,"{""A"":[""Na^1+^ x 2""],""B"":[""Zr^4+^""],""X1"":[""Si^4+^ x 3""],""Y1"":[""O^2-^ x 9""],""W"":[""H_2_O x 2""]}",,9,D,M,15
Gaildunningite,"Hg^2+^_3_[NHg^2+^_2_]_18_(Cl,I)_24_",,,3,D,D,70
Gainesite,"Na(Na,K)(Be,Li)Zr_2_(PO_4_)_4_·1.5H_2_O","{""A"":[""Na^1+^""],""B"":[""Na^1+^ x 1-B"",""K^1+^ x 1-B""],""C"":[""Be^2+^ x 1-C"",""Li^1+^ x 1-C""],""D"":[""Zr^4+^ x 2""],""X1"":[""P^5+^ x 1(4)""],""Y1"":[""O^2-^ x 4(4)""],""W"":[""H_2_O x 1.5""]}",,8,C,A,20
Gaitite,Ca_2_Zn(As^5+^O_4_)_2_·2H_2_O,"{""A"":[""Ca^2+^ x 2""],""B"":[""Zn^2+^""],""X1"":[""As^5+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""W"":[""H_2_O x 2""]}",,8,C,G,05
Gajardoite,KCa_0.5_As^3+^_4_O_6_Cl_2_·5H_2_O,,,3,C,L,05
Galaxite,Mn^2+^Al_2_O_4_,"{""A"":[""Mn^2+^""],""B"":[""Al^3+^ x 2""],""Y1"":[""O^2-^ x 4""]}",,4,B,B,05
Galeite,Na_15_(S^6+^O_4_)_5_ClF_4_,,,7,B,D,10
Galena,Pb^2+^S^2-^,"{""A"":[""Pb^2+^""],""Y1"":[""S^2-^""]}",,2,C,D,10
Galenobismutite,PbBi_2_S_4_,"{""A"":[""Pb""],""C"":[""Bi x 2""],""Y1"":[""S x 4""]}",,2,J,C,15
Galgenbergite-(Ce),"Ca(Ce^3+^,La,Nd)_2_(CO_3_)_4_·H_2_O",,,5,C,C,40
Galileiite,{Fe^2+^}{Na_8_}{Fe^2+^_4_Na_4_}{Fe^2+^_43_}(PO_4_)_36_,"{""A"":[""Fe^2+^""],""B"":[""Na^1+^ x 8""],""C"":[""Fe^2+^ x 4"",""Na^1+^ x 4""],""D"":[""Fe^2+^ x 43""],""X1"":[""P^5+^ x 1(36)""],""Y1"":[""O^2-^ x 4(36)""]}",,8,A,C,27
Galkhaite,"(Cs,Tl)(Hg,Cu,Zn)_6_(As,Sb)_4_S_12_","{""A"":[""Tl^1+^ x 1-A"",""Cs^1+^ x 1-A""],""B"":[""Cu^2+^ x 6-B"",""Zn^2+^ x 6-B"",""Hg^2+^ x 6-B""],""X1"":[""As^3+^ x 4-X1"",""Sb^3+^ x 4-X1""],""Y1"":[""S^2-^ x 12""]}",,2,G,B,20
Galliskiite,Ca_4_Al_2_(PO_4_)_2_F_8_·5H_2_O,,,8,D,H,65
Gallite,Cu^1+^GaS^2-^_2_,"{""A"":[""Cu^1+^""],""B"":[""Ga^3+^""],""Y1"":[""S^2-^ x 2""]}",,2,C,B,07a
Gallobeudantite,Pb^2+^Ga_3_(As^5+^O_4_)(S^6+^O_4_)(OH)_6_,"{""A"":[""Pb^2+^""],""B"":[""Ga^3+^ x 3""],""X1"":[""As^5+^""],""X2"":[""S^6+^""],""Y1"":[""O^2-^ x 4""],""Y2"":[""O^2-^ x 4""],""Z"":[""OH^1-^ x 6""]}",,8,B,L,05
Galloplumbogummite,"Pb^2+^(Ga,Al)_2_Ge(PO_4_)_2_(OH)_6_","{""A"":[""Pb^2+^""],""B"":[""Ga^3+^ x 2-(B1-B2)"",""Al^3+^ x 2-(B1-B2)"",""Ge^4+^""],""X1"":[""P^5+^""],""X2"":[""P^5+^""],""Y1"":[""O^2-^ x 4""],""Y2"":[""O^2-^ x 3"",""OH^1-^""],""Z"":[""OH^1-^ x 6""]}",,8,B,L,10
Galuskinite,Ca_7_(SiO_4_)_3_(CO_3_),,,9,A,H,15
Gamagarite,Ba_2_Fe^3+^(V^5+^O_4_)_2_(OH),"{""A"":[""Ba^2+^ x 2""],""B"":[""Fe^3+^""],""X1"":[""V^5+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""Z"":[""OH^1-^""]}",,8,B,G,05
Gananite,BiF_3_,,,3,A,C,20
Ganomalite,Pb^2+^_9_Ca_5_Mn^2+^(Si_2_O_7_)_4_(SiO_4_)O,"{""A"":[""Pb^2+^ x 9""],""B"":[""Ca^2+^ x 5"",""Mn^2+^""],""X1"":[""Si^4+^ x 2(4)""],""X2"":[""Si^4+^""],""Y1"":[""O^2-^ x 7(4)""],""Y2"":[""O^2-^ x 4""],""Z"":[""O^2-^""]}",,9,B,G,25
Ganophyllite,"(K,Na,Ca)_2_Mn^2+^_8_(Si,Al)_12_(O,OH)_32_·8H_2_O","{""A"":[""Na^1+^ x 1-2-A"",""K^1+^ x 1-2-A"",""Ca^2+^ x 1-2-A""],""B"":[""Mn^2+^ x 6""],""X1"":[""Si^4+^ x 10-X1"",""Al^3+^ x 10-X1""],""Y1"":[""O^2-^ x 24""],""W"":[""H_2_O x 6.5""],""Z"":[""OH^1-^ x 4""]}",,9,E,G,30
Ganterite,"(Ba,Na,K)(Al,Mg)_2_(AlSi_3_O_10_)(OH)_2_","{""A"":[""K^1+^ x 1-A"",""Ba^2+^ x 1-A"",""Na^1+^ x 1-A""],""B"":[""Al^3+^ x 2-B"",""Mg^2+^ x 2-B""],""X1"":[""Al^3+^"",""Si^4+^ x 3""],""Y1"":[""O^2-^ x 10""],""Z"":[""OH^1-^ x 2""]}",,9,E,C,10
Gaotaiite,Ir_3_Te_8_,"{""A"":[""Ir^2+^ x 0.75""],""Y1"":[""Te x 2""]}",,2,E,B,05a
Garavellite,Fe^2+^Sb^3+^BiS^2-^_4_,"{""A"":[""Fe^2+^""],""B"":[""Sb^3+^"",""Bi^3+^""],""Y1"":[""S^2-^ x 4""]}",,2,H,A,20
Garmite,CsLiMg_2_(Si_4_O_10_)F_2_,"{""A"":[""Cs^1+^""],""B"":[""Li^1+^"",""Mg^2+^ x 2""],""X1"":[""Si^4+^ x 4""],""Y1"":[""O^2-^ x 10""],""Z"":[""F^1-^ x 2""]}",,9,E,C,10
Garrelsite,NaBa_3_B_7_Si_2_O_16_(OH)_4_,,,9,A,J,15
Garronite-Ca,Na_2_Ca_5_Al_12_Si_20_O_64_·27H_2_O,"{""A"":[""Na^1+^"",""Ca^2+^ x 2.5""],""X1"":[""Al^3+^ x 6"",""Si^4+^ x 10""],""Y1"":[""O^2-^ x 32""],""W"":[""H_2_O x 13.5""]}",,9,G,C,05
Garronite-Na,Na_6_(Al_6_Si_10_O_32_)·8.5H_2_O,"{""A"":[""Na^1+^ x 6""],""X1"":[""Al^3+^ x 6"",""Si^4+^ x 10""],""Y1"":[""O^2-^ x 32""],""W"":[""H_2_O x 8.5""]}",,9,G,C,05
Gartrellite,"Pb^2+^(Cu^2+^,Fe^3+^,Zn)_2_(As^5+^O_4_,SO_4_)_2_·2(H_2_O,OH)","{""A"":[""Pb^2+^""],""B"":[""Zn^2+^ x 2-B"",""Cu^2+^ x 2-B"",""Fe^3+^ x 2-B""],""X1"":[""As^5+^ x 1(2)-X1"",""S^6+^ x 1(2)-X1""],""Y1"":[""O^2-^ x 4(2)""],""Z"":[""H_2_O x 2-Z"",""OH^1-^ x 2-Z""]}",,8,C,G,20
Garutiite,"(Ni,Fe,Ir)",,,1,A,G,05
Garyansellite,Mg_2_Fe^3+^(PO_4_)_2_(OH)·2H_2_O,"{""A"":[""Fe^2+^ x 3-A"",""Mg^2+^ x 3-A""],""X1"":[""P^5+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""W"":[""H_2_O x 2""],""Z"":[""OH^1-^""]}",,8,C,C,05
Gasparite-(Ce),Ce^3+^As^5+^O_4_,"{""A"":[""Ce^3+^""],""X1"":[""As^5+^""],""Y1"":[""O^2-^ x 4""]}",,8,A,D,50
Gasparite-(La),LaAs^5+^O_4_,"{""A"":[""La^3+^""],""X1"":[""As^5+^""],""Y1"":[""O^2-^ x 4""]}",,8,A,D,50
Gaspéite,Ni^2+^CO_3_,"{""A"":[""Ni^2+^""],""X1"":[""C^4+^""],""Y1"":[""O^2-^ x 3""]}",,5,A,B,05
Gatedalite,Zr^4+^Mn^2+^_2_Mn^3+^_4_SiO_12_,"{""A"":[""Zr^4+^""],""B"":[""Mn^3+^ x 4"",""Mn^2+^ x 2""],""X1"":[""Si^4+^""],""Y1"":[""O^2-^ x 4""],""Z"":[""O^2-^ x 8""]}",,9,A,G,02
Gatehouseite,Mn^2+^_5_(PO_4_)_2_(OH)_4_,"{""A"":[""Mn^2+^ x 5""],""X1"":[""P^5+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""Z"":[""OH^1-^ x 4""]}",,8,B,D,10
Gatelite-(Ce),"(Ca,Ce^3+^)_4_(Al,Mg,Fe^2+^)_4_(Si_2_O_7_)(SiO_4_)_3_(O,F,OH)_3_","{""A"":[""Ca^2+^""],""B"":[""Ce^3+^ x 3""],""C"":[""Mg^2+^ x 4-C"",""Al^3+^ x 4-C"",""Fe^2+^ x 4-C""],""X1"":[""Si^4+^ x 2""],""X2"":[""Si^4+^ x 1(3)""],""Y1"":[""O^2-^ x 7""],""Y2"":[""O^2-^ x 4(3)""],""W"":[""O^2-^ x 1-W"",""F^1-^ x 1-W""],""Z"":[""OH^1-^ x 2""]}",,9,B,G,50
Gatewayite,Ca_6_(As^3+^V^4+^_3_V^5+^_9_As^5+^_6_O_51_)·31H_2_O,,,8,F,D,10
Gatumbaite,CaAl_2_(PO_4_)_2_(OH)_2_·H_2_O,,,8,D,J,10
Gaudefroyite,"Ca_4_Mn^3+^_2-3_(BO_3_)_3_(CO_3_)(O,OH)_3_",,,6,A,B,60
Gaultite,Na_4_Zn_2_Si_7_O_18_·5H_2_O,"{""A"":[""Na^1+^ x 4"",""Zn^2+^ x 2""],""X1"":[""Si^4+^ x 7""],""Y1"":[""O^2-^ x 18""],""W"":[""H_2_O x 5""]}",,9,G,F,20
Gauthierite,KPb^2+^[(U^6+^O_2_)_7_O_5_(OH)_7_]·8H_2_O,,,4,G,B,80
Gayite,NaMn^2+^Fe^3+^_5_(PO_4_)_4_(OH)_6_·2H_2_O,"{""A"":[""Na^1+^""],""B"":[""Mn^2+^""],""C"":[""Fe^3+^ x 5""],""X1"":[""P^5+^ x 1(4)""],""Y1"":[""O^2-^ x 4(4)""],""W"":[""H_2_O x 2""],""Z"":[""OH^1-^ x 6""]}",,8,D,K,15
Gaylussite,Na_2_Ca(CO_3_)_2_·5H_2_O,,,5,C,B,35
Gazeevite,BaCa_6_(SiO_4_)_2_(S^6+^O_4_)_2_O,"{""A"":[""Ba^2+^""],""B"":[""Ca^2+^ x 6""],""X1"":[""Si^4+^ x 1(2)""],""X2"":[""S^6+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""Y2"":[""O^2-^ x 4(2)""],""Z"":[""O^2-^""]}",,9,A,H,40
Gearksutite,CaAlF_4_(OH)·H_2_O,,,3,C,C,05
Gebhardite,Pb^2+^_8_As^3+^_4_O_11_Cl_6_,,,4,J,B,50
Gedrite,[box]Mg_2_(Mg_3_Al_2_)(Si_6_Al_2_)O_22_(OH)_2_,,,9,D,D,05
Geerite,Cu_8_S_5_,,,2,B,A,02
Geffroyite,"(Cu,Fe,Ag)_9_(Se,S)_8_","{""A"":[""Fe x 9-A"",""Cu x 9-A"",""Ag x 9-A""],""Y1"":[""S x 8-Y"",""Se x 8-Y""]}",,2,B,B,15
Gehlenite,"Ca_2_Al(Si,Al)O_7_","{""A"":[""Ca^2+^ x 2""],""B"":[""Al^3+^""],""X1"":[""Si^4+^ x 2-X1"",""Al^3+^ x 2-X1""],""Y1"":[""O^2-^ x 7""]}",,9,B,B,10
Geigerite,Mn^2+^_5_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·10H_2_O,"{""A"":[""Mn^2+^""],""B"":[""Mn^2+^ x 4""],""X1"":[""As^5+^ x 1(2)""],""X2"":[""As^5+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""Y2"":[""O^2-^ x 3(2)"",""OH^1-^ x 1(2)""],""W"":[""H_2_O x 10""]}",,8,C,E,05
Geikielite,MgTi^4+^O_3_,"{""A"":[""Mg^2+^""],""B"":[""Ti^4+^""],""Y1"":[""O^2-^ x 3""]}",,4,C,B,05
Gelosaite,Bi^3+^Mo^6+^_(2-5x)_Mo^5+^_6x_O_7_(OH)·H_2_O (0=x=0.4),"{""A"":[""Bi^3+^""],""B"":[""Mo^5+^ x 0-2"",""Mo^6+^ x 0-2.4""],""Y1"":[""O^2-^ x 7""],""W"":[""H_2_O""],""Z"":[""OH^1-^""]}",,4,D,M,30
Gembone,,,,,,,
Geminite,Cu^2+^(As^5+^O_3_OH)·H_2_O,,,8,C,B,30
Gengenbachite,KFe^3+^_3_(H_2_PO_4_)_2_(HPO_4_)_4_·6H_2_O,,,8,C,A,65
Genkinite,"(Pt,Pd,Rh)_4_Sb_3_",,,2,A,C,35a
Genplesite,Ca_3_Sn^4+^(S^6+^O_4_)_2_(OH)_6_·3H_2_O,"{""A"":[""Ca^2+^ x 3""],""B"":[""Sn^4+^""],""X1"":[""S^6+^""],""X2"":[""S^6+^""],""Y1"":[""O^2-^ x 4""],""Y2"":[""O^2-^ x 4""],""W"":[""H_2_O x 3""],""Z"":[""OH^1-^ x 6""]}",,7,D,F,17
Genthelvite,Be_3_Zn_4_(SiO_4_)_3_S,"{""A"":[""Be^2+^ x 3""],""B"":[""Zn^2+^ x 4""],""X1"":[""Si^4+^ x 1(3)""],""Y1"":[""O^2-^ x 4(3)""],""Z"":[""S^2-^""]}",,9,F,B,10
Geocronite,"Pb_14_(Sb,As)_6_S_23_","{""A"":[""Pb x 14""],""B"":[""As x 6-B"",""Sb x 6-B""],""Y1"":[""S x 23""]}",,2,J,B,30a
Georgbarsanovite,"Na_12_(Mn^2+^,Sr,REE)_3_Ca_6_Fe^2+^_3_Zr_3_Nb^5+^Si_25_O_76_Cl_2_·H_2_O","{""A"":[""Na^1+^ x 12"",""Mn^2+^ x 3-(A2-A4)"",""Sr^2+^ x 3-(A2-A4)"",""REE^3+^ x 3-(A2-A4)""],""B"":[""Ca^2+^ x 6""],""C"":[""Zr^4+^ x 3""],""D"":[""Fe^2+^ x 3""],""E"":[""Nb^5+^""],""X1"":[""Si^4+^ x 25""],""Y1"":[""O^2-^ x 76""],""W"":[""H_2_O""],""Z"":[""Cl^1-^ x 2""]}",,9,C,O,10
