mineral_name,formula,ions,note,ns_class,ns_subclass,ns_family,ns_mineral
Boyleite,"(Zn,Mg)S^6+^O_4_·4H_2_O","{""A"":[""Zn^2+^ x 1-A"",""Mg^2+^ x 1-A""],""X1"":[""S^6+^""],""Y1"":[""O^2-^ x 4""],""W"":[""H_2_O x 4""]}",,7,C,B,10
Braccoite,NaMn^2+^_5_[Si_5_O_14_(OH)](As^5+^O_3_OH),"{""A"":[""Na^1+^""],""B"":[""Mn^2+^ x 5""],""X1"":[""Si^5+^ x 5""],""X2"":[""As^5+^""],""Y1"":[""O^2-^ x 14"",""OH^1-^""],""Y2"":[""O^2-^ x 3"",""OH^1-^""]}",,9,D,K,15
Bracewellite,Cr^3+^O(OH),"{""A"":[""Cr^3+^""],""Y1"":[""O^2-^""],""Z"":[""OH^1-^""]}",,4,F,D,10
Brackebuschite,Pb^2+^_2_Mn^3+^(V^5+^O_4_)_2_(OH),"{""A"":[""Pb^2+^ x 2""],""B"":[""Mn^3+^""],""X1"":[""V^5+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""Z"":[""OH^1-^""]}",,8,B,G,05
Bradaczekite,NaCu^2+^Cu^2+^Cu^2+^_2_(As^5+^O_4_)_3_,"{""A"":[""Na^1+^""],""B"":[""Cu^2+^""],""C"":[""Cu^2+^""],""D"":[""Cu^2+^""],""E"":[""Cu^2+^""],""X1"":[""As^5+^ x 1(3)""],""Y1"":[""O^2-^ x 4(3)""]}",,8,A,C,05
Bradleyite,Na_3_Mg(PO_4_)(CO_3_),"{""A"":[""Na^1+^ x 3""],""B"":[""Mg^2+^""],""X1"":[""P^5+^""],""X2"":[""C^4+^""],""Y1"":[""O^2-^ x 4""],""Y2"":[""O^2-^ x 3""]}",,5,B,F,10
Braggite,"(Pt,Pd,Ni)S","{""A"":[""Pd^2+^ x A-1"",""Ni^2+^ x A-1"",""Pt^2+^ x A-1""],""Y1"":[""S^2-^""]}",,2,C,C,35a
Braithwaiteite,NaCu^2+^_5_(Ti^4+^Sb^5+^)O_2_(As^5+^O_4_)_4_[As^5+^O_3_(OH)]_2_·8H_2_O,,,8,D,B,37
Braitschite-(Ce),"Ca_6.15_Na_0.85_REE_2.08_[B_6_O_7_(OH)_3_(O,OH)_3_]_4_·H_2_O",,,6,H,A,60
Brandãoite,BeAl_2_(PO_4_)_2_(OH)_2_(H_2_O)_5_,,,8,C,A,70
Brandholzite,MgSb^5+^_2_(OH)_12_·6H_2_O,"{""A"":[""Mg^2+^""],""B"":[""Sb^5+^ x 2""],""Y1"":[""OH^1-^ x 12""],""W"":[""H_2_O x 6""]}",,4,F,H,05
Brandtite,"Ca_2_(Mn^2+^,Mg)(As^5+^O_4_)_2_·2H_2_O","{""A"":[""Ca^2+^ x 2""],""B"":[""Mg^2+^ x 1-A"",""Mn^2+^ x 1-A""],""X1"":[""As^5+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""W"":[""H_2_O x 2""]}",,8,C,G,10
Brannerite,U^4+^Ti^4+^_2_O_6_,"{""A"":[""U^4+^""],""B"":[""Ti^4+^ x 2""],""Y1"":[""O^2-^ x 6""]}",,4,D,H,05
Brannockite,"(K,Na)[box]_2_Li_3_(Sn^4+^,Zr,Ti^4+^)_2_[Si_12_O_30_]","{""A"":[""K^1+^ x 1-A"",""Na^1+^ x 1-A""],""B"":[""[box]"",""Li^1+^ x 3""],""C"":[""Ti^4+^ x 2-C"",""Sn^4+^ x 2-C"",""Zr^4+^ x 2-C""],""X1"":[""Si^4+^ x 12""],""Y1"":[""O^2-^ x 30""]}",,9,C,M,05
Brassite,Mg(As^5+^O_3_OH)·4H_2_O,,,8,C,E,15
Brattforsite,Mn^2+^_19_As^3+^_12_O_36_Cl_2_,,,4,J,B,15b
Braunerite,K_2_Ca(U^6+^O_2_)(C^4+^O_3_)_3_·6H_2_O,,,5,E,D,55
Braunite,Mn^2+^Mn^3+^_6_SiO_12_,"{""A"":[""Mn^2+^""],""B"":[""Mn^3+^ x 6""],""X1"":[""Si^4+^""],""Y1"":[""O^2-^ x 4""],""Z"":[""O^2-^ x 8""]}",,9,A,G,02
Brazilianite,NaAl_3_(PO_4_)_2_(OH)_4_,,,8,B,K,05
Bredigite,Ca_7_Mg(SiO_4_)_4_,,,9,A,D,20
Breithauptite,NiSb,"{""A"":[""Ni^3+^""],""Y1"":[""Sb^3-^""]}",,2,C,C,05
Brendelite,"(Bi,Pb^2+^)_2_(Fe^3+^,Fe^2+^)O_2_(OH)PO_4_",,,8,B,M,15
Brenkite,Ca_2_(CO_3_)F_2_,,,5,B,C,05
Brewsterite-Ba,"(Ba,Sr)(Al_2_Si_6_)O_16_·5H_2_O","{""A"":[""Sr^2+^ x 1-A"",""Ba^2+^ x 1-A""],""X1"":[""Al^3+^ x 2"",""Si^4+^ x 6""],""Y1"":[""O^2-^ x 16""],""W"":[""H_2_O x 5""]}",,9,G,E,20
Brewsterite-Sr,"(Sr,Ba,Ca)(Al_2_Si_6_)O_16_·5H_2_O","{""A"":[""Sr^2+^ x 1-A"",""Ba^2+^ x 1-A"",""Ca^2+^ x 1-A""],""X1"":[""Al^3+^ x 2"",""Si^4+^ x 6""],""Y1"":[""O^2-^ x 16""],""W"":[""H_2_O x 5""]}",,9,G,E,20
Breyite,Ca_3_Si_3_O_9_,"{""A"":[""Ca^2+^ x 3""],""X1"":[""Si^4+^ x 3""],""Y1"":[""O^2-^ x 9""]}",,9,C,A,25
Brezinaite,Cr^2+^Cr^3+^_2_S^2-^_4_,,,2,D,A,15
Brianite,Na_2_CaMg(PO_4_)_2_,"{""A"":[""Na^1+^ x 2"",""Ca^2+^"",""Mg^2+^""],""X1"":[""P^5+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""]}",,8,A,C,17
Brianroulstonite,Ca_3_B_5_O_6_(OH)_7_Cl_2_·8H_2_O,,,6,E,C,35
Brianyoungite,"Zn_3_(CO_3_,SO_4_)(OH)_4_",,,5,B,F,30
Briartite,"Cu^1+^_2_(Fe^2+^,Zn)GeS^2-^_4_","{""A"":[""Cu^1+^ x 2""],""B"":[""Fe^2+^ x 1-B"",""Zn^2+^ x 1-B""],""X1"":[""Ge^4+^""],""Y1"":[""S^2-^ x 4""]}",,2,K,A,10
Bridgesite-(Ce),CaCe^3+^_2_Cu^2+^_6_(SO_4_)_4_(OH)_12_·8H_2_O,,,7,D,F,62
Bridgmanite,"(Mg,Fe^2+^)SiO_3_","{""A"":[""Mg^2+^ x 1-A"",""Fe^2+^ x 1-A""],""X1"":[""Si^4+^""],""Y1"":[""O^2-^ x 3""]}",,9,D,A,35
Brindleyite,"(Ni^2+^,Al)_3_(Si,Al)_2_O_5_(OH)_4_","{""A"":[""Ni^2+^ x 3-A"",""Al^3+^ x 3-A""],""X1"":[""Si^4+^ x 2-X1"",""Al^3+^ x 2-X1""],""Y1"":[""O^2-^ x 5""],""Z"":[""OH^1-^ x 4""]}",,9,E,D,15
Brinrobertsite,"(Na,K,Ca)_0.3_(Al,Fe^3+^,Mg)_4_(Si,Al)_8_O_20_(OH)_4_·3.5H_2_O",,,9,E,C,32
Britholite-(Ce),"(Ce^3+^,Ca)_5_(SiO_4_)_3_OH","{""A"":[""Ca^2+^ x 5-A"",""Ce^3+^ x 5-A""],""X1"":[""Si^4+^ x 1(3)""],""Y1"":[""O^2-^ x 4(3)""],""Z"":[""OH^1-^""]}",,9,A,H,25
Britholite-(Y),"(Y,Ca)_5_(SiO_4_)_3_OH","{""A"":[""Ca^2+^ x 5-A"",""Y^3+^ x 5-A""],""X1"":[""Si^4+^ x 1(3)""],""Y1"":[""O^2-^ x 4(3)""],""Z"":[""OH^1-^""]}",,9,A,H,25
Britvinite,Pb^2+^_14_Mg_9_Si_10_O_28_(BO_3_)_4_(CO_3_)_2_F_2_(OH)_12_,"{""A"":[""Pb^2+^ x 14""],""B"":[""Mg^2+^ x 9""],""X1"":[""Si^4+^ x 10""],""X2"":[""C^4+^ x 1(2)""],""Y1"":[""O^2-^ x 28""],""Y2"":[""O^2-^ x 3(2)""],""Z"":[""(BO_3_)^3-^ x 4"",""OH^1-^ x 12"",""F^1-^ x 2""]}",,9,E,G,70
Brizziite,NaSb^5+^O_3_,,,4,C,B,05
Brochantite,Cu^2+^_4_S^6+^O_4_(OH)_6_,"{""A"":[""Cu^2+^ x 4""],""X1"":[""S^6+^""],""Y1"":[""O^2-^ x 4""],""Z"":[""OH^1-^ x 6""]}",,7,B,B,25
Brockite,"(Ca,Th^3+^,Ce^3+^)PO_4_·H_2_O","{""A"":[""Ca^2+^ x 1-A"",""Th^3+^ x 1-A"",""Ce^3+^ x 1-A""],""X1"":[""P^5+^""],""Y1"":[""O^2-^ x 4""],""W"":[""H_2_O""]}",,8,C,J,25
Brodtkorbite,Cu_2_HgSe_2_,,,2,B,D,55
Bromargyrite,AgBr,"{""A"":[""Ag^1+^""],""Y1"":[""Br^1-^""]}",,3,A,A,15
Bromellite,BeO,,,4,A,B,20
Brontesite,(NH_4_)_3_Pb^2+^Cl_5_,,,3,A,A,80
Brookite,Ti^4+^O_2_,,,4,D,D,10
Browneite,MnS,"{""A"":[""Mn^2+^""],""Y1"":[""S^2-^""]}",,2,C,B,52
Brownleeite,MnSi,,,1,B,B,50
Brownmillerite,Ca_2_Fe^3+^AlO_5_,"{""A"":[""Ca^2+^ x 2""],""B"":[""Fe^3+^"",""Al^3+^""],""Y1"":[""O^2-^ x 5""]}",,4,A,C,10
Brucite,Mg(OH)_2_,"{""A"":[""Mg^2+^""],""Y1"":[""OH^1-^ x 2""]}",,4,F,E,05
Brüggenite,Ca(I^5+^O_3_)_2_·H_2_O,,,4,K,C,10
Brugnatellite,Mg_6_Fe^3+^(CO_3_)(OH)_13_·4H_2_O,"{""A"":[""Mg^2+^ x 6""],""B"":[""Fe^3+^""],""X1"":[""C^4+^""],""Y1"":[""O^2-^ x 3""],""W"":[""H_2_O x 4""],""Z"":[""OH^1-^ x 13""]}",,5,D,A,45
