Mineral_Name,anions_real,Formula
Delindeite,O x 2;OHx2,Ba_2_Ti^4+^_2_(Na_2_[box])Ti^4+^(Si_2_O_7_)_2_(OH)_2_(H_2_O)_2_O_2_
Bussenite,F x 2;O x 2;CO_3_ x 2;OHx2,"Ba_4_(Na,[box])_2_(Fe^2+^,Na)_2_Ti^4+^_2_(Si_2_O_7_)_2_(CO_3_)_2_O_2_(OH)_2_(H_2_O)_2_F_2_"
Bobshannonite,(O + F)=2;O x 4;OHx4,"KBaNa_2_(Mn^2+^,Na)_8_(Nb^5+^,Ti^4+^)_4_(Si_2_O_7_)_4_O_4_(OH)_4_(O,F)_2_"
Jinshajiangite,F;O x 2;OHx2,BaNaFe^2+^_4_Ti^4+^_2_(Si_2_O_7_)_2_O_2_(OH)_2_F
Perraultite,F;O x 2;OHx2,NaBaMn^2+^_4_Ti^4+^_2_(Si_2_O_7_)_2_O_2_(OH)_2_F
Chevkinite-(Ce),O x 8,"(Ce^3+^,La,Ca,Th^4+^)_4_(Fe^2+^,Mg)(Fe^2+^,Ti^4+^,Fe^3+^)_2_(Ti^4+^,Fe^3+^)_2_(Si_2_O_7_)_2_O_8_"
Christofschäferite-(Ce),O x 8,"(Ce^3+^,La^3+^,Ca)_4_Mn^2+^(Ti^4+^,Fe^3+^)_3_(Fe^3+^,Fe^2+^,Ti^2+^)(Si_2_O_7_)_2_O_8_"
Delhuyarite-(Ce),O x 6;OHx2,"Ce^3+^_4_Mg(Fe^3+^,W^6+^)_3_[box](Si_2_O_7_)_2_O_6_(OH)_2_"
Dingdaohengite-(Ce),O x 8,"(Ce^3+^,La)_4_Fe^2+^(Ti^4+^,Fe^2+^,Mg,Fe^3+^)_2_Ti^4+^_2_Si_4_O_22_"
Hezuolinite,O x 8,"(Sr,Ce^3+^)_4_Zr(Ti^4+^,Fe^3+^)_4_O_8_(Si_2_O_7_)_2_"
Karnasurtite-(Ce),OHx4,"(Ce^3+^,La,Th^4+^)(Ti^4+^,Nb^5+^)(Al,Fe^3+^)Si_2_O_7_(OH)_4_·3H_2_O"
Maoniupingite-(Ce),O x 8,"(Ce^3+^,Ca)_4_(Fe^3+^,Ti^4+^,Fe^2+^,[box])(Ti^4+^,Fe^3+^,Fe^2+^,Nb^5+^)_4_Si_4_O_22_"
Matsubaraite,O x 8,Sr_4_Ti^4+^_5_O_8_(Si_2_O_7_)_2_
Perrierite-(Ce),O x 8,Ce^3+^_4_MgFe^3+^_2_Ti^4+^_2_O_8_(Si_2_O_7_)_2_
Perrierite-(La),O x 8,"(La,Ce^3+^,Ca)_4_(Fe^2+^,Mn^2+^,Mg)Fe^3+^_2_(Ti^4+^,Fe^3+^)_2_(Si_2_O_7_)_2_O_8_"
Polyakovite-(Ce),O x 8,"(Ce^3+^,Ca)_4_(Mg,Fe^2+^)(Cr^3+^,Fe^3+^)_2_(Ti^4+^,Nb^5+^)_2_(Si_2_O_7_)_2_O_8_"
Rengeite,O x 8,Sr_4_Ti^4+^_4_ZrO_8_(Si_2_O_7_)_2_
Strontiochevkinite,O x 8,"(Sr,Ce^3+^,La,Ca)_4_Fe^2+^(Ti^4+^,Zr)_4_O_8_(Si_2_O_7_)_2_"
UKI-2008-(SiO:SrTiZr),O x 8,Sr_4_ZrTi^4+^_4_(Si_2_O_7_)_2_O_8_
Chevkinite-(Nd),O x 8,"(Nd,REE)_4_(Fe^2+^,Mg)(Fe^2+^,Ti^4+^,Fe^3+^)_2_(Ti^4+^,Fe^3+^)_2_(Si_2_O_7_)_2_O_8_"
Orthochevkinite,O x 8,"(Ce^3+^,La,Ca,Na,Th^4+^)_4_(Fe^2+^,Mg)_2_(Ti^4+^,Fe^3+^)_3_(Si_2_O_7_)_2_O_8_"
Perrierite-(Nd),O x 8,Nd_4_MgFe^3+^_2_Ti^4+^_2_(Si_2_O_7_)_2_O_8_
Ferchevkinite,,
Niobochevkinite,O x 8,"(Ce^3+^,La,Ca,Th^4+^)_4_Fe^2+^(Fe^2+^,Ti^4+^,Fe^3+^)_2_(Ti^4+^,Nb^5+^,Fe^3+^)_2_(Si_2_O_7_)_2_O_8_"
Sc-Perrierite,O x 8,"Ce^3+^_4_Mg(Fe^3+^,Sc^3+^)_2_Ti^4+^_2_O_8_(Si_2_O_7_)_2_"
Strontium Perrierite,O x 8,"(Ce^3+^,Sr,La,Ca)_4_Fe^2+^(Ti^4+^,Zr,Fe^3+^)_2_Ti^4+^_2_(Si_2_O_7_)_2_O_8_"
Fersmanite,F x 3;O x 8,"Ca_4_(Na,Ca)_4_(Ti^4+^,Nb^5+^)_4_(Si_2_O_7_)_2_O_8_F_3_"
Belkovite,O x 12,Ba_3_(Nb^5+^Ti^4+^)_6_(Si_2_O_7_)_2_O_12_
Nasonite,Cl x 2,Ca_4_Pb^2+^_6_(Si_2_O_7_)_3_Cl_2_
Kentrolite,O x 2,Pb^2+^_2_Mn^3+^_2_O_2_(Si_2_O_7_)
Melanotekite,O x 2,Pb^2+^_2_Fe^3+^_2_O_2_Si_2_O_7_
Tilleyite,CO_3_ x 2,Ca_5_Si_2_O_7_(CO_3_)_2_
Killalaite,OH,Ca_3.2_[H_0.6_Si_2_O_7_](OH)
Stavelotite-(La),O x 30,"(La,Nd,Ca)_3_Mn^2+^_3_Cu^2+^(Mn^3+^,Fe^3+^,Mn^4+^)_26_(Si_2_O_7_)_6_O_30_"
Alexkuznetsovite-(La),CO_3_,La_2_Mn^2+^(CO_3_)(Si_2_O_7_)
Biraite-(Ce),CO_3_,Ce^3+^_2_Fe^2+^Si_2_O_7_(CO_3_)
Alexkuznetsovite-(Ce),CO_3_,Ce^3+^_2_Mn^2+^(CO_3_)(Si_2_O_7_)
Cervandonite-(Ce),As^3+^O_3_ x 1.2;O x 2;OHx0.6,"(Ce^3+^,Nd,La)(Fe^3+^,Ti^4+^,Fe^2+^,Al)_3_O_2_(Si_2_O_7_)_0.8_(As^3+^O_3_)_1.2_(OH)_0.6_"
Batisivite,O x 22,BaTi^4+^_6_V^3+^_8_Si_2_O_29_
Magnesiorowlandite-(Y),F x 2,"Y^3+^_4_(Mg,Fe^2+^)(Si_2_O_7_)_2_F_2_"
Rowlandite-(Y),F x 2,"Fe^2+^(Y,Ce^3+^)_4_(Si_2_O_7_)_2_F_2_"
Chirvinskyite,(OH + O)=12,"(Na,Ca)_13_(Fe^2+^,Mn^2+^,[box])_2_(Ti^4+^,Zr)_5_(Si_2_O_7_)_4_(OH,O)_12_·2H_2_O"
Rusinovite,Cl x 2,Ca_10_(Si_2_O_7_)_3_Cl_2_
Schlüterite-(Y),F;OHx2,"(Y,REE)_2_AlSi_2_O_7_(OH)_2_F"
Harstigite,OHx2,"Ca_6_(Mn^2+^,Mg)Be_4_(SiO_4_)_2_(Si_2_O_7_)_2_(OH)_2_"
Samfowlerite,OHx6,Ca_14_Mn^2+^_3_Zn_2_Be_2_Be_6_Si_14_O_52_(OH)_6_
Davreuxite,O x 2;OHx2,Mn^2+^Al_6_Si_4_O_17_(OH)_2_
Queitite,SO_4_,Zn_2_Pb^2+^_4_(SiO_4_)(Si_2_O_7_)(S^6+^O_4_)
Ca-bearing Queitite,SO_4_,"Zn_2_(Pb^2+^,Ca)_4_(SiO_4_)(Si_2_O_7_)(S^6+^O_4_)"
