Mineral_Name,anions_real,Formula
Clino-oscarkempffite,S x 72,Ag_15_Pb_6_Sb_21_Bi_18_S_72_
Erzwiesite,S x 40,Ag_8_Pb_12_Bi_16_S_40_
Fizélyite,S x 48,Ag_5_Pb_14_Sb_21_S_48_
Gustavite,S x 6,AgPbBi_3_S_6_
Jasrouxite,S x 72,Ag_16_Pb_4_(Sb_25_As_15_)S_72_
Lillianite,S x 6,Pb_3-2x_Ag_x_Bi_2+x_S_6_
Menchettiite,S x 24,Pb^2+^_5_Mn^2+^_3_Ag^1+^_2_Sb^3+^_6_As^3+^_4_S^2-^_24_
Oscarkempffite,S x 48,Ag_10_Pb_4_(Sb_17_Bi_9_)S_48_
Oyonite,S x 24,Ag_3_Mn_2_Pb_4_Sb_7_As_4_S_24_
Ramdohrite,S x 24,Pb_5.9_Fe_0.1_Mn_0.1_In_0.1_Cd_0.2_Ag_2.8_Sb_10.8_S_24_
Roshchinite,S x 96,"(Ag,Cu)_19_Pb_10_Sb_51_S_96_"
Staročeskéite,S x 6,Ag_0.70_Pb_1.60_(Bi_1.35_Sb_1.35_)S_6_
Terrywallaceite,S x 6,"AgPb(Sb,Bi)_3_S_6_"
Treasurite,S x 30,Ag_7_Pb_6_Bi_15_S_30_
Uchucchacuaite,S x 12,AgMn^2+^Pb^2+^_3_Sb^3+^_5_S^2-^_12_
Vikingite,S x 30,Ag_5_Pb_8_Bi_13_S_30_
Xilingolite,S x 6,Pb_3_Bi_2_S_6_
Bursaite,S x 11,Pb_5_Bi_4_S_11_
Argentian Lillianite,S x 6,Pb_3-2x_Ag_x_Bi_2+x_S_6_
Argentiferous Xilingolite,S x 6,"Pb_3+x_(Ag,Cu)Bi_2-2x/3_S_6_"
Bismuthian Ramdohrite,S x 24,"Pb_5.9_Fe_0.1_Mn_0.1_In_0.1_Cd_0.2_Ag_2.8_(Sb,Bi)_10.8_S_24_"
Cuprolillianite,S x 6,"(Pb,Cu)_3-2x_Ag_x_Bi_2+x_S_6_"
Nakaseite,S x 24,CuAg_3_Pb_4_Sb_12_S_24_
Aschamalmite,S x 9,Pb_6-3x_Bi_2+x_S_9_
Eskimoite,S x 36,Ag_7_Pb_10_Bi_15_S_36_
Heyrovskýite,S x 9,Pb_6_Bi_2_S_9_
Argentogoongarrite,S x 9,"(Pb,Ag)_6_Bi_2_S_9_"
Ourayite,S x 13,Ag_3_Pb_4_Bi_5_S_13_
Schirmerite,S x 6-9,Pb_1-3_Ag_1-1.5_Bi_3-3.5_S_6-9_
Ustarasite,S x 10,"Pb(Bi,Sb)_6_S_10_"
Argentiferous Ustarasite,S x 10,"AgPb(Bi,Sb)_6_S_10_"
Gratonite,S x 15,Pb_9_As_4_S_15_
Marrucciite,S x 46,Hg_3_Pb_16_Sb_18_S_46_
Tazieffite,Cl x 10;S x 50,"Pb_20_Cd_2_(As,Bi)_22_S_50_Cl_10_"
Vurroite,Cl x 6;S x 54,"Pb_20_Sn_2_(Bi,As)_22_S_54_Cl_6_"
Daliranite,S x 6,PbHgAs_2_S_6_
Ferdowsiite,S x 16,Ag^1+^_8_(Sb^3+^_5_As^3+^_3_)S^2-^_16_
Sangenaroite,S x 16,Ag_8_(Sb_8–x_As_x_)S_16_ (0 < x < 2)
Plumbian Ferdowsiite,S x 16,"(Ag^1+^,Pb)_8_(Sb^3+^_5_As^3+^_3_)S^2-^_16_"
Ellisite,S x 3,Tl_3_AsS_3_
Gillulyite,S x 13,"Tl_2_(As,Sb)_8_S_13_"
Galenobismutite,S x 4,PbBi_2_S_4_
Argentiferous Galenobismutite,S x 4,"(Pb,Ag)Bi_2_S_4_"
Enargite,AsS_4_,Cu_3_AsS_4_
Petrukite,"(Sn,In)S_4_","(Cu,Fe,Zn,Ag)_3_(Sn,In)S_4_"
Argentian Enargite,AsS_4_,"(Cu,Ag)_3_AsS_4_"
Stannoenargite,(AsS_4_ + SnS_4_)=1,"Cu_3_(As,Sn)S_4_"
Barquillite,Ge^4+^S_4_,Cu^1+^_2_CdGeS^2-^_4_
Briartite,Ge^4+^S_4_,"Cu^1+^_2_(Fe^2+^,Zn)GeS^2-^_4_"
Famatinite,Sb^3+^S_4_,Cu^1+^Cu^2+^_2_Sb^3+^S^2-^_4_
Keutschite,AsS_4_,Ag^1+^Cu_2_AsS^2-^_4_
Luzonite,AsS_4_,Cu_3_AsS^2-^_4_
Permingeatite,SbSe_4_,Cu_3_SbSe_4_
Zincobriartite,"(Ge^4+^,Ga^3+^)S^2-^_4_","(Cu^1+^,Cu^2+^)_2_(Zn^2+^,Fe^2+^)(Ge^4+^,Ga^3+^)S^2-^_4_"
Seleniferous Famatinite,(Sb^3+^S_4_ + Sb^3+^Se_4_)=1,"Cu^1+^Cu^2+^_2_Sb^3+^(S^2-^,Se^2-^)_4_"
Stannoluzonite,(AsS_4_ + SnS_4_)=1,"Cu_3_(As,Sn)S_4_"
Stibioluzonite (of Schneiderhöhn & Ramdohr),(Sb^3+^S_4_ + As^3+^S_4_)=1,"Cu^1+^Cu^2+^_2_(Sb^3+^,As^3+^)S^2-^_4_"
Stibioluzonite (of Stevanović),(AsS_4_ + SbS_4_)=1,"Cu^1+^Cu^2+^_2_(As^3+^,Sb^3+^)S^2-^_4_"
Fangite,AsS_4_,Tl_3_AsS_4_
Billingsleyite,S x 6,Ag_7_AsS_6_
Dervillite,S x 2,Ag_2_AsS_2_
Biagioniite,S x 2,Tl_2_SbS_2_
Daomanite,S x 2,CuPtAsS_2_
Vaughanite,S x 7,TlHgSb_4_S_7_
Criddleite,S x 10,Ag_2_Au_3_TlSb_10_S_10_
Fettelite,S x 15,Ag_16_HgAs_4_S_15_
Chaméanite,"(Se,S)_4_","(Cu,Fe)_4_As(Se,S)_4_"
Arcubisite,S x 4,Ag_6_CuBiS_4_
Mgriite,Se x 3,Cu_3_AsSe_3_
Benleonardite,S x 6;Te x 3;(S + Te)=2,"[Ag_6_(Sb,As)_2_S_6_Te] [Ag_9_Cu(S,Te)_2_Te_2_]"
Tsnigriite,S x 3;Te x 3,Ag_9_SbTe_3_S_3_
Borovskite,Te x 4,Pd_3_SbTe_4_
Butianite,S x 2,Ni_6_SnS_2_
Jonassonite,S x 4,"Au(Bi,Pb)_5_S_4_"
Nuwaite,S x 2,Ni_6_GeS_2_
Raberite,S x 15,Tl_5_Ag_4_As_6_SbS_15_
Spaltiite,S x 5,Tl_2_Cu_2_As_2_S_5_
Pokhodyashinite,S x 13,Cu_2_Tl_3_Sb_5_As_2_S_13_
Miharaite,S x 6,PbCu_4_FeBiS_6_
Ardaite,Cl x 9;S x 35,Pb_17_Sb_15_S_35_Cl_9_
Ciriottiite,S x 56,"Cu^1+^_4_Pb^2+^_19_(Sb^3+^,As,Bi^3+^)_22_(As_2_)S^2-^_56_"
Launayite,S x 30,"CuPb_10_(Sb,As)_13_S_30_"
Madocite,S x 41,"Pb_18_(Sb,As)_15_S_41_"
Playfairite,Cl;S x 44,"Pb_16_(Sb,As)_19_S_44_Cl"
Sorbyite,S x 26,"Pb_9_Cu(Sb,As)_11_S_26_"
Sterryite,S x 56,"Cu(Ag,Cu)_3_Pb_19_(Sb,As)_22_(As)_2_S_56_"
Larosite,S x 13,"(Cu,Ag)_21_PbBiS_13_"
Mazzettiite,Te x 5,Ag_3_HgPbSbTe_5_
Petrovicite,Se x 5,Cu_3_HgPbBiSe_5_
Crerarite,"(S,Se)_4-x_","(Pt,Pb)Bi_3_(S,Se)_4-x_ (x = 0.4-0-8)"
Quijarroite,Se x 12,Cu_6_HgPb_2_Bi_4_Se_12_
Znamenskyite,Se x 13,Pb_4_In_2_Bi_4_S_13_
Kaiyuhite,,No formulae
Chukotkaite,S x 15,AgPb_7_Sb_5_S_15_
Cetineite,O x 18;S x 6,NaK_5_Sb_14_S_6_O_18_·6H_2_O
Ottensite,O x 9;S x 3,"(Na,K)_3_Sb^3+^_6_(Sb^3+^S_3_)O_9_·3H_2_O"
Sarabauite,O x 10;S x 6,CaSb^3+^_10_O_10_S_6_
Marshite,I,Cu^1+^I^1-^
Miersite,I,"(Ag,Cu^1+^)I^1-^"
Nantokite,Cl,Cu^1+^Cl
UM1999-11:I:CuS,(I + S)=1,"Cu^1+^(I^1-^,S^2-^)"
Cupro-iodargyrite,I,"(Ag,Cu^1+^)I"
Iodargyrite,I,AgI^1-^
Tocornalite,I,"(Ag,Hg^1+^)I"
Bromargyrite,Br,AgBr
Chlorargyrite,Cl,AgCl
Bromian Chlorargyrite,(Cl + Br)=1,"Ag(Cl,Br)"
Chlorian Bromargyrite,(Br + Cl)=1,"Ag(Br,Cl)"
Embolite,(Cl + Br)=1,"Ag(Cl,Br)"
Iodian Bromargyrite,(Br + I)=1,"Ag(Br,I)"
Iodian Bromian Chlorargyrite,(Cl + Br + I)=1,"Ag(Cl,Br,I)"
Mercuroan Bromargyrite,Br,"(Ag,Hg)Br"
Carobbiite,F,KF
Griceite,F,LiF
Halite,Cl,NaCl
Sylvite,Cl,KCl
Villiaumite,F,NaF
Huantajayite,Cl,"(Na,Ag)Cl"
Lafossaite,"(Cl,Br)","Tl^1+^(Cl,Br)"
Nataliyamalikite,I,Tl^1+^I^1-^
Salammoniac,Cl,NH_4_Cl
UM1998-03-Cl:Tl,Cl,Tl^1+^Cl
Calomel,Cl x 2,Hg^2+^_2_Cl_2_
Kuzminite,Br x 2,Hg^2+^_2_Br_2_
Moschelite,I x 2,Hg^2+^_2_I_2_
Neighborite,F x 3,NaMgF_3_
Parascandolaite,F x 3,KMgF_3_
Chlorocalcite,Cl x 3,KCaCl_3_
Javorieite,Cl x 3,KFe^2+^Cl_3_
Kolarite,Cl x 2,PbTeCl_2_
Radhakrishnaite,"(Cl,S)_2_","PbTe_3_(Cl,S)_2_"
Challacolloite,Cl x 5,KPb^2+^_2_Cl_5_
Hephaistosite,Cl x 5,Tl^1+^Pb^2+^_2_Cl_5_
Flinteite,Cl x 4,K_2_Zn^2+^Cl_4_
Mellizinkalite,Cl x 7,K_3_Zn^2+^_2_Cl_7_
Sanguite,Cl x 3,KCu^2+^Cl_3_
Brontesite,Cl x 5,(NH_4_)_3_Pb^2+^Cl_5_
Tolbachite,Cl x 2,Cu^2+^Cl_2_
Coccinite,I x 2,Hg^2+^I^1-^_2_
Sellaite,F x 2,MgF_2_
Chloromagnesite,Cl x 2,MgCl_2_
Lawrencite,Cl x 2,"(Fe^2+^,Ni^2+^)Cl_2_"
Scacchite,Cl x 2,Mn^2+^Cl_2_
Fluorite,F x 2,CaF_2_
Fluorocronite,F x 2,Pb^2+^F_2_
Frankdicksonite,F x 2,BaF_2_
Strontiofluorite,F x 2,SrF_2_
Strontian Fluorite,F x 2,"(Ca,Sr)F_2_"
Yttrocerite,F x 2,"(Ca,Y,Ce^3+^)F_2+x_"
Yttrofluorite,F x 2+x,(Ca_1-x_Y_x_)F_2+x_ where 0.05< x <0.3
Tveitite-(Y),F x 42,"(Y,Na)_6_(Ca,Na,Y)_12_(Ca,Na)F_42_"
Gagarinite-(Ce),F x 6,Na(REE_x_Ca_1-x_)(REE_y_Ca_1-y_)F_6_
Gagarinite-(Y),F x 6,NaCaYF_6_
Polezhaevaite-(Ce),F x 6,NaSrCe^3+^F_6_
Zharchikhite,F;OHx2,Al(OH)_2_F
Molysite,Cl x 3,Fe^3+^Cl_3_
Fluocerite-(Ce),F x 3,"(Ce^3+^,La)F_3_"
Fluocerite-(La),F x 3,"(La,Ce^3+^)F_3_"
Gananite,F x 3,BiF_3_
Oskarssonite,F x 3,AlF_3_
Waimirite-(Y),F x 3,Y^3+^F_3_
Hydrohalite,Cl,NaCl·2H_2_O
Carnallite,Cl x 3,KMgCl_3_·6H_2_O
Bromcarnallite,(Cl + Br)=3,"KMg(Cl,Br)_3_·6H_2_O"
Iodcarnallite,I x 3,KMgI_3_·6H_2_O
Novograblenovite,Cl x 3,"(N^3-^H_4_,K)MgCl_3_·6H_2_O"
Cryobostryxite,Cl x 3,KZn^2+^Cl_3_·2H_2_O
Eriochalcite,Cl x 2,Cu^2+^Cl_2_·2H_2_O
Rokühnite,Cl x 2,Fe^2+^Cl_2_·2H_2_O
Bischofite,Cl x 2,MgCl_2_·6H_2_O
Brom-bischofite,Br x 2,MgBr_2_·6H_2_O
Nickelbischofite,Cl x 2,Ni^2+^Cl_2_·6H_2_O
Sinjarite,Cl x 2,CaCl_2_·2H_2_O
Antarcticite,Cl x 2,CaCl_2_·6H_2_O
Tachyhydrite,Cl x 6,CaMg_2_Cl_6_·12H_2_O
Ghiaraite,Cl x 2,CaCl_2_·4H_2_O
Chloraluminite,Cl x 3,AlCl_3_·6H_2_O
Hydromolysite,Cl x 3,Fe^3+^Cl_3_·6H_2_O
Cadwaladerite,OHx12,"Al_5_(H_2_O)_3_(OH)_12_·n(Cl,H_2_O)"
Korshunovskite,Cl;OHx3,Mg_2_Cl(OH)_3_·4H_2_O
Nepskoeite,Cl;OHx7,Mg_4_Cl(OH)_7_·6H_2_O
Koenenite,Cl x 12;OHx22,Na_4_Mg_9_Al_4_Cl_12_(OH)_22_
Chlor-manasseite,Cl;OHx2x+2,Mg_x_Al(OH)_2x+2_Cl·(x-0.8)H_2_O; x about 1.75
Fluornatrocoulsellite,F x 14,CaNa_3_AlMg_3_F_14_
Ammineite,Cl x 2,Cu^2+^Cl_2_(N^3-^H_3_)_2_
Ferruccite,BF_4_,NaBF_4_
Avogadrite,BF_4_ x 4,"(K,Cs)BF_4_"
Barberiite,BF_4_ x 4,NH_4_BF_4_
Cryolithionite,AlF_6_ x 2,Na_3_Li_3_(AlF_6_)_2_
Cryolite,AlF_6_,Na_3_AlF_6_
Elpasolite,AlF_6_,K_2_NaAlF_6_
Simmonsite,AlF_6_,Na_2_LiAlF_6_
Colquiriite,AlF_6_,CaLiAlF_6_
Leonardsenite,AlF_5_,MgAlF_5_·2H_2_O
Weberite,AlF_7_,Na_2_MgAlF_7_
Karasugite,"Al(F,OH)_7_;OH","SrCaAl(F,OH)_7_"
Usovite,Al_2_F_14_,Ba_2_CaMgAl_2_F_14_
Pachnolite,AlF_6_,NaCaAlF_6_·H_2_O
Thomsenolite,AlF_6_,NaCaAlF_6_·H_2_O
Carlhintzeite,AlF_7_,Ca_2_AlF_7_·H_2_O
Yaroslavite,Al_2_F_10_(OH)_2_,Ca_3_Al_2_F_10_(OH)_2_·H_2_O
Sbacchiite,AlF_7_,Ca_2_AlF_7_
Verneite,Al_2_F_14_,Na_2_Ca_3_Al_2_F_14_
Gearksutite,AlF_4_(OH),CaAlF_4_(OH)·H_2_O
Acuminite,AlF_4_(OH),SrAlF_4_(OH)·H_2_O
Tikhonenkovite,AlF_4_(OH),SrAlF_4_(OH)·H_2_O
Artroeite,AlF_3_(OH)_2_,Pb^2+^AlF_3_(OH)_2_
Calcjarlite,Al_12_F_64_;OHx4,"Na_2_(Ca,[box])_14_(Mg,[box])_2_Al_12_F_64_(OH)_4_"
Jarlite,Al_12_F_64_;OHx4,"Na_2_(Sr,Na)_14_(Mg,[box])_2_Al_12_F_64_(OH)_4_"
Jørgensenite,Al_12_F_64_;(OH + F)=4,"Na_2_(Sr,Ba)_14_Na_2_Al_12_F_64_(OH,F)_4_"
Meta-jarlite,Al_6_F_32_;(OH + H_2_O)=2,"Na(Sr,Na,Mg,Ca,Ba)_7_MgAl_6_F_32_(OH,H_2_O)_2_"
Rosenbergite,F x 3,AlF[F_0.5_(H_2_O)_0.5_]_4_·H_2_O
Topsøeite,F x 3,Fe^3+^F_3_(H_2_O)_3_
Prosopite,F;(F + OH)=8,"CaAl_2_(F,OH)_8_"
Jakobssonite,AlF_5_,CaAlF_5_
Chiolite,Al_3_F_14_,Na_5_Al_3_F_14_
Khodnevite,Al_F_5_,Na_2_Al_F_5_
Hydrokenoralstonite,AlF_6_,[box]_2_Al_2_F_6_(H_2_O)
UM1941-01-F:AlCaHMgNa,Al_3_F_14_,NaCaMgAl_3_F_14_·4H_2_O
Bøgvadite,Al_4_F_20_,Na_2_Ba_2_SrAl_4_F_20_
Stenonite,Al(CO_3_)F_5_,"(Sr,Ba,Na)_2_Al(CO_3_)F_5_"
Chukhrovite-(Ca),Al_2_(SO_4_)F_13_,Ca_4.5_Al_2_(SO_4_)F_13_·12H_2_O
Chukhrovite-(Ce),Al_2_(SO_4_)F_13_,"Ca_3_(Ce^3+^,Y)Al_2_(SO_4_)F_13_·10H_2_O"
Chukhrovite-(Nd),Al_2_(SO_4_)F_13_,"Ca_3_(Nd,Y)Al_2_(SO_4_)F_13_·12H_2_O"
Chukhrovite-(Y),Al_2_(SO_4_)F_13_,"Ca_3_(Y,Ce^3+^)Al_2_(SO_4_)F_13_·10H_2_O"
Meniaylovite,AlSi(SO_4_)F_13_,Ca_4_AlSi(SO_4_)F_13_·12H_2_O
Creedite,Al_2_(SO_4_)(OH)_2_F_8_,Ca_3_Al_2_(SO_4_)(OH)_2_F_8_·2H_2_O
Bøggildite,Al_2_(PO_4_)F_9_,Na_2_Sr_2_Al_2_(PO_4_)F_9_
Thermessaite,AlF_3_(SO_4_),K_2_AlF_3_(SO_4_)
Thermessaite-(NH4),AlF_3_(SO_4_),(N^3-^H_4_)_2_AlF_3_(S^6+^O_4_)
Kruijenite,(SO_4_);Al_4_F_2_(OH)_16_,Ca_4_Al_4_(SO_4_)F_2_(OH)_16_·2H_2_O
Malladrite,SiF_6_,Na_2_SiF_6_
Bararite,SiF_6_,(NH_4_)_2_SiF_6_
Cryptohalite,SiF_6_,(NH_4_)_2_SiF_6_
Hieratite,SiF_6_,K_2_SiF_6_
Demartinite,SiF_6_,K_2_SiF_6_
Knasibfite,SiF_6_ x 3; BF_4_,K_3_Na_4_(SiF_6_)_3_(BF_4_)
Heklaite,SiF_6_,KNaSiF_6_
Chlormanganokalite,Cl x 6,K_4_Mn^2+^Cl_6_
Rinneite,Cl x 6,K_3_NaFe^2+^Cl_6_
Saltonseaite,Cl x 6,K_3_NaMn^2+^Cl_6_
Erythrosiderite,Cl x 5,K_2_Fe^3+^Cl_5_·H_2_O
Kremersite,Cl x 5,"(NH_4_,K)_2_Fe^3+^Cl_5_·H_2_O"
Mitscherlichite,Cl x 4,K_2_Cu^2+^Cl_4_·2H_2_O
Douglasite,Cl x 4,K_2_Fe^2+^Cl_4_·2H_2_O
Redikortsevite,Cl x 3,(NH_4_)MgCl_3_·6H_2_O
Kalithallite,Cl x 6,K_3_Tl^3+^Cl_6_·2H_2_O
Zirklerite,Cl x 18;OHx12,"(Fe^2+^,Mg,Ca)_9_Al_4_Cl_18_(OH)_12_·14H_2_O"
Panichiite,Cl x 6,(NH_4_)_2_Sn^4+^Cl_6_
Steropesite,Cl x 6,Tl^1+^_3_BiCl_6_
Cuatrocapaite-(K),(As^3+^_2_O_3_) x 6;Cl x 6,K_3_(NaMg[box])(As^3+^_2_O_3_)_6_Cl_6_·16H_2_O
Cuatrocapaite-(NH4),(As^3+^_2_O_3_) x 6;Cl x 6,(NH_4_)_3_(NaMg[box])(As^3+^_2_O_3_)_6_Cl_6_·16H_2_O
Gajardoite,As^3+^_4_O_6_;Cl x 2,KCa_0.5_As^3+^_4_O_6_Cl_2_·5H_2_O
Lucabindiite,As^3+^_4_O_6_;(Cl + Br)=1,"(K,N^3-^H_4_)As^3+^_4_O_6_(Cl,Br)"
Mauriziodiniite,(As^3+^_2_O_3_) x 2;I,(NH_4_)(As^3+^_2_O_3_)_2_I
Russoite,As^3+^_2_O_3_;Cl,(NH_4_)ClAs^3+^_2_O_3_(H_2_O)_0.5_
Torrecillasite,"(As^3+^,Sb^3+^)_4_O_6;Cl","Na(As^3+^,Sb^3+^)_4_O_6_Cl"
Cabvinite,F x 7;OH,Th^4+^_2_F_7_(OH)·3H_2_O
Melanothallite,Cl x 2;O,Cu^2+^_2_OCl_2_
Atacamite,Cl;OHx3,Cu^2+^_2_Cl(OH)_3_
Hibbingite,Cl;OHx3,Fe^2+^_2_(OH)_3_Cl
Kempite,Cl;OHx3,Mn^2+^_2_Cl(OH)_3_
Belloite,Cl;OH,Cu^2+^(OH)Cl
Botallackite,Cl;OHx3,Cu^2+^_2_Cl(OH)_3_
Clinoatacamite,Cl;OHx3,Cu^2+^_2_Cl(OH)_3_
Iyoite,Cl;OHx3,Mn^2+^Cu^2+^Cl(OH)_3_
Unnamed (Cu-Zn Chloride Hydroxide),Cl;OHx3,Cu^2+^ZnCl(OH)_3_
Brombotallackite,Br;OHx3,Cu_2_Br(OH)_3_
Gillardite,Cl x 2;OHx6,Cu^2+^_3_Ni^2+^Cl_2_(OH)_6_
Haydeeite,Cl x 2;OHx6,Cu^2+^_3_Mg(OH)_6_Cl_2_
Herbertsmithite,Cl x 2;OHx6,Cu^2+^_3_Zn(OH)_6_Cl_2_
Kapellasite,Cl x 2;OHx6,Cu^2+^_3_Zn(OH)_6_Cl_2_
Kuliginite,Cl x 2;OHx6,Fe^2+^_3_Mg(OH)_6_Cl_2_
Leverettite,Cl x 2;OHx6,Cu^2+^_3_Co^2+^Cl_2_(OH)_6_
Misakiite,Cl x 2;OHx6,Cu^2+^_3_Mn^2+^(OH)_6_Cl_2_
Paratacamite,Cl x 2;OHx6,"Cu^2+^_3_(Cu^2+^,Zn)(OH)_6_Cl_2_"
Paratacamite-(Mg),Cl x 2;OHx6,"Cu^2+^_3_(Mg,Cu^2+^)(OH)_6_Cl_2_"
Paratacamite-(Ni),Cl x 2;OHx6,"Cu^2+^_3_(Ni^2+^,Cu^2+^)Cl_2_(OH)_6_"
Tondiite,Cl x 2;OHx6,Cu^2+^_3_MgCl_2_(OH)_6_
Barlowite,Br;F;OHx6,Cu^2+^_4_BrF(OH)_6_
Claringbullite,Cl;F;OHx6,Cu^2+^_4_FCl(OH)_6_
Simonkolleite,Cl x 2;OHx8,Zn_5_(OH)_8_Cl_2_·H_2_O
Buttgenbachite,NO_3_ x 2;Cl x 6;OHx64,Cu^2+^_36_(N^5+^O_3_)_2_Cl_6_(OH)_64_·nH_2_O
Connellite,SO_4_;Cl x 8;OHx62,Cu^2+^_36_(S^6+^O_4_)(OH)_62_Cl_8_·6H_2_O
Abhurite,Cl x 16;O x 6;OHx14,Sn^2+^_21_O_6_(OH)_14_Cl_16_
Ponomarevite,Cl x 10;O,K_4_Cu^2+^_4_OCl_10_
Anthonyite,(OH + Cl)=2,"Cu^2+^(OH,Cl)_2_·3H_2_O"
Calumetite,(OH + Cl)=2,"Cu^2+^(OH,Cl)_2_·2H_2_O"
Khaidarkanite,F x 3;OHx14,Cu^2+^_4_Al_3_(OH)_14_F_3_·2H_2_O
Bobkingite,Cl x 2;OHx8,Cu^2+^_5_Cl_2_(OH)_8_·2H_2_O
Avdoninite,Cl x 8;OHx4,K_2_Cu^2+^_5_Cl_8_(OH)_4_·2H_2_O
Droninoite,Cl;OHx8,Ni^2+^_3_Fe^3+^Cl(OH)_8_·2H_2_O
Centennialite,Cl x 2;OHx6,CaCu^2+^_3_Cl_2_(OH)_6_·nH_2_O  (n ~ 0.7)
Chrysothallite,Cl x 17;OHx4,K_6_Cu^2+^_6_Tl^3+^Cl_17_(OH)_4_·H_2_O
Dioskouriite,Cl x 6;OHx4,CaCu^2+^_4_Cl_6_(OH)_4_·4H_2_O
Feodosiyite,Cl x 18;OHx8,Cu^2+^_11_Mg_2_Cl_18_(OH)_8_·16H_2_O
Romanorlovite,Cl x 25;OHx4,K_11_Cu^2+^_9_Cl_25_(OH)_4_·2H_2_O
Hydromelanothallite,Cl x 2;OHx2,Cu^2+^_2_(OH)_2_Cl_2_·H_2_O
Diaboleite,Cl x 2;OHx4,Cu^2+^Pb^2+^_2_Cl_2_(OH)_4_
Pseudoboleite,Cl x 62;OHx48,Pb^2+^_31_Cu^2+^_24_Cl_62_(OH)_48_
Boleite,Cl x 62;OHx48,KAg_9_Pb^2+^_26_Cu^2+^_24_Cl_62_(OH)_48_
Cumengeite,Cl x 42;OHx40,Pb^2+^_21_Cu^2+^_20_Cl_42_(OH)_40_·6H_2_O
Bideauxite,Cl x 3;(F + OH)=2,"Pb^2+^_2_AgCl_3_(F,OH)_2_"
Chloroxiphite,Cl x 2;O x 2;OHx2,Pb^2+^_3_Cu^2+^O_2_Cl_2_(OH)_2_
Hematophanite,O x 8;(OH + Cl)=1,"Pb^2+^_4_Fe^3+^_3_O_8_(OH,Cl)"
Asisite,Cl x 2;O x 4,Pb^2+^_7_SiO_8_Cl_2_
Janchevite,Cl x 2;O x 8.5;[box] x 0.5,Pb^2+^_7_V^5+^(O_8.5_[box]_0.5_)Cl_2_
Parkinsonite,Cl x 2;O x 9,Pb^2+^_7_Mo^6+^O_9_Cl_2_
Eddavidite,Br x 2;O x 15,Pb_2_Cu_12_O_15_Br_2_
Murdochite,"(Cl,Br)_2_;O x 15","Cu^2+^_12_Pb^4+^_2_O_15_(Cl,Br)_2_"
Yedlinite,Cl x 6;(O + OH + H_2_O)=8,"Pb^2+^_6_Cr^3+^Cl_6_(O,OH,H_2_O)_8_"
Siidraite,I x 3;OHx2,Pb^2+^_2_Cu^1+^(OH)_2_I_3_
Rickturnerite,Cl x 3;O x 4;OHx5,Pb^2+^_7_O_4_[Mg(OH)_4_](OH)Cl_3_
Laurionite,Cl;OH,Pb^2+^Cl(OH)
Paralaurionite,Cl;OH,Pb^2+^Cl(OH)
Fiedlerite,Cl x 4;F;OH,Pb^2+^_3_Cl_4_F(OH)·H_2_O
Penfieldite,Cl x 3;OH,Pb^2+^_2_Cl_3_(OH)
Laurelite,Cl x 2;F x 12,Pb^2+^_7_F_12_Cl_2_
Bismoclite,Cl;O,BiOCl
Daubréeite,O;(OH + Cl)=1,"BiO(OH,Cl)"
Matlockite,Cl;F,Pb^2+^ClF
Rorisite,Cl;F,CaClF
Zavaritskite,F;O,BiOF
Zhangpeishanite,Cl;F,BaFCl
Nadorite,Cl;O x 2,Pb^2+^Sb^3+^O_2_Cl
Perite,Cl;O x 2,Pb^2+^BiO_2_Cl
Telluroperite,Cl;O x 2,Pb^2+^(Te^4+^_0.5_Pb^2+^_0.5_)O_2_Cl
Aravaipaite,AlF_9_,Pb^2+^_3_AlF_9_·H_2_O
Calcioaravaipaite,AlF_9_,Pb^2+^Ca_2_AlF_9_
Thorikosite,Cl x 2;O x 3;OH,Pb^2+^_3_O_3_Sb^3+^(OH)Cl_2_
Mereheadite,(BO_3_) x 2;Cl x 25;O x 24;(CO_3_);OHx13,Pb^2+^_47_O_24_(OH)_13_Cl_25_(BO_3_)_2_(CO_3_)
Blixite,Cl x 4;O x 5;OHx2,Pb^2+^_8_O_5_(OH)_2_Cl_4_
Pinalite,W^6+^O_4_;Cl x 2;O,Pb^2+^_3_(W^6+^O_4_)OCl_2_
Symesite,Cl x 4;O x 7;SO_4_,Pb^2+^_10_SO_4_O_7_Cl_4_·H_2_O
Ecdemite,Cl x 4;O x 7,Pb^2+^_6_As^3+^_2_O_7_Cl_4_
Mendipite,Cl x 2;O x 2,Pb^2+^_3_O_2_Cl_2_
Damaraite,Cl;O x 2;OH,Pb^2+^_3_O_2_(OH)Cl
Onoratoite,Cl x 2;O x 11,Sb^3+^_8_O_11_Cl_2_
Cotunnite,Cl x 2,Pb^2+^Cl_2_
Pseudocotunnite,Cl x 4,K_2_Pb^2+^Cl_4_
Barstowite,Cl x 6;CO_3_,Pb^2+^_4_CO_3_Cl_6_·H_2_O
Rumseyite,Cl;F;O,Pb^2+^_2_OFCl
Vladkrivovichevite,Cl x 14;(BO_3_) x 8;O x 19,[Pb^2+^_32_O_18_][Pb^2+^_4_Mn^2+^_2_O]Cl_14_(BO_3_)_8_·2H_2_O
Yeomanite,O;Cl;OH,Pb^2+^_2_O(OH)Cl
Lorettoite,O x 6;Cl x 2,Pb^2+^_7_O_6_Cl_2_
Sarawakite (of Frenzel),,
