supergroup_id,group_id,subgroup_id,root_id,serie_id,mineral_id
,40bfe474-8252-493d-ad3e-306656b39ded,,,0b454277-5266-4b8b-91f4-94da207a9454,f0cc3fa1-a949-4dbb-95ae-b7d1bb17813a
,40bfe474-8252-493d-ad3e-306656b39ded,,,0b454277-5266-4b8b-91f4-94da207a9454,87a7322b-ad5d-4ef2-a82d-3fa689c9beb1
,40bfe474-8252-493d-ad3e-306656b39ded,,,15afdd4f-97a9-4f66-a261-998437109e64,
,40bfe474-8252-493d-ad3e-306656b39ded,,,15afdd4f-97a9-4f66-a261-998437109e64,0574bce4-4706-4173-9309-f5656d8a397f
,40bfe474-8252-493d-ad3e-306656b39ded,,,15afdd4f-97a9-4f66-a261-998437109e64,1eac6bbb-dc98-4030-a9cf-ab6ea840cdd6
,a39c2c9f-9fbe-4458-b92d-b5a45bbf2d04,,,,
,a39c2c9f-9fbe-4458-b92d-b5a45bbf2d04,,,,8dfd2104-4bf1-4127-8f84-1b510cd5712e
,a39c2c9f-9fbe-4458-b92d-b5a45bbf2d04,,,,f9075cf2-fac9-41e0-98eb-11f140296260
,62e300ae-96e1-4df4-a9a0-6257fa7da352,,,,
,62e300ae-96e1-4df4-a9a0-6257fa7da352,,,,fe0cec61-f247-456b-bb70-4895b09a6cac
,62e300ae-96e1-4df4-a9a0-6257fa7da352,,,,cfe8acfe-5cfb-49de-8725-eb8b5cb55a1e
,62e300ae-96e1-4df4-a9a0-6257fa7da352,,4cf03adf-9c2a-45e1-ac5a-6f3a39a666fb,,
,62e300ae-96e1-4df4-a9a0-6257fa7da352,,4cf03adf-9c2a-45e1-ac5a-6f3a39a666fb,,a0ba382c-fe6c-4424-982f-49745d08082b
,62e300ae-96e1-4df4-a9a0-6257fa7da352,,4cf03adf-9c2a-45e1-ac5a-6f3a39a666fb,,8173e06c-bcd8-43cc-835c-202c531c1b65
,62e300ae-96e1-4df4-a9a0-6257fa7da352,,4cf03adf-9c2a-45e1-ac5a-6f3a39a666fb,,a4890bd8-aa63-4143-80ae-8cb342468d74
,62e300ae-96e1-4df4-a9a0-6257fa7da352,,4cf03adf-9c2a-45e1-ac5a-6f3a39a666fb,,1032c56c-c80d-488d-a30f-6f56d92b9df0
,62e300ae-96e1-4df4-a9a0-6257fa7da352,,4cf03adf-9c2a-45e1-ac5a-6f3a39a666fb,,b0058541-84c5-40dc-b4d7-7f4e2483d7f1
,62e300ae-96e1-4df4-a9a0-6257fa7da352,,4cf03adf-9c2a-45e1-ac5a-6f3a39a666fb,,eb8f9e9c-fa7d-441e-9bf6-d0f00f21e33c
,62e300ae-96e1-4df4-a9a0-6257fa7da352,,4cf03adf-9c2a-45e1-ac5a-6f3a39a666fb,81f1809c-bed4-4d3b-9d3e-d5e2f5372159,
,62e300ae-96e1-4df4-a9a0-6257fa7da352,,4cf03adf-9c2a-45e1-ac5a-6f3a39a666fb,81f1809c-bed4-4d3b-9d3e-d5e2f5372159,9d6564ff-b04a-43b7-800d-4dfc4b9ef4b5
,62e300ae-96e1-4df4-a9a0-6257fa7da352,,4cf03adf-9c2a-45e1-ac5a-6f3a39a666fb,81f1809c-bed4-4d3b-9d3e-d5e2f5372159,8cf2345b-e228-4ac1-ae1d-82892bef41d4
,62e300ae-96e1-4df4-a9a0-6257fa7da352,,4cf03adf-9c2a-45e1-ac5a-6f3a39a666fb,235a369f-689f-4a6a-a347-31cbda1da757,
,62e300ae-96e1-4df4-a9a0-6257fa7da352,,4cf03adf-9c2a-45e1-ac5a-6f3a39a666fb,235a369f-689f-4a6a-a347-31cbda1da757,9d6564ff-b04a-43b7-800d-4dfc4b9ef4b5
,62e300ae-96e1-4df4-a9a0-6257fa7da352,,4cf03adf-9c2a-45e1-ac5a-6f3a39a666fb,235a369f-689f-4a6a-a347-31cbda1da757,2d8e44f8-b971-45b6-919a-bcef36cdce44
,62e300ae-96e1-4df4-a9a0-6257fa7da352,,4cf03adf-9c2a-45e1-ac5a-6f3a39a666fb,112d608a-60c8-4bf7-ac9d-081653431064,
,62e300ae-96e1-4df4-a9a0-6257fa7da352,,4cf03adf-9c2a-45e1-ac5a-6f3a39a666fb,112d608a-60c8-4bf7-ac9d-081653431064,8cf2345b-e228-4ac1-ae1d-82892bef41d4
,62e300ae-96e1-4df4-a9a0-6257fa7da352,,4cf03adf-9c2a-45e1-ac5a-6f3a39a666fb,112d608a-60c8-4bf7-ac9d-081653431064,3a6f948e-3463-43d8-8808-3aa0fed9b462
,62e300ae-96e1-4df4-a9a0-6257fa7da352,,b426a8fc-bf7b-40da-a6e8-9b7c1e9f5b61,,
