Mineral_Name,cations_theoretical
Delindeite,Ti^4+^;Ba;Na
Bussenite,Fe^2+^;Na;[box];Ba;Ti^4+^
Bobshannonite,K;Ba;Na;Mn^2+^;Nb^5+^;Ti^4+^
Jinshajiangite,Ba;Fe^2+^;Na;Ti^4+^
Perraultite,Ba;Mn^2+^;Na;Ti^4+^
Chevkinite-(Ce),Ce^3+^;La;Ca;Th^4+^;Fe^2+^;Mg;Ti^4+^;Fe^3+^
Christofschäferite-(Ce),Ce^3+^;La;Ca;Mn^2+^;Ti^4+^;Fe^3+^;Fe^2+^;Ti^2+^
Delhuyarite-(Ce),Ce^3+^;Mg;Fe^3+^;W^6+^;[box]
Dingdaohengite-(Ce),Ce^3+^;La;Ti^4+^;Fe^2+^;Mg;Fe^3+^
Hezuolinite,Sr;Ce^3+^;Ti^4+^;Fe^3+^;Zr
Karnasurtite-(Ce),Al;Fe^3+^;Ce^3+^;La;Th^4+^;Ti^4+^;Nb^5+^
Maoniupingite-(Ce),Ce^3+^;Ca;Fe^3+^;Ti^4+^;Fe^2+^;[box];Nb^5+^
Matsubaraite,Sr;Ti^4+^
Perrierite-(Ce),Ce^3+^;Fe^3+^;Mg;Ti^4+^
Perrierite-(La),Fe^2+^;Mn^2+^;Mg;La;Ce^3+^;Ca;Ti^4+^;Fe^3+^
Polyakovite-(Ce),Ce^3+^;Ca;Cr^3+^;Fe^3+^;Mg;Fe^2+^;Ti^4+^;Nb^5+^
Rengeite,Sr;Ti^4+^;Zr
Strontiochevkinite,Sr;Ce^3+^;La;Ca;Ti^4+^;Zr;Fe^2+^
UKI-2008-(SiO:SrTiZr),Sr;Zr;Ti^4+^
Chevkinite-(Nd),Nd;REE;Fe^2+^;Mg;Ti^4+^;Fe^3+^
Orthochevkinite,Ce^3+^;La;Ca;Na;Th^4+^;Fe^2+^;Mg;Ti^4+^;Fe^3+^
Perrierite-(Nd),Nd;Mg;Fe^3+^;Ti^4+^
Ferchevkinite,
Niobochevkinite,Ce^3+^;La;Ca;Th^4+^;Fe^2+^;Ti^4+^;Fe^3+^;Nb^5+^
Sc-Perrierite,Ce^3+^;Fe^3+^;Sc;Mg;Ti^4+^
Strontium Perrierite,Ce^3+^;Sr;La;Ca;Fe^2+^;Ti^4+^;Zr;Fe^3+^
Fersmanite,Na;Ca;Ti^4+^;Nb^5+^
Belkovite,Ba;Nb^5+^;Ti^4+^
Nasonite,Ca;Pb^2+^
Kentrolite,Mn^3+^;Pb^2+^
Melanotekite,Fe^3+^;Pb^2+^
Tilleyite,Ca
Killalaite,Ca
Stavelotite-(La),La;Nd;Ca;Mn^3+^;Fe^3+^;Mn^4+^;Cu^2+^;Mn^2+^
Alexkuznetsovite-(La),La;Mn^2+^
Biraite-(Ce),Ce^3+^;Fe^2+^
Alexkuznetsovite-(Ce),Ce^3+^;Mn^2+^
Cervandonite-(Ce),Ce^3+^;Nd;La;Fe^3+^;Ti^4+^;Fe^2+^;Al
Batisivite,Ba;Ti^4+^;V^3+^
Magnesiorowlandite-(Y),Y;Mg;Fe^2+^
Rowlandite-(Y),Y;Ce^3+^;Fe^2+^
Chirvinskyite,Na;Ca;Fe^2+^;Mn^2+^;[box];Ti^4+^;Zr
Rusinovite,Ca
Schlüterite-(Y),Y;REE;Al
Harstigite,Mn^2+^;Mg;Ca;Be
Samfowlerite,Be;Ca;Mn^2+^;Zn
Davreuxite,Mn^2+^;Al
Queitite,Pb^2+^;Zn
Ca-bearing Queitite,Pb^2+^;Ca;Zn
Dissakisite-(La),Mg;La;Ca;Al
Dollaseite-(Ce),Mg;Ce^3+^;Ca;Al
Epidote-(Sr),Fe^3+^;Sr;Ca;Al
Ferriandrosite-(La),Al;La;Mn^2+^;Fe^3+^
Hancockite,Ca;Pb^2+^;Al;Fe^3+^
Khristovite-(Ce),Al;Ca;Ce^3+^;Mg;Mn^2+^
Manganiandrosite-(Ce),Al;Ce^3+^;Mn^2+^;Mn^3+^
Mukhinite,Al;Ca;V^3+^
Niigataite,Ca;Sr;Al
Piemontite,Al;Ca;Mn^3+^
Piemontite-(Pb),Al;Ca;Mn^3+^;Pb^2+^
Piemontite-(Sr),Al;Ca;Mn^3+^;Sr
Tweddillite,Ca;Sr;Mn^3+^;Al
Uedaite-(Ce),Al;Ce^3+^;Fe^2+^;Mn^2+^
Vanadoandrosite-(Ce),Al;Ce^3+^;Mn^2+^;V^3+^
Androsite-(Ce),Mn^2+^;REE;Al
Ferriandrosite-(Ce),Mn^2+^;REE;Fe^3+^;Al
Strontian Piemontite,Al;Ca;Sr;Mn^3+^
Clinozoisite,Ca;Al
Epidote,Fe^3+^;Ca;Al
Unnamed (Ga-dominant member of the epidote group),Ga;Fe^3+^;Ca;Al
Allanite-Epidote,Fe^3+^;Ca;REE;Y;Al
Beryllian Epidote,Fe^3+^;Ca;Al
Chrome-Clinozoisite,Ca;Al;Cr^3+^
Chrome-Pistazite,Fe^3+^;Ca;Al;Cr^3+^
Tawmawite,Ca;Al;Fe^3+^;Cr^3+^
Withamite,Fe^3+^;Mn^3+^;Ca;Al
Yttroepidote,Fe^3+^;Ca;Y;Al
Clinothulite,Ca;Al;Mn^3+^
Epidote-(Ga),Fe^3+^;Ga;Ca;Al
Allanite-(Ce),Al;Ca;Ce^3+^;Fe^2+^
Allanite-(La),Al;Ca;Fe^2+^;La
Allanite-(Nd),Al;Ca;Fe^2+^;Nd
Allanite-(Y),Al;Ca;Fe^2+^;Y
Åskagenite-(Nd),Al;Fe^3+^;Mn^2+^;Nd
Dissakisite-(Ce),Mg;Ce^3+^;Ca;Al
Ferriakasakaite-(Ce),Ca;Ce^3+^;Fe^3+^;Al;Mn^2+^
Ferriakasakaite-(La),Ca;La;Fe^3+^;Al;Mn^2+^
Ferriallanite-(Ce),Fe^3+^;Fe^2+^;Ce^3+^;Ca;Al
Ferriallanite-(La),La;Fe^3+^;Fe^2+^;Ca;Al
Manganiakasakaite-(La),Ca;La;Mn^3+^;Al;Mn^2+^
Manganiandrosite-(La),Al;La;Mn^2+^;Mn^3+^
Vanadoallanite-(La),Ca;La;V^3+^;Al;Fe^2+^
UM1989-32-SiO:AlCaFeHREE,Ca;[box];Ce^3+^;La;Nd;Fe^3+^;Al
Unnamed (Ce- and Mn-analogue of Ferriakasakaite-(La)),Ca;Ce^3+^;Mn^3+^;Al;Mn^2+^
Unnamed (Mg-analogue of Ferriallanite-(Ce)),Ca;Ce^3+^;Fe^3+^;Al;Mg
Chromian Allanite-(Ce),Al;Cr^3+^;Ca;Ce^3+^;Fe^2+^
Xanthorthite,
Zoisite,Al;Ca
Chrome-Zoisite,Al;Cr^3+^;Ca
Thulite,Al;Mn^3+^;Ca
Macfallite,Ca;Mn^3+^
Sursassite,Al;Mn^2+^
Julgoldite-(Fe2+),Ca;Fe^2+^;Fe^3+^
Julgoldite-(Fe3+),Ca;Fe^3+^
Julgoldite-(Mg),Ca;Fe^3+^;Mg
Okhotskite,Ca;Mn^2+^;Mn^3+^
Poppiite,Ca;V^3+^
Pumpellyite-(Al),Al;Ca
Pumpellyite-(Fe2+),Al;Ca;Fe^2+^
Pumpellyite-(Fe3+),Fe^3+^;Al;Ca
Pumpellyite-(Mg),Al;Ca;Mg
Pumpellyite-(Mn2+),Al;Ca;Mn^2+^
Shuiskite-(Mg),Ca;Cr^3+^;Mg
Shuiskite-(Cr),Ca;Cr^3+^
Ganomalite,Pb^2+^;Mn^2+^;Ca
Wayneburnhamite,Pb^2+^;;Ca
Rustumite,Ca
Alumovesuvianite,Ca;Al;Mg;[box]
Cyprine,Ca;Cu^2+^;Al;Mg;[box]
Fluorvesuvianite,Fe^3+^;Al;Mg;[box];Ca
Hongheite,Ca;Fe^2+^;Al;Fe^3+^;Mg;[box];B
Magnesiovesuvianite,Ca;Al;Mg;[box]
Manaevite-(Ce),Ca;Ce^3+^;Al;Mg;Ti^4+^;Fe^3+^;[box]
Manganvesuvianite,Al;Ca;Mn^3+^;Mg;[box]
Milanriederite,Ca;REE;Fe^3+^;Al;Mg;[box]
Vesuvianite,Ca;Fe^3+^;Al;Mg;[box]
Wiluite,Ca;Mg;Al;B;[box]
Beryllium vesuvianite,Ca;Fe^3+^;Al;Mg;[box]
Cerian Vesuvianite,Ca;Ce^3+^;Fe^3+^;Al;Mg;[box]
Chrome-Vesuvianite,Ca;Fe^3+^;Al;Cr^3+^;Mg;[box]
Duparcite,Ca;Na;[box];Al;Mg;Fe^3+^;B
Frugardite,Ca;Na;[box];Al;Mg;Fe^3+^;B
High-Hydrated Si-Deficient Vesuvianite,Ca;Al;Mg;Fe^3+^;Mn^3+^;B
Manganoan Vesuvianite,Ca;Fe^3+^;Al;Mg;Mn^2+^;[box]
Xanthite,Ca;Mn^2+^;Fe^3+^;Al;Mg;[box]
Vyuntspakhkite-(Y),Y;Yb;Al
Dellaite,Ca
Alnaperbøeite-(Ce),Ca;Ce^3+^;Na;Al
Ferriperbøeite-(Ce),Ca;Ce^3+^;Fe^3+^;Al;Fe^2+^
Ferriperbøeite-(La),Ca;La;Fe^3+^;Al;Fe^2+^
Gatelite-(Ce),Ca;Ce^3+^;Al;Mg;Fe^2+^
Perbøeite-(Ce),Ca;Ce^3+^;Al;Fe^2+^
Perbøeite-(La),Ca;La;Al;Fe^2+^
Västmanlandite-(Ce),Ca;Ce^3+^;Mg;Al
Radekškodaite-(Ce),Ca;Ce^3+^;Al;Fe^2+^
Radekškodaite-(La),Ca;La;Al;Fe^2+^
Aminoffite,Be;Ca
Kinoite,Ca;Cu^2+^
Akatoreite,Mn^2+^;Al
Bunnoite,Mn^2+^;Al
Fencooperite,Fe^3+^;Ba
Orientite,Ca;Mn^3+^
Rosenhahnite,Ca
Trabzonite,Ca
Thalénite-(Y),Y
Tiragalloite,Mn^2+^
Arsenmedaite,Mn^2+^
Medaite,Mn^2+^
Ruizite,Ca;Mn^3+^
Strontioruizite,Sr;Mn^3+^
Taniajacoite,Sr;Ca;Mn^3+^
Alpeite,Ca;Mn^3+^;Al;Mg
Ardennite-(As),Mn^2+^;Al;Mg
Ardennite-(V),Mn^2+^;Al;Mg
Kannanite,Ca;Al;Mg
Kilchoanite,Ca
Kornerupine,Mg;Fe^2+^;Al
Prismatine,Mg;Al;Fe^2+^;Fe^3+^
Zunyite,Al
Dillnite,Al
Hubeite,Mn^2+^;Fe^3+^;Ca
Cassagnaite,Ca;Mn^2+^;Fe^3+^;Mn^3+^;Al;V^3+^;Mg
Pavlovskyite,Ca
Khurayyimite,Ca;Zn
Bazirite,Ba;Zr
Benitoite,Ba;Ti^4+^
Pabstite,Sn^4+^;Ti^4+^;Ba
Wadeite,K;Zr
Calciocatapleiite,Ca;Zr
Catapleiite,Na;Zr
Pseudowollastonite,Ca
Breyite,Ca
Margarosanite,Ca;Mn^2+^;Pb^2+^
Walstromite,Ba;Ca
Bobtraillite,Na;Ca;Zr;Y;Nb^5+^;Sr
Rogermitchellite,Na;Sr;Ba;Zr
Roeblingite,Ca;Mn^2+^;Pb^2+^
Diversilite-(Ce),Ba;K;Ti^4+^;Fe^2+^;Ce^3+^;Na
Ilímaussite-(Ce),Na;K;Ba;Ce^3+^;Nb^5+^;Ti^4+^
Moskvinite-(Y),K;Na;Y
Papagoite,Ca;Cu^2+^;Al
Verplanckite,Ba;Mn^2+^
Baotite,Ti^4+^;Nb^5+^;W^6+^;Ba
Nagashimalite,V^3+^;Ti^4+^;Ba
Taramellite,Fe^3+^;Ti^4+^;Fe^2+^;Mg;Ba
Titantaramellite,Ti^4+^;Fe^3+^;Fe^2+^;Mg;Ba
Bario-orthojoaquinite,Ba;Sr;Fe^2+^;Ti^4+^
Byelorussite-(Ce),Ba;Ce^3+^;Mn^2+^;Na;Ti^4+^
Joaquinite-(Ce),Ba;Ce^3+^;Fe^2+^;Na;Ti^4+^
Orthojoaquinite-(Ce),Ba;Ce^3+^;Fe^2+^;Na;Ti^4+^
Orthojoaquinite-(La),Ba;Fe^2+^;La;Na;Ti^4+^
Strontio-orthojoaquinite,Na;Fe^3+^;Ba;Sr;Ti^4+^
Strontiojoaquinite,Na;Fe^2+^;Ba;Sr;Ti^4+^
Dutkevichite-(Ce),Na;Zn;Ba;Ce^3+^;Ti^4+^
Korobitsynite,Na;[box];Ti^4+^;Nb^5+^
Nenadkevichite,Na;[box];Nb^5+^
Unnamed (Ca-Na-ordered analogue of Korobitsynite),Ca;Na;Ti^4+^;Nb^5+^
Paratsepinite-Ba,Ba;Na;K;Ti^4+^;Nb^5+^
Paratsepinite-Na,Na;Sr;K;Ca;Ti^4+^;Nb^5+^
Tsepinite-Ca,Ca;Ti^4+^;Nb^5+^
Tsepinite-K,K;Ti^4+^;Nb^5+^
Tsepinite-Na,Na;Ti^4+^;Nb^5+^
Tsepinite-Sr,Sr;Ti^4+^;Nb^5+^
Vuoriyarvite-K,Nb^5+^;Ti^4+^;K
Burovaite-Ca,Na;K;Ti^4+^;Nb^5+^;Ca
Gjerdingenite-Ca,Nb^5+^;Ti^4+^;Ca;K
Gjerdingenite-Fe,Nb^5+^;Ti^4+^;Fe^2+^;K
Gjerdingenite-Mn,Nb^5+^;Ti^4+^;Mn^2+^;K
Gjerdingenite-Na,K;Na;Nb^5+^;Ti^4+^
Karupmøllerite-Ca,Na;Ca;K;Nb^5+^;Ti^4+^
Kuzmenkoite-Mn,Ti^4+^;Nb^5+^;K;Mn^2+^
Kuzmenkoite-Zn,Ti^4+^;Nb^5+^;K;Zn
Lepkhenelmite-Zn,Ba;K;Ti^4+^;Nb^5+^;Zn
Lemmleinite-Ba,Ti^4+^;Nb^5+^;Ba;K;Na
Lemmleinite-K,Ti^4+^;Nb^5+^;K
Labuntsovite-Fe,Ba;K;Ti^4+^;Nb^5+^;Fe^2+^;Na
Labuntsovite-Mg,Ba;K;Ti^4+^;Nb^5+^;Mg;Na
Labuntsovite-Mn,Ba;K;Ti^4+^;Nb^5+^;Mn^2+^;Na
Paralabuntsovite-Mg,Na;K;Mg;Ti^4+^
Organovaite-Mn,Nb^5+^;Ti^4+^;K;Mn^2+^
Organovaite-Zn,Nb^5+^;Ti^4+^;K;Zn
Parakuzmenkoite-Fe,K;Ba;Ti^4+^;Nb^5+^;Fe^2+^
Alsakharovite-Zn,Ti^4+^;Nb^5+^;K;Na;Sr;Zn
Gutkovaite-Mn,Ti^4+^;Nb^5+^;Mn^2+^;Ca;K
Neskevaaraite-Fe,Ti^4+^;Nb^5+^;Fe^2+^;K;Na
Komarovite,Ca;Sr;Na;Nb^5+^;Ti^4+^
Natrokomarovite,Na;Ca;H;Nb^5+^
Colinowensite,Ba;Cu^2+^
Ashburtonite,Cu^2+^;Pb^2+^
Kainosite-(Y),Y;Ce^3+^;Ca
Clinophosinaite,Ca;Sr;Na
Phosinaite-(Ce),Na;Ca;Ce^3+^
Strakhovite,Mn^2+^;Mn^3+^;Ba;Na
Cerchiaraite-(Al),Al;Ba
Cerchiaraite-(Fe),Ba;Fe^3+^
Cerchiaraite-(Mn),Ba;Mn^3+^
Bobmeyerite,Pb^2+^;Al;Cu^2+^
Eakerite,Sn^4+^;Ca;Al
Hyalotekite,Ba;Pb^2+^;K;Ca;Y
Itsiite,Ba;Ca
Kapitsaite-(Y),Ba;K;Pb^2+^;Y;Ca
Khvorovite,Pb^2+^;Ba;K;Ca
Arapovite,K;Ca;Na;U^4+^
Iraqite-(La),La;Ce^3+^;Th^4+^;Ca;K
Steacyite,Na;Ca;K;Th^4+^
Turkestanite,Ca;Na;K;[box];Th^4+^
Avdeevite,Na;Cs;Be;Li;Al
Bazzite,Sc;Be
Beryl,Be;Al
Ferroindialite,Fe^2+^;Mg;Al
Indialite,Al;Mg
Johnkoivulaite,Cs;Be;B;Mg
Stoppaniite,Be;Fe^3+^
Alkali-beryl,Be;Li;Na;Cs;K;Al
Pachea,Be;Al;Cr^3+^
Vorobyevite,Be;Cs;Al
Cordierite,Mg;Fe^2+^;Al
Sekaninaite,Fe^2+^;Mg;Al
Combeite,Na;Ca
Kapustinite,Na;Zr
Kazakovite,Mn^2+^;Na;Ti^4+^
Litvinskite,Na;Zr
Lovozerite,Na;Ca;Zr
Tisinalite,Mn^2+^;Na;Ti^4+^
Townendite,Na;Zr
Zirsinalite,Ca;Mn^2+^;Fe^2+^;Na;Zr
Imandrite,Ca;Fe^3+^;Na
Koashvite,Na;Ca;Ti^4+^
Aleksandrovite,Ca;K;Li;Sn^4+^
Baratovite,Ti^4+^;Zr;Ca;K;Li
Katayamalite,Ca;K;Li;Ti^4+^
Dioptase,Cu^2+^
Kostylevite,K;Zr
Petarasite,Na;Zr
Gerenite-(Y),Ca;Na;Y;REE
Odintsovite,Be;Ca;K;Na;Ti^4+^
Mathewrogersite,Al;Fe^2+^;Ge;Pb^2+^
Pezzottaite,Be;Cs;Li;Al
Adachiite,Ca;Fe^3+^;Al
Bosiite,Al;Fe^3+^;Mg;Na
Celleriite,[box];Mn^2+^;Al
Chromium-dravite,Cr^3+^;Na;Mg
Chromo-alumino-povondraite,Cr^3+^;Na;Mg;Al
Darrellhenryite,Na;Li;Al
Dravite,Na;Mg;Al
Dutrowite,Al;Fe^2+^;Ti^4+^;Na
Elbaite,Na;Al;Li
Feruvite,Fe^2+^;Ca;Mg;Al
Fluor-buergerite,Na;Fe^3+^;Al
Fluor-dravite,Na;Mg;Al
Fluor-elbaite,Na;Al;Li
Fluor-liddicoatite,Ca;Al;Li
Fluor-schorl,Fe^2+^;Na;Al
Fluor-tsilaisite,Mn^2+^;Na;Al
Fluor-uvite,Mg;Ca;Al
Foitite,Al;Fe^2+^
Lucchesiite,Ca;Fe^2+^;Al
Luinaite-(OH),Al;Fe^2+^;Na
Magnesio-foitite,Al;Mg
Magnesio-lucchesiite,Mg;Ca;Al
Maruyamaite,Mg;K;Al
Olenite,Al;Na
Oxy-chromium-dravite,Cr^3+^;Mg;Na
Oxy-dravite,Al;Mg;Na
Oxy-foitite,[box];Fe^2+^;Al
Oxy-schorl,Al;Fe^2+^;Na
Oxy-vanadium-dravite,Na;V^3+^;Mg
Povondraite,Na;Fe^3+^;Mg
Rossmanite,Al;Li
Schorl,Al;Fe^2+^;Na
Tsilaisite,Al;Mn^2+^;Na
Vanadio-oxy-chromium-dravite,Cr^3+^;Mg;Na;V^3+^
Vanadio-oxy-dravite,Al;Mg;Na;V^3+^
Uvite,Ca;Mg;Al
Oxy-uvite,Ca;Mg;Al
UM2000-64-SiO:BFeHKMg,
Unnamed (Pb-dominant Tourmaline),Pb^2+^;Na;Li;Al
Fluor-feruvite,Ca;Fe^2+^;Mg;Al
Hydroxyuvite,Ca;Mg;Al
Oxy-rossmanite,Al;Li
Chrome-Tourmaline,
Cuprian Elbaite,Na;Al;Li;Cu^2+^
Fe-bearing Olenite,Al;Fe^3+^;Na
Lime-Dravite,Ca;Mg;Al
Lithian excess-boron olenite,Al;Na;Li
Magnesian Schorl,Al;Fe^2+^;Mg;Na
Mn-Tourmaline,
Nickeloan Tourmaline,
Soda-Dravite,Na;Mg;Al
Vanadium Tourmaline,
Chromian Elbaite,Na;Al;Li;Cr^3+^
Rubellite,
Abenakiite-(Ce),Ce^3+^;Na
Scawtite,Ca
Steenstrupine-(Ce),Fe^3+^;Mn^3+^;Zr;Th^4+^;Ce^3+^;Mn^2+^;Na
Thorosteenstrupine,Na;Ca;Th^4+^;REE;Mn^?+^;Fe^?+^;Al;Ti^4+^
Tienshanite,Na;K;[box];Ti^4+^;Nb^5+^;Ba;Ca;Mn^2+^;B
Agakhanovite-(Y),Y;Ca;[box];K;Be
Almarudite,[box];Na;Mn^2+^;Fe^2+^;Mg;K;Be
Aluminosugilite,K;Na;Al;Li
Armenite,Ba;Ca
Berezanskite,Ti^4+^;Zr;Sn^4+^;K;Li
Brannockite,K;Na;Sn^4+^;Zr;Ti^4+^;Li
Chayesite,K;Mg;Fe^3+^
Darapiosite,K;Na;Mn^2+^;Li;Zn
Dusmatovite,Mn^2+^;K;Zn;Li
Eifelite,Na;K;Mg
Friedrichbeckeite,K;[box];Na;Mg;Be
Klöchite,[box];Na;K;Fe^2+^;Fe^3+^;Zn
Laurentthomasite,Mg;K;Be;Al
Merrihueite,Fe^2+^;Mg;K;Na
Milarite,Ca;K;Be;Al
Oftedalite,Be;Al;Sc;Ca;Mn^2+^;K
Osumilite,Al;Fe^3+^;Fe^2+^;Mg;K;Na
Osumilite-(Mg),K;Mg;Al
Poudretteite,K;Na;B
Roedderite,Mg;Fe^2+^;Na;K
Shibkovite,[box];K;Na;Ca;Zn
Sogdianite,K;Zr;Li
Sugilite,K;Na;Fe^3+^;Li
Trattnerite,Fe^3+^;Mg;Fe^2+^
Yagiite,Al;Mg;Na;K
UM1990-73-SiO:KMnNaZn,K;Na;Zn;Mn^2+^
Faizievite,Ti^4+^;Na;Li;K;Ca
Muirite,Ba;Ca;Mn^2+^;Ti^4+^
Alluaivite,Ca;Mn^2+^;Ti^4+^;Nb^5+^;Na
Andrianovite,K;Sr;Ce^3+^;Ca;Mn^2+^;Na;Nb^5+^;Zr
Aqualite,H_3_O;Na;K;Sr;Ca;Zr
Carbokentbrooksite,Na;[box];Ce^3+^;Ca;Mn^2+^;Nb^5+^;Zr
Davinciite,Na;K;Ca;Fe^2+^;Zr
Dualite,Ca;Na;Ce^3+^;Sr;Mn^2+^;Fe^2+^;Ti^4+^;Zr
Eudialyte,Fe^2+^;Mn^2+^;Zr;Na;Ca
Feklichevite,Fe^3+^;Fe^2+^;Zr;Nb^5+^;Na;Ca
Fengchengite,Na;[box];Ca;Fe^3+^;Zr
Ferrokentbrooksite,Fe^2+^;Mn^2+^;Zr;Nb^5+^;Na;Ca
Georgbarsanovite,Mn^2+^;Sr;REE;Zr;Nb^5+^;Fe^2+^;Na;Ca
Golyshevite,Zr;Nb^5+^;Fe^2+^;Na;Ca
Ikranite,Ca;Mn^2+^;Ce^3+^;Na;H_3_O;Fe^3+^;Zr
Ilyukhinite,H_3_O;Na;Ca;Mn^2+^;Zr
Johnsenite-(Ce),Ca;Ce^3+^;Mn^2+^;Na;W^6+^;Zr
Kentbrooksite,Ca;La;Mn^2+^;Fe^2+^;Na;Nb^5+^;Zr
Khomyakovite,Ca;Fe^2+^;Na;Sr;W^6+^;Zr
Labyrinthite,Na;K;Sr;Ca;Fe^2+^;Ti^4+^;Zr
Manganoeudialyte,Ca;Mn^2+^;Na;Zr
Manganokhomyakovite,Ca;Mn^2+^;Na;Sr;W^6+^;Zr
Mogovidite,Ca;Na;Fe^3+^;Fe^2+^;Zr
Oneillite,Ca;Fe^2+^;Mn^2+^;Na;Nb^5+^;Zr
Raslakite,Na;Zr;Nb^3+^;Ca;Fe^2+^
Rastsvetaevite,Ca;Fe^2+^;K;Na;Zr
Sergevanite,Na;Ca;Mn^2+^;Fe^2+^;Zr
Siudaite,Na;Mn^2+^;Ca;Fe^3+^;Zr;Nb^5+^;[box];Ti^4+^
Taseqite,Ca;Fe^2+^;Na;Nb^5+^;Sr;Zr
Voronkovite,Mn^2+^;Ca;Na;Ce^3+^;Fe^2+^;Zr
Zirsilite-(Ce),Ce^3+^;Na;[box];Ca;Mn^2+^;Nb^5+^;Zr
UM1971-22-SiO:CaClFeHMgMnNaNbZr,Na;Ca;Ce^3+^;La;Y;Zr;Nb^5+^;Fe^2+^;Mn^2+^
UM1990-78-SiO:CaClFeHKNaZr,H_3_O;Na;K;Ca;Sr;Mn^2+^;Zr;Fe^2+^;Ti^4+^;Al;Nb^5+^;[box]
UM1990-79-SiO:CaClFeHMnNaNbREEZr,Na;Ca;Mg;Mn^2+^;Zr;Nb^5+^;Al;Fe^2+^;Ce^3+^;La;Y;K;Sr
UM1990-80-SiO:CaFeHMnNaNbREEZr,Na;Ca;Mn^2+^;Zr;Nb^5+^;Al;Fe^?+^;Mn^?+^;Ti^4+^;Ce^3+^;La;Y;K;Sr
UM1998-21-SiO:CaCeClHMnNaZr,Na;Ca;Mn^3+^;Ce^3+^;Zr
UM1999-36-SiO:CaCeHMnNaNbSrZr,Na;Ca;Ce^3+^;Sr;Mn^2+^;Zr;Nb^5+^
UM2000-66-SiO:CaClFeHMnNaNbSrZr,Na;Ca;Mn^2+^;Sr;K;Fe^2+^;Zr;Nb^4+^
UM2003-39-SiO:CaClFeHHfNaNbSrTaTiZr,Na;K;Mn^2+^;Sr;Ca;Zr;Hf;Fe^?+^;[box];Ta;Nb^5+^;W^6+^;Al;Ti^4+^
UM2004-51-SiO:CaClFFeHNaNbTi,Na;Ca;Fe^?+^;Mn^?+^;Zr;Ti^4+^;Nb^5+^
UM2006-17-SiO:CaClFFeHMnNaZr,Na;Ca;Mn^?+^;Zr;Fe^?+^
UM2006-18-SiO:CaClFFeHMnNaZr,Na;Ca;Mn^?+^;Fe^?+^;Zr;Nb^5+^;Ti^4+^;S
UM2006-28-SiO:CaHMnNaZr,Na;Ca;Zr;Mn^?+^;Nb^5+^;Ti^4+^
UM2010-06-SiO:CaFeHMnNaNbREETiZr,Na;H_3_O;Ca;Mn^?+^;Zr;Ti^4+^
Unnamed (Eudialyte 3248),Na;Ca;Zr;Mn^?+^;Nb^5+^;Ti^4+^
Unnamed (Hydrated Hydrous Na-Ca-Mn-Fe-Zr-Ti Silicate Chloride),Na;Ca;Mn^?+^;Fe^?+^;Zr;Ti^4+^;Nb^5+^
Hydrorastsvetaevite,Na;H_3_O;K;Sr;Ca;Fe^2+^;Mn^2+^;Zr
Traskite,Fe^2+^;Mn^2+^;Ti^4+^;Mg;Ba;Ca
Megacyclite,K;Na
Laurentianite,K;Nb^5+^
Yegorovite,Na
Donpeacorite,Mn^2+^;Mg
Enstatite,Mg
Ferrosilite,Fe^2+^
Protoenstatite,Mg
Bronzite,Mg;Fe^2+^
Lime-Bronzite,Mg;Ca
Vanadinbronzite,Mg;V^3+^
Chrome-Enstatite,Mg;Cr^3+^
Clinoenstatite,Mg
Clinoferrosilite,Fe^2+^
Kanoite,Mn^2+^;Mg
Pigeonite,Mg;Fe^2+^;Ca
Clinohypersthene,Mg;Fe^2+^
Magnesian clinoferrosilite,Fe^2+^;Mg
Augite,Ca;Mg;Fe^2+^;Fe^3+^
Davisite,Sc;Ca
Diopside,Ca;Mg
Esseneite,Ca;Fe^3+^
Grossmanite,Ca;Ti^3+^
Hedenbergite,Ca;Fe^2+^
Johannsenite,Ca;Mn^2+^
Kushiroite,Ca;Al
Petedunnite,Ca;Zn;Mn^2+^;Mg;Fe^2+^
Halagurite,Fe^2+^;Mn^2+^;Mg
Al-pyroxene,Ca;Mg;Fe^2+^;Fe^3+^
Baikalite,Ca;Mg;Fe^2+^
Fassaite,Ca;Na;Mg;Fe^2+^;Al;Fe^3+^;Ti^4+^
Fedorovite,Ca;Na;Mg;Fe^3+^
Ferridiopside,Ca;Mg;Fe^2+^
Hedenbergite-Hypersthene,Ca;Fe^2+^;Mg
Jeffersonite,Mn^2+^;Zn;Fe^2+^;Ca
Korea-Augite,Ca;Mg;Fe^2+^;Fe^3+^;Na
Manganoan Hedenbergite,Ca;Fe^2+^;Mn^2+^
Salite,Ca;Mg;Fe^2+^
Soda-Augite,Ca;Mg;Fe^2+^;Fe^3+^;Na
Titanian Augite,Ca;Na;Mg;Ti^4+^;Fe^2+^;Fe^3+^;Al
Urbanite,Ca;Mg;Fe^2+^;Fe^3+^
Zinc-Schefferite,Ca;Mg;Mn^2+^;Zn
Asteroite,Ca;Na;Mg;Fe^2+^;Al;Fe^3+^;Ti^4+^
Chromian Diopside,Ca;Mg;Cr^3+^
Lavrovite,Ca;Mg;V^3+^
Schefferite,Ca;Mn^2+^;Mg;Fe^2+^
Aegirine-augite,Na;Ca;Fe^3+^;Fe^2+^;Mg;Al
Omphacite,Ca;Na;Mg;Al
