Mineral_Name,cations_theoretical
Parkerite,Bi;Pb;Ni
Schlemaite,Cu;[box];Pb;Bi
Pašavaite,Pb;Pd
Covellite,Cu
Argentian Covellite,Cu;Ag
Selenian Covellite,Cu
Klockmannite,Cu
Spionkopite,Cu
Yarrowite,Cu
Nukundamite,Cu;Fe
Calvertite,Cu;Ge
Erazoite,Cu;Sn
Grokhovskyite,Cu;Cr
UM1998-15-S:CuFeZn,Cu;Fe;Zn
Coloradoite,Hg
Hawleyite,Cd
Ishiharaite,Cu;Ga;Fe;In;Zn
Metacinnabar,Hg
Rudashevskyite,Fe;Zn
Sphalerite,Zn
Stilleite,Zn
Tiemannite,Hg
Guadalcazarite,Hg;Zn
Kittlite,Hg
Leviglianite,Hg;Zn
Mercurian Sphalerite,Zn;Hg
Przibramite (of Huot),Zn;Cd
Saukovite,Hg;Cd
Selenian Metacinnabar,Hg
Marmatite,Zn;Fe
Sakuraiite,Cu;Zn;Fe;In;Sn
Polhemusite,Zn;Hg
Chalcopyrite,Cu;Fe
Eskebornite,Fe;Cu
Gallite,Ga;Cu
Laforêtite,Ag;In
Lenaite,Ag;Fe
Roquesite,Cu;In
Shenzhuangite,Ni;Fe
Unnamed (Cu-Mn-Sn Sulfide),Cu;Mn;Sn
Auriferous Chalcopyrite,Cu;Au;Fe
Stannian Chalcopyrite,Cu;Fe;Sn
Haycockite,Fe;Cu
Mooihoekite,Cu;Fe
Putoranite,Cu;Fe
Talnakhite,Fe;Ni;Cu
Černýite,Cd;Cu;Sn
Ferrokësterite,Fe;Cu;Sn
Hocartite,Fe;Ag;Sn
Idaite,Cu;Fe
Kësterite,Cu;Zn;Sn
Kuramite,Cu;Sn
Pirquitasite,Ag;Zn;Sn
Stannite,Cu;Fe;Sn
Velikite,Cu;Hg;Sn
UM1984-30-S:CuFeSn,Cu;Fe;Sn
Unnamed (Cu-Zn-In Sulphide),Cu;Zn;In
Richardsite,Zn;Cu;Ga
Zincian Stannite,Cu;Fe;Zn;Sn
Mohite,Cu;Sn
Omariniite,Cu;Fe;Zn;Ge
Stannoidite,Fe;Zn;Cu;Sn
UM2006-11-S:CuFeGeZn,Cu;Fe;Zn;Ge
Chatkalite,Cu;Fe;Sn
Mawsonite,Cu;Fe;Sn
Colusite,Cu;As;V
Germanite,Ge;Fe;Cu
Germanocolusite,Ge;Cu;V
Maikainite,Cu;Fe;Ge;Mo
Nekrasovite,Sn;As;Sb;Cu;V
Ovamboite,Fe;Cu;Zn;Ge;W
Stibiocolusite,Sb;Sn;As;Cu;V
Lazarevicite,Cu;As
Hemusite,Sn;Mo;Cu
Kiddcreekite,Cu;Sn;W
Morozeviczite,Ge;Pb;Fe
Polkovicite,Fe;Pb;Ge
Renierite,Cu;Zn;Fe;Ge;As
Vinciennite,As;Sb;Cu;Fe;Sn
Arsenian Renierite,Cu;Zn;Fe;Ge;As
Catamarcaite,Cu;Ge;W
Lautite,Cu;As
Buseckite,Fe;Zn;Mn
Cadmoselite,Cd
Greenockite,Cd
Rambergite,Mn
Wurtzite,Zn;Fe
Cuprian Cadmoselite,Cd;Cu
Mercurian Cadmoselite,Cd;Hg
Zincian Greenockite,Cd;Zn
Cubanite,Fe;Cu
Isocubanite,Cu;Fe
Picotpaulite,Fe;Tl
Raguinite,Fe;Tl
Argentopyrite,Ag;Fe
Sternbergite,Ag;Fe
Argyropyrite,Ag;Fe
Frieseite,Ag;Fe
Sulvanite,Cu;V
Ge-Sn-Sulvanite,Cu;V;Ge;Sn
Vulcanite,Cu
Empressite,Ag
Muthmannite,Ag;Au
Lingbaoite,Ag
Maletoyvayamite,Au
Murchisite,Cr
Wassonite,Ti
Zincselenide,Zn
Browneite,Mn
Dzhezkazganite,Re;Mo;Cu;Pb
Agmantinite,Ag;Mn;Sn
Achávalite,Fe;Cu
Breithauptite,Ni
Freboldite,Co
Jaipurite,Co
Kotulskite,Pd;Bi
Langisite,Co;Ni
Nickeline,Ni
Sederholmite,Ni
Sobolevskite,Pd;Bi
Stumpflite,Pt
Sudburyite,Pd;Ni
Zlatogorite,Cu;Ni
Arite,Ni
Pyrrhotite,Fe
Smythite,Fe;Ni
Troilite,Fe
Cobaltoan Pyrrhotite,Fe;Co
Nickeloan Pyrrhotite,Fe;Ni
Cherepanovite,Rh
Minakawaite,Rh
Modderite,Co;Fe
Ruthenarsenite,Ru;Ni
Westerveldite,Fe;Ni;Co
Antimonian Westerveldite,Fe;Ni;Co
Mäkinenite,Ni
Millerite,Ni
UM1990-38-S:CuFeIrNiPtRh,Ni;Fe;Rh;Cu;Ir;Pt
Mackinawite,Fe;Ni
Vavřínite,Ni;Sb
Hexatestibiopanickelite,Pd;Ni
Braggite,Pt;Pd;Ni
Vysotskite,Pd;Ni
Cooperite,Pt
Crowningshieldite,Ni;Fe
Jacutingaite,Pt;Hg
Tilkerodeite,Pd;Hg
Imgreite,Ni
UM2007-26-S:CuFeIrNiPtRh,Ir;Cu;Ni;Pt;Rh;Fe
Hydrotroilite,Fe
Eliopoulosite,V
Herzenbergite,Sn
Teallite,Pb;Sn
Alabandite,Mn
Altaite,Pb
Clausthalite,Pb
Galena,Pb
Keilite,Fe;Mg
Niningerite,Mg;Fe;Mn
Oldhamite,Ca;Mg
Argentiferous Galena,Pb;Ag
Auriferous Galena,Pb;Au
Bismuthiferous Galena,Pb;Bi;Ag
Johnstonite (of Haidinger),Pb
Selenian Galena,Pb
U-Galena,Pb
Quiroguite,Pb;Sb
Cinnabar,Hg
Hypercinnabar,Hg
Wilkmanite,Ni
Bornhardtite,Co
Cadmoindite,Cd;In
Carrollite,Co;Ni;Cu
Cuproiridsite,Cu;Fe;Ir
Cuprokalininite,Cu;Cr
Cuprorhodsite,Cu;Fe;Rh
Daubréelite,Fe;Cr
Fletcherite,Ni;Co;Cu
Florensovite,Cu;Zn;Sb;Cr
Greigite,Fe
Indite,Fe;In
Joegoldsteinite,Mn;Cr
Kalininite,Cr;Zn
Linnaeite,Co
Malanite,Pt;Ir;Cu
Nickeltyrrellite,Ni;Cu
Polydymite,Ni
Siegenite,Co;Ni
Trüstedtite,Ni
Tyrrellite,Co;Ni;Cu
Violarite,Fe;Ni
Xingzhongite,Cu;Pb;Fe;Ir;Pt;Rh
Ferrorhodsite,Fe;Cu;Rh;Ir;Pt
Auriferous Linnaeite,Co;Au
Cobaltian Malanite,Pt;Co;Cu
Rhodostannite,Cu;Ag;Fe;Sn
Toyohaite,Ag;Fe;Sn
Brezinaite,Cr
Heideite,Fe;Cr;Ti
Inaglyite,Ir;Pt;Cu;Pb
Konderite,Cu;Pb;Rh
Kingstonite,Rh;Ir;Pt
Zaykovite,Rh
Antimonselite,Sb
Bismuthinite,Bi
Guanajuatite,Bi
Metastibnite,Sb
Pääkkönenite,Sb
Stibnite,Sb
Antimonian Bismuthinite,Bi;Sb
Argentiferous Bismuthinite,Bi;Ag
Horobetsuite,Bi;Sb
Selenian Stibnite,Sb
Ottemannite,Sn
Suredaite,Pb;Sn
Bowieite,Rh;Ir;Pt
Kashinite,Ir;Rh
Montbrayite,Au;Sb
Edgarite,Nb;Fe
Tarkianite,Cu;Fe;Re;Mo
Cameronite,Cu;Ag
Schreibersite (of Shephard),Cr
Stangersite,Sn;Ge
Baksanite,Bi
Hedleyite,Bi
Hitachiite,Bi;Pb
Ikunolite,Bi
Ingodite,Bi
Joséite-A,Bi
Joséite-B,Bi
Kawazulite,Bi
Laitakarite,Bi
Nevskite,Bi
Paraguanajuatite,Bi
Pilsenite,Bi
Skippenite,Bi
Sulphotsumoite,Bi
Tellurantimony,Sb
Tellurobismuthite,Bi
Telluronevskite,Bi
Tetradymite,Bi
Tsumoite,Bi
Vihorlatite,Bi
UM1983-09-S:BiPbTe,Pb;Bi
Joséite,Bi
Joséite-C,Bi
Protojoséite,Bi
Sztrókayite,Bi
Tellurian Ikunolite,Bi;Te
Sylvanite,Ag;Au
Calaverite,Au
Kostovite,Au;Cu
Krennerite,Ag;Au
Berndtite,Sn
Kitkaite,Ni
Melonite,Ni
Merenskyite,Pd;Pt;Bi
Moncheite,Pt;Pd;Bi
Ognitite,Ni;Bi
Shuangfengite,Ir
Sudovikovite,Pt
Bismuthian Palladian Melonite,Ni;Pd;Bi
Chengbolite,Pt;Pd
Co-rich Melonite,Ni;Co
Palladian Melonite,Ni;Pd
Platinoshuangfengite,Ir;Pt
Verbeekite,Pd
Drysdallite,Mo
Jordisite,Mo
Molybdenite,Mo
Tungstenite,W
Femolite,Mo;Fe
Rhenian Molybdenite,Mo;Re
Mitrofanovite,Pt
Pampaloite,Au;Sb
Aurostibite,Au
Cattierite,Co
Dzharkenite,Fe
Erlichmanite,Os
Fukuchilite,Fe;Cu
Gaotaiite,Ir
Geversite,Pt
Hauerite,Mn
Insizwaite,Pt;Bi
Krut'aite,Cu
Laurite,Ru
Penroseite,Ni;Co;Cu
Pyrite,Fe
Sperrylite,Pt
Trogtalite,Co
Vaesite,Ni
Villamaninite,Cu;Ni;Co;Fe
Unnamed (Cubic NiSe2),Ni
Arsenian Pyrite,Fe
Auriferous Pyrite,Fe;Au
Bravoite,Fe;Ni
Cobalt-nickel-pyrite (of Vernadsky),Fe;Co
Cobaltoan Pyrite,Fe;Co
Cupriferous Pyrite,Fe;Cu
Hengleinite,Ni;Fe;Co
Thallian Arsenian Pyrite,Fe;Tl
Cayeuxite,Fe
Gelpyrit,Fe
Ballesterosite,Fe;Zn;Sn
Bambollaite,Cu
Ferroselite,Fe
Frohbergite,Fe
Kullerudite,Ni
Marcasite,Fe
Mattagamite,Co
Petříčekite,Cu
Blueite,Fe;Ni
Cobalt-frohbergite,Fe;Co
Lonchidite,Fe
Alloclasite,Co
Glaucodot,Fe;Co
Costibite,Co
Paracostibite,Co
Pararammelsbergite,Ni
Oenite,Co
Unnamed (Fe-Ni Antimonide Arsenide),Fe;Ni
Anduoite,Ru;Os
Clinosafflorite,Co
Löllingite,Fe
Nisbite,Ni
Omeiite,Os;Ru
Rammelsbergite,Ni
Safflorite,Co;Fe;Ni
Chathamite,Fe;Ni
Cobaltian Löllingite,Fe;Co
Cobaltoan Rammelsbergite,Ni;Co
Geyerite,Fe
Glaucopyrite,Fe;Co
Nickelian Loellingite,Fe;Ni
Seinäjokite,Fe;Ni
Paxite,Cu
Arsenopyrite,Fe
Gudmundite,Fe
Osarsite,Os;Ru
Ruarsite,Ru;Os
Danaite,Fe;Co
Changchengite,Ir
Cobaltite,Co
Gersdorffite,Ni
Gersdorffite-P213,Ni
Gersdorffite-Pa3,Ni
Gersdorffite-Pca21,Ni
Hollingworthite,Rh;Pt;Pd
Irarsite,Ir;Ru;Rh;Pt
Jolliffeite,Ni
Kalungaite,Pd
Krutovite,Ni
Maslovite,Pt
Mayingite,Ir
Michenerite,Pd
Milotaite,Pd
Padmaite,Pd
Platarsite,Pt
Tolovkite,Ir
Ullmannite,Ni
Willyamite,Co;Ni
Testibiopalladite,Pd
Antimonian Gersdorffite,Ni
Cobaltoan Gersdorffite,Ni;Co;Os;Ir;Ru;Rh
Ferroan Cobaltite,Co;Fe
Urvantsevite,Pd;Pb;Bi
Rheniite,Re
Ferroskutterudite,Fe;Co
Kieftite,Co
Nickelskutterudite,Ni;Co;Fe
Skutterudite,Co
Bismutosmaltin,Co
β-Iridisite,Ir;Cu;Rh;Ni;Pt
Iridisite,Ir;Cu;Rh;Ni;Pt
Patrónite,V
Castaingite,Cu;Mo
Duranusite,As
Dimorphite,As
Realgar,As
Pararealgar,As
UM1970-18-S:As,As
Alacránite,As
Bonazziite,As
Uzonite,As
Laphamite,As
Orpiment,As
Getchellite,Sb;As
Kalgoorlieite,As
Wakabayashilite,As;Sb
Anorpiment,As
Caswellsilverite,Cr;Na
Cronusite,Cr;Ca
Schöllhornite,Cr;Na
Chvilevaite,Cu;Fe;Zn;Na
Orickite,Cu;Fe
Pautovite,Cs;Fe
Rasvumite,Fe;K
Colimaite,V;K
Djerfisherite,Fe;Cu;Ni;K
Gmalimite,K;[box];Fe
Owensite,Ba;Pb;Cu;Fe;Ni
Thalfenisite,Fe;Ni;Cu;Tl
Zoharite,Ba;K;Cu;Fe;Ni
Cu-djerfisherite,Cu;Fe;K
Bartonite,Fe;K
Chlorbartonite,Fe;K
Corderoite,Hg
Lavrentievite,Hg
Arzakite,Hg
Kenhsuite,Hg
Grechishchevite,Hg
Radtkeite,Hg
Capgaronnite,Ag;Hg
Iltisite,Ag;Hg
Perroudite,Ag;Hg
