mineral_id,ion
b16d91d3-20ae-43c1-9273-63a8d0c4fe8a,Ag
2010231e-8c29-43b3-8077-76c4694c9e1f,Ag
b1b7721d-9281-4863-88c9-521a789c35b5,Ag
78c2bdd0-06fe-4ffd-81e5-a64e22426c3d,Ag
a19a6ab7-0fef-4347-a681-fe42d7224a62,Ag
06b2df40-0a6a-4907-a288-3f37c43de107,Ag
5d7a5b24-0b71-46a8-b820-bc7363c854bc,Ag
c57d9eb4-4bb7-43aa-9c76-918d15fc9412,Ag
99f73dd9-6cdd-4c15-b72a-a23b41874852,Ag
26db482c-b102-4b31-9545-055e7053a64b,Ag
26db482c-b102-4b31-9545-055e7053a64b,Zn
cac9bfb2-1dce-4ce0-ad36-2a5e75299620,Ag
63c83e57-687c-4984-9de9-73da3f640973,Ag
63c83e57-687c-4984-9de9-73da3f640973,Fe
3efc52f0-0ebc-41e5-a9d1-462a977142a4,Ce
5a921a7a-ebcb-4707-9455-28d5d0c0e163,La
a3ed5492-4401-4590-bf1c-67b800e8282b,As
a3ed5492-4401-4590-bf1c-67b800e8282b,Mn
8281a4b4-bb0f-4900-abd0-2d3580da2637,Ba
8281a4b4-bb0f-4900-abd0-2d3580da2637,Fe
e2496972-3a54-434e-a50b-cbc0fd2e3489,Ba
e2496972-3a54-434e-a50b-cbc0fd2e3489,Na
968105e0-02fb-408b-bc4e-f8bd7b87f612,K
968105e0-02fb-408b-bc4e-f8bd7b87f612,Fe
86718982-d464-471b-ab0e-b05a8f44a7b3,Na
86718982-d464-471b-ab0e-b05a8f44a7b3,Fe
86718982-d464-471b-ab0e-b05a8f44a7b3,K
0b1cbffe-0d0a-47c5-ab98-bfd19be93a87,K
0b1cbffe-0d0a-47c5-ab98-bfd19be93a87,Na
96c41360-253f-4cbd-bcd9-ef08defe4ab0,Na
96c41360-253f-4cbd-bcd9-ef08defe4ab0,Fe
4e5939a6-afd0-4acf-ae3d-e768477f61b4,Pb
4e5939a6-afd0-4acf-ae3d-e768477f61b4,Fe
0e02f8c9-ad5c-4242-8f5e-da5dcc3158d8,Sr
0e02f8c9-ad5c-4242-8f5e-da5dcc3158d8,Fe
401fe23a-0a9d-46bb-a041-2d6c16c9ad9e,As
d0602192-2976-4a29-8b38-ec27df9a6072,Na
d0602192-2976-4a29-8b38-ec27df9a6072,As
89df33c0-b8b8-4c87-a3f5-50435dc9b364,As
5de5956d-3dd6-4cc3-9f59-345bc8d272c8,As
f7cae7d7-94d4-44c0-a2a0-18fe3dcd757a,As
